Ind_ID,tape,Site_name,mass_day10,purge_time_1,collection_date,day10,cohort_date,cohort_day,Host
1,white,OG,6.716,15:43,2018-08-29,,2018-09-10,11,Apple
2,white,OG,7.724,,2018-08-29,,2018-09-10,11,Apple
3,white,MSU,9.085,,2018-08-29,,2018-09-10,11,Apple
4,white,OG,4.13,,2018-08-29,,2018-09-10,11,Apple
5,white,OG,3.971,,2018-08-29,,2018-09-10,26,Apple
6,white,OG,5.95,,2018-08-16,,2018-09-10,11,Apple
7,white,OG,5.364,,2018-08-29,,2018-09-10,11,Apple
8,white,OG,4.323,,2018-08-29,,2018-09-10,11,Apple
9,white,MSU,9.533,,2018-08-29,,2018-09-10,11,Apple
10,white,OG,3.8,,2018-08-29,,2018-09-10,11,Apple
11,white,OG,6.249,,2018-08-29,,2018-09-10,11,Apple
12,white,MSU,8.464,,2018-08-29,,2018-09-10,11,Apple
13,white,OG,6.021,,2018-08-29,,2018-09-10,11,Apple
14,white,OG,3.609,,2018-08-29,,2018-09-10,11,Apple
15,white,OG,6.106,,2018-08-29,,2018-09-10,11,Apple
16,white,MSU,4.473,,2018-08-29,,2018-09-10,11,Apple
17,white,OG,4.455,,2018-08-29,,2018-09-10,11,Apple
18,white,Ferris,8.389,,2018-08-29,,2018-09-10,11,Apple
19,white,OG,5.899,,2018-08-29,,2018-09-10,11,Apple
20,white,OG,6.727,,2018-08-29,,2018-09-10,11,Apple
21,white,MSU,6.349,,2018-08-29,,2018-09-10,11,Apple
22,white,OG,7.491,,2018-08-29,,2018-09-10,11,Apple
23,white,OG,6.1,,2018-08-29,,2018-09-10,11,Apple
24,white,OG,5.455,,2018-08-29,,2018-09-10,11,Apple
25,white,MSU,4.099,,2018-08-29,,2018-09-10,11,Apple
26,white,OG,7.112,,2018-08-29,,2018-09-10,11,Apple
27,white,OG,6.219,,2018-08-29,,2018-09-10,11,Apple
28,white,MSU,6.201,,2018-08-29,,2018-09-10,11,Apple
29,white,OG,3.562,,2018-08-29,,2018-09-10,11,Apple
30,white,OG,8.893,,2018-08-29,,2018-09-10,11,Apple
31,white,Ferris,5.591,,2018-08-29,,2018-09-10,11,Apple
32,white,OG,6.022,,2018-08-29,,2018-09-10,11,Apple
33,white,OG,7.673,,2018-08-29,,2018-09-10,11,Apple
34,white,MSU,5.13,,2018-08-29,,2018-09-10,11,Apple
35,white,OG,4.737,,2018-08-29,,2018-09-10,11,Apple
36,white,OG,4.4434,,2018-08-29,,2018-09-10,11,Apple
37,white,OG,5.712,,2018-08-29,,2018-09-10,11,Apple
38,white,MSU,6.294,,2018-08-29,,2018-09-10,11,Apple
39,white,OG,4.895,,2018-08-29,,2018-09-10,11,Apple
40,white,OG,7.604,,2018-08-29,,2018-09-10,11,Apple
41,white,OG,2.579,,2018-08-29,,2018-09-10,11,Apple
42,white,MSU,6.428,,2018-08-29,,2018-09-10,11,Apple
43,white,OG,6.472,,2018-08-29,,2018-09-10,11,Apple
44,white,OG,2.967,,2018-08-29,,2018-09-10,11,Apple
45,white,OG,4.982,,2018-08-29,,2018-09-10,11,Apple
46,white,Blank,,,2018-08-29,,2018-09-10,11,Apple
47,white,Blank,,14:53,2018-08-29,,2018-09-10,11,Apple
1,blue,OG,6.867,15:31,2018-08-29,,2018-09-10,11,Apple
2,blue,OG,7.298,,2018-08-29,,2018-09-10,11,Apple
3,blue,MSU,9.965,,2018-08-29,,2018-09-10,11,Apple
4,blue,OG,6.691,,2018-08-29,,2018-09-10,11,Apple
5,blue,OG,8.356,,2018-08-29,,2018-09-10,11,Apple
6,blue,Ferris,8.021,,2018-08-29,,2018-09-10,11,Apple
7,blue,OG,6.681,,2018-08-29,,2018-09-10,11,Apple
8,blue,MSU,9.502,,2018-08-29,,2018-09-10,11,Apple
9,blue,OG,6.363,,2018-08-29,,2018-09-10,11,Apple
10,blue,MSU,8.804,,2018-08-29,,2018-09-10,11,Apple
11,blue,OG,5.534,,2018-08-29,,2018-09-10,11,Apple
12,blue,MSU,7.671,,2018-08-29,,2018-09-10,11,Apple
13,blue,OG,7.39,,2018-08-29,,2018-09-10,11,Apple
14,blue,OG,5.126,,2018-08-16,,2018-09-10,26,Apple
15,blue,OG,6.959,,2018-08-29,,2018-09-10,11,Apple
16,blue,OG,8.768,,2018-08-29,,2018-09-10,11,Apple
17,blue,MSU,10.502,,2018-08-29,,2018-09-10,11,Apple
18,blue,OG,9.04,,2018-08-29,,2018-09-10,11,Apple
19,blue,OG,6.067,,2018-08-29,,2018-09-10,11,Apple
20,blue,MSU,9.347,,2018-08-29,,2018-09-10,11,Apple
21,blue,OG,4.314,,2018-08-29,,2018-09-10,11,Apple
22,blue,OG,4.093,,2018-08-29,,2018-09-10,11,Apple
23,blue,OG,6.772,,2018-08-29,,2018-09-10,11,Apple
24,blue,OG,4.396,,2018-08-29,,2018-09-10,11,Apple
25,blue,MSU,6.891,,2018-08-29,,2018-09-10,11,Apple
26,blue,OG,4.559,,2018-08-29,,2018-09-10,11,Apple
27,blue,OG,3.199,,2018-08-29,,2018-09-10,11,Apple
28,blue,OG,6.335,,2018-08-29,,2018-09-10,11,Apple
