,Ind_ID,tape,Site_name,mass_day10,purge_time_1,collection_date,day10,cohort_date,cohort_day,Host,uniqueID,rando_assign,wellID
1,1,white,OG,6.716,15:43,8/29/18,NA,9/10/18,11,Apple,a11w1_18,genetic control,
2,2,white,OG,7.724,,8/29/18,NA,9/10/18,11,Apple,a11w2_18,Simulated Overwintering,C4
3,3,white,MSU,9.085,,8/29/18,NA,9/10/18,11,Apple,a11w3_18,RT eclosion,D1
4,4,white,OG,4.13,,8/29/18,NA,9/10/18,11,Apple,a11w4_18,Simulated Overwintering,D12
5,5,white,OG,3.971,,8/29/18,NA,9/10/18,26,Apple,a26w5_18,RT eclosion,A5
6,6,white,OG,5.95,,8/16/18,NA,9/10/18,11,Apple,a11w6_18,Simulated Overwintering,A10
7,7,white,OG,5.364,,8/29/18,NA,9/10/18,11,Apple,a11w7_18,genetic control,
8,8,white,OG,4.323,,8/29/18,NA,9/10/18,11,Apple,a11w8_18,RT eclosion,F6
9,9,white,MSU,9.533,,8/29/18,NA,9/10/18,11,Apple,a11w9_18,Simulated Overwintering,E8
10,10,white,OG,3.8,,8/29/18,NA,9/10/18,11,Apple,a11w10_18,genetic control,
11,11,white,OG,6.249,,8/29/18,NA,9/10/18,11,Apple,a11w11_18,genetic control,
12,12,white,MSU,8.464,,8/29/18,NA,9/10/18,11,Apple,a11w12_18,genetic control,
13,13,white,OG,6.021,,8/29/18,NA,9/10/18,11,Apple,a11w13_18,RT eclosion,C5
14,14,white,OG,3.609,,8/29/18,NA,9/10/18,11,Apple,a11w14_18,RT eclosion,G12
15,15,white,OG,6.106,,8/29/18,NA,9/10/18,11,Apple,a11w15_18,RT eclosion,D8
16,16,white,MSU,4.473,,8/29/18,NA,9/10/18,11,Apple,a11w16_18,Simulated Overwintering,D3
17,17,white,OG,4.455,,8/29/18,NA,9/10/18,11,Apple,a11w17_18,RT eclosion,D12
18,18,white,Ferris,8.389,,8/29/18,NA,9/10/18,11,Apple,a11w18_18,Simulated Overwintering,F8
19,19,white,OG,5.899,,8/29/18,NA,9/10/18,11,Apple,a11w19_18,genetic control,
20,20,white,OG,6.727,,8/29/18,NA,9/10/18,11,Apple,a11w20_18,genetic control,
21,21,white,MSU,6.349,,8/29/18,NA,9/10/18,11,Apple,a11w21_18,RT eclosion,H8
22,22,white,OG,7.491,,8/29/18,NA,9/10/18,11,Apple,a11w22_18,Simulated Overwintering,C2
23,23,white,OG,6.1,,8/29/18,NA,9/10/18,11,Apple,a11w23_18,RT eclosion,F7
24,24,white,OG,5.455,,8/29/18,NA,9/10/18,11,Apple,a11w24_18,genetic control,
25,25,white,MSU,4.099,,8/29/18,NA,9/10/18,11,Apple,a11w25_18,genetic control,
26,26,white,OG,7.112,,8/29/18,NA,9/10/18,11,Apple,a11w26_18,Simulated Overwintering,E11
27,27,white,OG,6.219,,8/29/18,NA,9/10/18,11,Apple,a11w27_18,Simulated Overwintering,C12
28,28,white,MSU,6.201,,8/29/18,NA,9/10/18,11,Apple,a11w28_18,genetic control,
29,29,white,OG,3.562,,8/29/18,NA,9/10/18,11,Apple,a11w29_18,Simulated Overwintering,G2
30,30,white,OG,8.893,,8/29/18,NA,9/10/18,11,Apple,a11w30_18,RT eclosion,G4
31,31,white,Ferris,5.591,,8/29/18,NA,9/10/18,11,Apple,a11w31_18,RT eclosion,B9
32,32,white,OG,6.022,,8/29/18,NA,9/10/18,11,Apple,a11w32_18,RT eclosion,H6
33,33,white,OG,7.673,,8/29/18,NA,9/10/18,11,Apple,a11w33_18,Simulated Overwintering,B10
34,34,white,MSU,5.13,,8/29/18,NA,9/10/18,11,Apple,a11w34_18,Simulated Overwintering,G7
35,35,white,OG,4.737,,8/29/18,NA,9/10/18,11,Apple,a11w35_18,RT eclosion,B5
36,36,white,OG,4.4434,,8/29/18,NA,9/10/18,11,Apple,a11w36_18,RT eclosion,C3
37,37,white,OG,5.712,,8/29/18,NA,9/10/18,11,Apple,a11w37_18,Simulated Overwintering,F12
38,38,white,MSU,6.294,,8/29/18,NA,9/10/18,11,Apple,a11w38_18,Simulated Overwintering,H1
39,39,white,OG,4.895,,8/29/18,NA,9/10/18,11,Apple,a11w39_18,Simulated Overwintering,B5
40,40,white,OG,7.604,,8/29/18,NA,9/10/18,11,Apple,a11w40_18,RT eclosion,E1
41,41,white,OG,2.579,,8/29/18,NA,9/10/18,11,Apple,a11w41_18,genetic control,
42,42,white,MSU,6.428,,8/29/18,NA,9/10/18,11,Apple,a11w42_18,genetic control,
43,43,white,OG,6.472,,8/29/18,NA,9/10/18,11,Apple,a11w43_18,RT eclosion,E3
44,44,white,OG,2.967,,8/29/18,NA,9/10/18,11,Apple,a11w44_18,RT eclosion,F3
45,45,white,OG,4.982,,8/29/18,NA,9/10/18,11,Apple,a11w45_18,genetic control,
46,46,white,Blank,NA,,8/29/18,NA,9/10/18,11,Apple,,,
47,47,white,Blank,NA,14:53,8/29/18,NA,9/10/18,11,Apple,,,
48,1,blue,OG,6.867,15:31,8/29/18,NA,9/10/18,11,Apple,a11b1_18,Simulated Overwintering,D4
49,2,blue,OG,7.298,,8/29/18,NA,9/10/18,11,Apple,a11b2_18,RT eclosion,F2
50,3,blue,MSU,9.965,,8/29/18,NA,9/10/18,11,Apple,a11b3_18,genetic control,
51,4,blue,OG,6.691,,8/29/18,NA,9/10/18,11,Apple,a11b4_18,genetic control,
52,5,blue,OG,8.356,,8/29/18,NA,9/10/18,11,Apple,a11b5_18,RT eclosion,C4
53,6,blue,Ferris,8.021,,8/29/18,NA,9/10/18,11,Apple,a11b6_18,genetic control,
54,7,blue,OG,6.681,,8/29/18,NA,9/10/18,11,Apple,a11b7_18,RT eclosion,E7
55,8,blue,MSU,9.502,,8/29/18,NA,9/10/18,11,Apple,a11b8_18,Simulated Overwintering,B8
56,9,blue,OG,6.363,,8/29/18,NA,9/10/18,11,Apple,a11b9_18,Simulated Overwintering,D9
57,10,blue,MSU,8.804,,8/29/18,NA,9/10/18,11,Apple,a11b10_18,genetic control,
58,11,blue,OG,5.534,,8/29/18,NA,9/10/18,11,Apple,a11b11_18,genetic control,
59,12,blue,MSU,7.671,,8/29/18,NA,9/10/18,11,Apple,a11b12_18,genetic control,
60,13,blue,OG,7.39,,8/29/18,NA,9/10/18,11,Apple,a11b13_18,genetic control,
61,14,blue,OG,5.126,,8/16/18,NA,9/10/18,26,Apple,a26b14_18,genetic control,
62,15,blue,OG,6.959,,8/29/18,NA,9/10/18,11,Apple,a11b15_18,RT eclosion,C1
63,16,blue,OG,8.768,,8/29/18,NA,9/10/18,11,Apple,a11b16_18,Simulated Overwintering,D1
64,17,blue,MSU,10.502,,8/29/18,NA,9/10/18,11,Apple,a11b17_18,Simulated Overwintering,G12
65,18,blue,OG,9.04,,8/29/18,NA,9/10/18,11,Apple,a11b18_18,Simulated Overwintering,G9
66,19,blue,OG,6.067,,8/29/18,NA,9/10/18,11,Apple,a11b19_18,Simulated Overwintering,F11
67,20,blue,MSU,9.347,,8/29/18,NA,9/10/18,11,Apple,a11b20_18,Simulated Overwintering,A3
68,21,blue,OG,4.314,,8/29/18,NA,9/10/18,11,Apple,a11b21_18,genetic control,
69,22,blue,OG,4.093,,8/29/18,NA,9/10/18,11,Apple,a11b22_18,Simulated Overwintering,H4
70,23,blue,OG,6.772,,8/29/18,NA,9/10/18,11,Apple,a11b23_18,RT eclosion,F4
71,24,blue,OG,4.396,,8/29/18,NA,9/10/18,11,Apple,a11b24_18,Simulated Overwintering,C6
