Ind_ID,tape,Site_name,mass_day10,purge_time_1,collection_date,day10,cohort_date,cohort_day,Host,uniqueID,rando_assign,wellID
1,blue,MSU,9.83,13:02,9/16/18,10/3/18,9/23/18,3,Haw,h3b1_18,RT eclosion,C11
2,blue,MSU,10.317,,9/16/18,10/3/18,9/23/18,3,Haw,h3b2_18,Simulated Overwintering,H12
3,blue,MSU,11.458,,9/16/18,10/3/18,9/23/18,3,Haw,h3b3_18,genetic control,
4,blue,MSU,6.914,,9/16/18,10/3/18,9/23/18,3,Haw,h3b4_18,RT eclosion,C9
5,blue,MSU,4.847,,9/16/18,10/3/18,9/23/18,3,Haw,h3b5_18,genetic control,
6,blue,MSU,10.954,,9/16/18,10/3/18,9/23/18,3,Haw,h3b6_18,Simulated Overwintering,D3
7,blue,MSU,5.385,,9/16/18,10/3/18,9/23/18,3,Haw,h3b7_18,RT eclosion,H8
8,blue,MSU,10.754,,9/16/18,10/3/18,9/23/18,3,Haw,h3b8_18,Simulated Overwintering,C12
9,blue,MSU,9.07,,9/16/18,10/3/18,9/23/18,3,Haw,h3b9_18,Simulated Overwintering,C1
10,blue,MSU,9.065,,9/16/18,10/3/18,9/23/18,3,Haw,h3b10_18,RT eclosion,B1
11,blue,MSU,11.813,,9/16/18,10/3/18,9/23/18,3,Haw,h3b11_18,RT eclosion,F7
12,blue,MSU,9.935,,9/16/18,10/3/18,9/23/18,3,Haw,h3b12_18,RT eclosion,E9
13,blue,MSU,6.492,,9/16/18,10/3/18,9/23/18,3,Haw,h3b13_18,Simulated Overwintering,F8
14,blue,MSU,5.04,,9/16/18,10/3/18,9/23/18,3,Haw,h3b14_18,Simulated Overwintering,E8
15,blue,MSU,9.912,,9/16/18,10/3/18,9/23/18,3,Haw,h3b15_18,genetic control,
16,blue,MSU,5.826,,9/16/18,10/3/18,9/23/18,3,Haw,h3b16_18,Simulated Overwintering,H9
17,blue,MSU,11.046,,9/16/18,10/3/18,9/23/18,3,Haw,h3b17_18,RT eclosion,E6
18,blue,MSU,7.244,,9/16/18,10/3/18,9/23/18,3,Haw,h3b18_18,RT eclosion,H5
19,blue,MSU,9.836,,9/16/18,10/3/18,9/23/18,3,Haw,h3b19_18,Simulated Overwintering,A7
20,blue,MSU,7.315,,9/16/18,10/3/18,9/23/18,3,Haw,h3b20_18,Simulated Overwintering,B4
21,blue,MSU,11.738,,9/16/18,10/3/18,9/23/18,3,Haw,h3b21_18,RT eclosion,E4
