Ind_ID,tape,Site_name,mass_day10,purge_time_1,collection_date,day10,cohort_date,cohort_day,Host
1,orange,MSU,10.522,12:07,2018-09-16,2018-10-04,2018-09-24,4,Haw
2,orange,MSU,11.591,,2018-09-16,2018-10-04,2018-09-24,4,Haw
3,orange,MSU,10.591,,2018-09-16,2018-10-04,2018-09-24,4,Haw
4,orange,MSU,9.027,,2018-09-16,2018-10-04,2018-09-24,4,Haw
5,orange,MSU,9.66,,2018-09-16,2018-10-04,2018-09-24,4,Haw
6,orange,MSU,7.447,,2018-09-16,2018-10-04,2018-09-24,4,Haw
7,orange,MSU,5.943,,2018-09-16,2018-10-04,2018-09-24,4,Haw
8,orange,MSU,7.226,,2018-09-16,2018-10-04,2018-09-24,4,Haw
9,orange,MSU,6.876,,2018-09-16,2018-10-04,2018-09-24,4,Haw
10,orange,MSU,5.875,,2018-09-16,2018-10-04,2018-09-24,4,Haw
11,orange,MSU,10.185,,2018-09-16,2018-10-04,2018-09-24,4,Haw
12,orange,MSU,7.038,,2018-09-16,2018-10-04,2018-09-24,4,Haw
13,orange,MSU,8.463,,2018-09-16,2018-10-04,2018-09-24,4,Haw
14,orange,MSU,5.574,,2018-09-16,2018-10-04,2018-09-24,4,Haw
15,orange,MSU,7.59,,2018-09-16,2018-10-04,2018-09-24,4,Haw
16,orange,MSU,5.471,,2018-09-16,2018-10-04,2018-09-24,4,Haw
17,orange,MSU,10.784,,2018-09-16,2018-10-04,2018-09-24,4,Haw
18,orange,MSU,7.844,,2018-09-16,2018-10-04,2018-09-24,4,Haw
19,orange,MSU,8.98,,2018-09-16,2018-10-04,2018-09-24,4,Haw
20,orange,MSU,9.219,,2018-09-16,2018-10-04,2018-09-24,4,Haw
21,orange,MSU,5.522,,2018-09-16,2018-10-04,2018-09-24,4,Haw
22,orange,MSU,11.34,,2018-09-16,2018-10-04,2018-09-24,4,Haw
23,orange,MSU,7.248,,2018-09-16,2018-10-04,2018-09-24,4,Haw
24,orange,MSU,11.336,,2018-09-16,2018-10-04,2018-09-24,4,Haw
25,orange,MSU,8.259,,2018-09-16,2018-10-04,2018-09-24,4,Haw
26,orange,MSU,6.99,,2018-09-16,2018-10-04,2018-09-24,4,Haw
27,orange,MSU,4.808,,2018-09-16,2018-10-04,2018-09-24,4,Haw
28,orange,MSU,9.517,,2018-09-16,2018-10-04,2018-09-24,4,Haw
29,orange,MSU,4.224,,2018-09-16,2018-10-04,2018-09-24,4,Haw
30,orange,MSU,8.638,,2018-09-16,2018-10-04,2018-09-24,4,Haw
31,orange,MSU,6.981,,2018-09-16,2018-10-04,2018-09-24,4,Haw
32,orange,MSU,4.835,,2018-09-16,2018-10-04,2018-09-24,4,Haw
33,orange,MSU,9.685,,2018-09-16,2018-10-04,2018-09-24,4,Haw
34,orange,MSU,7.415,,2018-09-16,2018-10-04,2018-09-24,4,Haw
35,orange,MSU,7.922,,2018-09-16,2018-10-04,2018-09-24,4,Haw
36,orange,MSU,5.613,,2018-09-16,2018-10-04,2018-09-24,4,Haw
37,orange,MSU,10.192,,2018-09-16,2018-10-04,2018-09-24,4,Haw
38,orange,MSU,11.553,,2018-09-16,2018-10-04,2018-09-24,4,Haw
39,orange,MSU,4.555,,2018-09-16,2018-10-04,2018-09-24,4,Haw
40,orange,MSU,7.341,,2018-09-16,2018-10-04,2018-09-24,4,Haw
41,orange,MSU,10.496,,2018-09-16,2018-10-04,2018-09-24,4,Haw
42,orange,MSU,5.642,,2018-09-16,2018-10-04,2018-09-24,4,Haw
43,orange,MSU,9.421,,2018-09-16,2018-10-04,2018-09-24,4,Haw
44,orange,MSU,7.016,,2018-09-16,2018-10-04,2018-09-24,4,Haw
45,orange,MSU,9.247,,2018-09-16,2018-10-04,2018-09-24,4,Haw
46,orange,Blank,,,2018-09-16,2018-10-04,2018-09-24,4,Haw
47,orange,Blank,,12:17,2018-09-16,2018-10-04,2018-09-24,4,Haw
1,red,MSU,7.462,12:31,2018-09-16,2018-10-04,2018-09-24,4,Haw
2,red,MSU,7.565,,2018-09-16,2018-10-04,2018-09-24,4,Haw
3,red,MSU,9.119,,2018-09-16,2018-10-04,2018-09-24,4,Haw
4,red,MSU,5.103,,2018-09-16,2018-10-04,2018-09-24,4,Haw
5,red,MSU,6.151,,2018-09-16,2018-10-04,2018-09-24,4,Haw
6,red,MSU,6.722,,2018-09-16,2018-10-04,2018-09-24,4,Haw
7,red,MSU,6.291,,2018-09-16,2018-10-04,2018-09-24,4,Haw
8,red,MSU,7.417,,2018-09-16,2018-10-04,2018-09-24,4,Haw
9,red,MSU,10.34,,2018-09-16,2018-10-04,2018-09-24,4,Haw
10,red,MSU,8.702,,2018-09-16,2018-10-04,2018-09-24,4,Haw
11,red,MSU,6.531,,2018-09-16,2018-10-04,2018-09-24,4,Haw
12,red,MSU,8.882,,2018-09-16,2018-10-04,2018-09-24,4,Haw
13,red,MSU,9.838,,2018-09-16,2018-10-04,2018-09-24,4,Haw
14,red,MSU,11.355,,2018-09-16,2018-10-04,2018-09-24,4,Haw
15,red,MSU,9.494,,2018-09-16,2018-10-04,2018-09-24,4,Haw
16,red,MSU,7.263,,2018-09-16,2018-10-04,2018-09-24,4,Haw
17,red,MSU,6.893,,2018-09-16,2018-10-04,2018-09-24,4,Haw
18,red,MSU,8.454,,2018-09-16,2018-10-04,2018-09-24,4,Haw
19,red,MSU,9.769,,2018-09-16,2018-10-04,2018-09-24,4,Haw
20,red,MSU,11.478,,2018-09-16,2018-10-04,2018-09-24,4,Haw
21,red,MSU,12.223,,2018-09-16,2018-10-04,2018-09-24,4,Haw
22,red,MSU,6.617,,2018-09-16,2018-10-04,2018-09-24,4,Haw
23,red,MSU,8.605,,2018-09-16,2018-10-04,2018-09-24,4,Haw
24,red,MSU,6.958,,2018-09-16,2018-10-04,2018-09-24,4,Haw
25,red,MSU,8.566,,2018-09-16,2018-10-04,2018-09-24,4,Haw
26,red,MSU,5.981,,2018-09-16,2018-10-04,2018-09-24,4,Haw
27,red,MSU,6.011,,2018-09-16,2018-10-04,2018-09-24,4,Haw
28,red,MSU,8.198,,2018-09-16,2018-10-04,2018-09-24,4,Haw
29,red,MSU,7.732,,2018-09-16,2018-10-04,2018-09-24,4,Haw
30,red,MSU,9.967,,2018-09-16,2018-10-04,2018-09-24,4,Haw
31,red,MSU,9.919,,2018-09-16,2018-10-04,2018-09-24,4,Haw
32,red,MSU,5.977,,2018-09-16,2018-10-04,2018-09-24,4,Haw
33,red,MSU,10.019,,2018-09-16,2018-10-04,2018-09-24,4,Haw
34,red,MSU,7.589,,2018-09-16,2018-10-04,2018-09-24,4,Haw
35,red,MSU,7.876,,2018-09-16,2018-10-04,2018-09-24,4,Haw
36,red,MSU,10.189,,2018-09-16,2018-10-04,2018-09-24,4,Haw
37,red,MSU,6.089,,2018-09-16,2018-10-04,2018-09-24,4,Haw
38,red,MSU,7.241,,2018-09-16,2018-10-04,2018-09-24,4,Haw
39,red,MSU,6.512,,2018-09-16,2018-10-04,2018-09-24,4,Haw
40,red,MSU,8.924,,2018-09-16,2018-10-04,2018-09-24,4,Haw
41,red,MSU,11.125,,2018-09-16,2018-10-04,2018-09-24,4,Haw
42,red,MSU,6.681,,2018-09-16,2018-10-04,2018-09-24,4,Haw
43,red,MSU,6.674,,2018-09-16,2018-10-04,2018-09-24,4,Haw
44,red,MSU,8.046,,2018-09-16,2018-10-04,2018-09-24,4,Haw
45,red,MSU,6.419,,2018-09-16,2018-10-04,2018-09-24,4,Haw
46,red,Blank,,,2018-09-16,2018-10-04,2018-09-24,4,Haw
47,red,Blank,,12:49,2018-09-16,2018-10-04,2018-09-24,4,Haw
