,Ind_ID,tape,Site_name,mass_day10,purge_time_1,collection_date,day10,cohort_date,cohort_day,Host,uniqueID,rando_assign,wellID
1,1,orange,MSU,10.522,12:07,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4o1_18,Simulated Overwintering,G11
2,2,orange,MSU,11.591,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4o2_18,RT eclosion,D12
3,3,orange,MSU,10.591,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4o3_18,RT eclosion,A1
4,4,orange,MSU,9.027,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4o4_18,genetic control,
5,5,orange,MSU,9.66,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4o5_18,Simulated Overwintering,B8
6,6,orange,MSU,7.447,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4o6_18,genetic control,
7,7,orange,MSU,5.943,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4o7_18,genetic control,
8,8,orange,MSU,7.226,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4o8_18,genetic control,
9,9,orange,MSU,6.876,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4o9_18,genetic control,
10,10,orange,MSU,5.875,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4o10_18,Simulated Overwintering,G7
11,11,orange,MSU,10.185,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4o11_18,Simulated Overwintering,D9
12,12,orange,MSU,7.038,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4o12_18,Simulated Overwintering,D10
13,13,orange,MSU,8.463,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4o13_18,Simulated Overwintering,D12
14,14,orange,MSU,5.574,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4o14_18,genetic control,
15,15,orange,MSU,7.59,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4o15_18,Simulated Overwintering,A12
16,16,orange,MSU,5.471,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4o16_18,genetic control,
17,17,orange,MSU,10.784,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4o17_18,RT eclosion,E9
18,18,orange,MSU,7.844,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4o18_18,genetic control,
19,19,orange,MSU,8.98,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4o19_18,Simulated Overwintering,E7
20,20,orange,MSU,9.219,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4o20_18,Simulated Overwintering,D5
21,21,orange,MSU,5.522,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4o21_18,genetic control,
22,22,orange,MSU,11.34,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4o22_18,RT eclosion,F12
23,23,orange,MSU,7.248,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4o23_18,Simulated Overwintering,D7
24,24,orange,MSU,11.336,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4o24_18,Simulated Overwintering,H5
25,25,orange,MSU,8.259,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4o25_18,Simulated Overwintering,F1
26,26,orange,MSU,6.99,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4o26_18,Simulated Overwintering,H3
27,27,orange,MSU,4.808,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4o27_18,RT eclosion,D3
28,28,orange,MSU,9.517,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4o28_18,genetic control,
29,29,orange,MSU,4.224,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4o29_18,genetic control,
30,30,orange,MSU,8.638,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4o30_18,RT eclosion,E12
31,31,orange,MSU,6.981,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4o31_18,genetic control,
32,32,orange,MSU,4.835,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4o32_18,RT eclosion,H6
33,33,orange,MSU,9.685,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4o33_18,Simulated Overwintering,A10
34,34,orange,MSU,7.415,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4o34_18,RT eclosion,G11
35,35,orange,MSU,7.922,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4o35_18,RT eclosion,D1
36,36,orange,MSU,5.613,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4o36_18,RT eclosion,B5
37,37,orange,MSU,10.192,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4o37_18,Simulated Overwintering,D8
38,38,orange,MSU,11.553,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4o38_18,Simulated Overwintering,B10
39,39,orange,MSU,4.555,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4o39_18,genetic control,
40,40,orange,MSU,7.341,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4o40_18,RT eclosion,A3
41,41,orange,MSU,10.496,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4o41_18,Simulated Overwintering,H12
42,42,orange,MSU,5.642,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4o42_18,genetic control,
43,43,orange,MSU,9.421,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4o43_18,RT eclosion,C3
44,44,orange,MSU,7.016,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4o44_18,genetic control,
45,45,orange,MSU,9.247,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4o45_18,Simulated Overwintering,E12
46,46,orange,Blank,NA,,9/16/2018,10/4/2018,9/24/2018,4,Haw,,,
47,47,orange,Blank,NA,12:17,9/16/2018,10/4/2018,9/24/2018,4,Haw,,,
