starttime_VCO2_6262_1,area_VCO2_6262_1,
13:26:03,6.99E-02,1
13:27:25,0.1043317,3
13:28:45,0.1235798,4
13:30:06,0.9628831,5
13:31:25,0.3804671,6
13:32:48,1.294709,7
13:34:01,0.9699637,8
13:35:15,1.002697,9
13:36:26,0.1061659,10
13:38:03,8.71E-02,11
13:39:07,0.1078483,12
13:40:16,1.000737,13
13:41:30,0.0445403,14
13:42:48,4.04E-02,15
13:43:52,1.300553,16
13:45:09,0.6386935,17
13:46:18,0.1043842,18
13:47:34,0.9455598,19
13:48:50,7.71E-02,20
13:50:08,1.282438,21
13:51:19,1.60E-02,22
13:52:39,4.27E-02,23
13:54:05,8.64E-02,24
13:55:08,7.54E-02,25
13:56:17,0.5575531,26
13:57:27,4.94E-02,27
13:58:38,5.02E-02,28
13:59:43,9.72E-02,29
14:01:01,0.1219963,30
14:02:24,5.08E-02,31
14:03:38,0.8510131,32
14:04:46,0.1014818,33
14:05:54,3.97E-02,34
14:06:57,0.2867093,35
14:08:11,0.1070328,36
14:09:19,6.47E-02,37
14:10:23,0.1349461,39
14:11:27,1.115538,40
14:12:39,6.93E-02,41
14:13:40,0.0669483,42
14:14:36,0.0771708,43
14:15:40,9.62E-02,44
14:16:44,5.28E-02,45
14:17:57,9.66E-02,46
14:19:10,0.1265217,48
14:20:30,6.95E-02,49
14:21:47,0.0773105,50
14:23:02,0.5723099,51
14:24:10,8.63E-02,52
14:25:20,1.006703,53
14:26:33,0.2008924,54
14:27:35,7.62E-02,55
14:28:39,8.37E-02,56
14:29:54,0.1177217,57
14:31:12,1.110716,58
14:32:22,8.79E-02,59
14:33:36,1.048328,60
14:34:42,8.54E-02,61
14:35:42,9.96E-03,62
14:36:59,0.182968,63
14:38:13,0.1205975,64
14:39:11,9.28E-02,65
14:40:15,1.48E-02,66
14:41:13,0.7572528,67
14:42:21,0.1370301,68
14:43:25,9.25E-02,69
14:44:23,8.82E-02,70
14:45:21,1.093547,71
14:46:48,0.1590046,72
14:47:51,0.1130021,73
14:48:45,9.37E-02,74
14:49:39,0.1036049,75
14:50:34,0.9751113,76
14:51:43,9.47E-03,77
14:52:37,9.66E-03,78
13:26:03,6.23E-02,1
13:27:25,1.116512,2
13:28:45,0.1755771,3
13:30:06,0.1124367,4
13:31:25,1.649461,5
13:32:48,1.065942,6
13:34:01,1.607713,7
13:35:15,0.1411569,8
13:36:26,0.1731398,9
13:38:03,0.2275009,10
13:39:07,0.1434972,11
13:40:16,0.4860066,12
13:41:30,0.2373016,13
13:42:48,0.1051797,14
13:43:52,0.9566836,16
13:45:09,0.1939579,17
13:46:18,1.453726,19
13:47:34,1.637548,20
13:48:50,1.959853,21
13:50:08,1.045449,22
13:51:19,0.125105,23
13:52:39,0.8546162,24
13:54:05,0.1158061,25
13:55:08,8.06E-02,26
13:56:17,0.2236417,27
13:57:27,0.0669229,28
13:58:38,9.53E-02,29
13:59:43,8.88E-02,30
14:01:01,0.1878995,31
14:02:24,1.234512,32
14:03:38,0.1029449,36
14:04:46,0.1583562,37
14:05:54,0.2478231,38
14:06:57,0.2310615,39
14:08:11,0.1649091,40
14:09:19,0.2023596,41
14:10:23,0.1611952,42
14:11:27,1.269099,43
14:12:39,0.2719187,44
14:13:40,0.1555932,45
14:14:36,0.2642829,46
14:15:40,0.1415041,47
14:16:44,1.154972,48
14:17:57,1.225845,49
14:19:10,0.2032043,50
14:20:30,1.570572,51
14:21:47,1.319308,52
14:23:02,9.05E-02,53
14:24:10,1.158518,54
14:25:20,0.2481839,55
14:26:33,0.219445,56
14:27:35,0.1824077,57
14:28:39,0.8387026,58
14:29:54,0.9499008,59
14:31:12,0.1221699,60
14:32:22,1.440635,61
14:33:36,0.1123689,63
14:34:42,8.92E-02,64
14:35:42,1.308663,66
14:36:59,0.1607953,67
14:38:13,0.1816118,68
14:39:11,0.1793586,69
14:40:15,9.18E-02,70
14:41:13,0.1595813,71
14:42:21,0.1860625,72
14:43:25,0.1393056,73
14:44:23,0.1298089,74
14:45:21,0.1194427,75
14:46:48,9.98E-02,76
14:47:51,1.14E-02,77
14:48:45,1.18E-02,78
,,
,,
,,
,,
