starttime_VCO2_6262_1,area_VCO2_6262_1,n,data_num,tape
10:22:57,0.449291,1,1,white
10:24:15,8.11E-02,2,2,white
10:25:34,0.5449427,3,3,white
10:26:50,4.94E-02,4,4,white
10:28:14,6.67E-02,5,5,white
10:29:33,6.07E-02,6,6,white
10:30:54,0.152245,7,7,white
10:32:09,0.1051791,8,8,white
10:33:28,8.96E-02,9,9,white
10:34:58,8.45E-02,10,10,white
10:36:14,8.46E-02,11,11,white
10:37:53,5.45E-02,12,12,white
10:39:26,0.4605452,13,13,white
10:40:50,1.115555,14,14,white
10:42:19,6.69E-02,15,15,white
10:43:49,9.25E-02,16,16,white
10:45:14,0.1119564,17,17,white
10:46:32,5.98E-02,18,18,white
10:48:08,5.28E-02,19,19,white
10:49:42,0.4064779,20,20,white
10:51:18,0.6377373,21,21,white
10:52:49,2.42E-02,22,22,white
10:54:07,0.0809904,23,23,white
10:55:34,7.07E-02,24,24,white
10:56:54,7.26E-02,25,25,white
10:58:18,0.4221001,26,26,white
10:59:42,8.05E-02,27,27,white
11:00:55,4.53E-02,28,28,white
11:02:13,5.67E-02,29,29,white
11:03:35,0.1976632,30,30,white
11:05:02,0.1332797,31,31,white
11:06:21,0.1042874,32,32,white
11:07:42,0.7466366,33,33,white
11:09:14,6.09E-02,34,34,white
11:10:36,5.42E-02,35,35,white
11:11:49,5.11E-02,36,36,white
11:12:57,6.86E-02,37,37,white
11:14:35,0.1070225,38,38,white
11:16:19,7.03E-02,39,39,white
11:17:51,0.052362,40,40,white
11:19:13,0.0640958,41,41,white
11:20:35,6.74E-02,42,42,white
11:21:50,0.2114387,43,43,white
11:23:22,6.18E-02,44,44,white
11:24:38,3.64E-02,45,45,white
11:25:54,0.3140071,46,46,white
11:27:21,9.03E-02,47,47,white
11:28:35,4.67E-02,48,48,white
11:29:51,0.7747632,49,49,white
11:31:17,9.96E-02,50,50,white
11:32:35,0.5536874,51,51,white
11:34:02,7.12E-02,52,52,white
11:35:37,0.5479736,53,53,white
11:37:05,0.3376071,54,54,white
11:38:30,0.0537255,55,55,white
11:39:50,4.36E-02,56,56,white
11:41:19,6.69E-02,57,57,white
11:42:41,0.4945533,58,58,white
11:44:06,0.3408822,59,59,white
11:45:22,6.36E-02,60,60,white
10:22:57,7.36E-02,1,1,orange
10:24:15,0.8699997,2,2,orange
10:25:34,0.1100051,3,3,orange
10:26:50,0.7083061,4,4,orange
10:28:14,0.1355231,5,5,orange
10:29:33,0.2721819,6,6,orange
10:30:54,0.1857121,7,7,orange
10:32:09,9.28E-02,8,8,orange
10:33:28,0.2216317,9,9,orange
10:34:58,0.1349178,10,10,orange
10:36:14,0.8451345,11,11,orange
10:37:53,0.7491088,12,12,orange
10:39:26,0.1055524,13,13,orange
10:40:50,0.1198914,14,14,orange
10:42:19,0.1679324,15,15,orange
10:43:49,0.1599401,16,16,orange
10:45:14,0.2146864,17,17,orange
10:46:32,0.8020278,18,18,orange
10:48:08,0.1465696,19,19,orange
10:49:42,0.8006555,20,20,orange
10:51:18,0.19453,21,21,orange
10:52:49,0.1509367,22,22,orange
10:54:07,0.2233115,23,23,orange
10:55:34,0.1408666,24,24,orange
10:56:54,0.1223689,25,25,orange
10:58:18,0.1379487,26,26,orange
10:59:42,0.1188518,27,27,orange
11:00:55,0.101368,28,28,orange
11:02:13,0.1073508,29,29,orange
11:03:35,0.1573379,30,30,orange
11:05:02,0.2453197,31,31,orange
11:06:21,0.2068514,32,32,orange
11:07:42,0.174367,33,33,orange
11:09:14,0.1853507,34,34,orange
11:10:36,8.55E-02,35,35,orange
11:11:49,5.46E-02,36,36,orange
11:12:57,0.882783,37,37,orange
11:14:35,1.071714,38,38,orange
11:16:19,0.1363504,39,39,orange
11:17:51,9.86E-02,40,40,orange
11:19:13,8.52E-02,41,41,orange
11:20:35,0.1239738,42,42,orange
11:21:50,1.111987,43,43,orange
11:23:22,0.1253602,44,44,orange
11:24:38,0.1475669,45,45,orange
11:25:54,0.2168031,46,46,orange
11:27:21,0.1064219,47,47,orange
11:28:35,0.1043636,48,48,orange
11:29:51,0.1072915,49,49,orange
11:31:17,0.1701728,50,50,orange
11:32:35,0.1288258,51,51,orange
11:34:02,0.8314443,52,52,orange
11:35:37,0.1178385,53,53,orange
11:37:05,0.0717398,54,54,orange
11:38:30,0.1455579,55,55,orange
11:39:50,0.1664847,56,56,orange
11:41:19,0.1298918,57,57,orange
11:42:41,0.1475673,58,58,orange
11:44:06,7.52E-02,59,59,orange
11:45:22,1.076296,60,60,orange
