starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,,
8:52:12,0.1159552,1,7000,1,white
8:53:31,0.4446692,2,7000,2,white
8:54:52,9.11E-02,3,7000,3,white
8:56:06,0.1900965,4,7000,4,white
8:57:17,9.73E-02,5,7000,5,white
8:58:29,0.6656961,6,7000,6,white
8:59:50,0.0620579,7,7000,7,white
9:01:17,0.1417299,8,7000,8,white
9:02:45,7.66E-02,9,7000,9,white
9:04:12,0.1649783,10,7000,10,white
9:05:35,0.0790992,11,7000,11,white
9:07:07,7.87E-02,12,7000,12,white
9:08:22,0.1333534,13,7000,13,white
9:09:33,0.6284224,14,7000,14,white
9:10:59,0.787115,15,7000,15,white
9:12:25,7.43E-02,16,7000,16,white
9:13:34,5.62E-02,17,7000,17,white
9:15:00,0.7986168,18,7000,18,white
9:16:30,0.1228998,19,7000,19,white
9:18:10,0.1244598,20,7000,20,white
9:19:29,8.03E-02,21,7000,21,white
9:20:59,0.1076663,22,7000,22,white
9:22:14,8.43E-02,23,7000,23,white
9:23:33,0.4430076,24,7000,24,white
9:24:53,0.1126874,25,7000,25,white
9:26:24,0.1327006,26,7000,26,white
9:27:55,0.1711991,27,7000,27,white
9:29:11,0.5797173,28,7000,28,white
9:30:30,7.92E-02,29,7000,29,white
9:31:52,0.2756887,30,7000,30,white
9:33:23,9.46E-02,31,7000,31,white
9:34:28,2.10E-02,32,7000,32,white
9:36:02,1.77E-02,33,7000,33,white
9:37:15,0.6840302,34,7000,34,white
9:38:40,0.1549642,35,7000,35,white
9:40:23,0.1845995,36,7000,36,white
9:41:32,0.1163214,37,7000,37,white
9:42:47,7.73E-02,38,7000,38,white
9:44:02,0.5076222,39,7000,39,white
9:45:34,1.704165,40,7000,40,white
9:47:04,0.1405057,41,7000,41,white
9:48:33,0.6490608,42,7000,42,white
9:50:13,0.1570738,43,7000,43,white
9:51:47,9.72E-02,44,7000,44,white
9:53:04,0.1064706,45,7000,45,white
9:54:34,0.1584217,46,7000,46,white
9:55:54,6.50E-02,47,7000,47,white
9:57:09,9.30E-02,48,7000,48,white
9:58:14,0.5818702,49,7000,49,white
9:59:26,0.501882,50,7000,50,white
10:00:40,0.0963096,51,7000,51,white
10:02:06,0.1332493,52,7000,52,white
10:03:31,0.3830319,53,7000,53,white
10:05:01,0.7619376,54,7000,54,white
10:06:23,0.1806873,55,7000,55,white
10:07:40,0.4667558,56,7000,56,white
10:08:54,0.1037717,57,7000,57,white
10:10:08,3.37E-02,58,7000,58,white
10:11:15,0.1029123,59,7000,59,white
10:12:31,0.724691,60,7000,60,white
10:13:46,0.6385793,61,7000,61,white
10:15:01,0.4751346,62,7000,62,white
10:16:23,0.1257805,63,7000,63,white
8:52:12,0.1609749,1,6262,1,orange
8:53:31,0.3282166,2,6262,2,orange
8:54:52,0.1265682,3,6262,3,orange
8:56:06,0.1505362,4,6262,4,orange
8:57:17,0.1779981,5,6262,5,orange
8:58:29,0.1163382,6,6262,6,orange
8:59:50,0.877844,7,6262,7,orange
9:01:17,0.2501335,8,6262,8,orange
9:02:45,0.1836253,9,6262,9,orange
9:04:12,0.3130915,10,6262,10,orange
9:05:35,1.056176,11,6262,11,orange
9:07:07,0.2041814,12,6262,12,orange
9:08:22,0.16727,13,6262,13,orange
9:09:33,0.1904855,14,6262,14,orange
9:10:59,0.7832538,15,6262,15,orange
9:12:25,0.1709621,16,6262,16,orange
9:13:34,0.6465281,17,6262,17,orange
9:15:00,0.1980375,18,6262,18,orange
9:16:30,1.07282,19,6262,19,orange
9:18:10,0.2101286,20,6262,20,orange
9:19:29,1.048849,21,6262,21,orange
9:20:59,0.1430722,22,6262,22,orange
9:22:14,0.1215016,23,6262,23,orange
9:23:33,0.1114044,24,6262,24,orange
9:24:53,0.9240882,25,6262,25,orange
9:26:24,0.9348325,26,6262,26,orange
9:27:55,0.2263707,27,6262,27,orange
9:29:11,0.1229622,28,6262,28,orange
9:30:30,0.2096311,29,6262,29,orange
9:31:52,1.234325,30,6262,30,orange
9:33:23,0.1226686,31,6262,31,orange
9:34:28,0.9797774,32,6262,32,orange
9:36:02,0.1505968,33,6262,33,orange
9:37:15,0.1477637,34,6262,34,orange
9:38:40,1.142109,35,6262,35,orange
9:40:23,0.1376713,36,6262,36,orange
9:41:32,0.1532031,37,6262,37,orange
9:42:47,9.08E-02,38,6262,38,orange
9:44:02,1.163228,39,6262,39,orange
9:45:34,0.1900096,40,6262,40,orange
9:47:04,0.3763707,41,6262,41,orange
9:48:33,0.2083795,42,6262,42,orange
9:50:13,0.2020469,43,6262,43,orange
9:51:47,0.1265536,44,6262,44,orange
9:53:04,1.051411,45,6262,45,orange
9:54:34,0.1415179,46,6262,46,orange
9:55:54,0.1479455,47,6262,47,orange
9:57:09,0.1339934,48,6262,48,orange
9:58:14,0.1213978,49,6262,49,orange
9:59:26,0.1430687,50,6262,50,orange
10:00:40,0.7442055,51,6262,51,orange
10:02:06,1.114548,52,6262,52,orange
10:03:31,0.8649194,53,6262,53,orange
10:05:01,0.1911196,54,6262,54,orange
10:06:23,0.2632757,55,6262,55,orange
10:07:40,0.2042799,56,6262,56,orange
10:08:54,0.1040854,57,6262,57,orange
10:10:08,0.1300451,58,6262,58,orange
10:11:15,0.1315088,59,6262,59,orange
10:12:31,0.1776464,60,6262,60,orange
10:13:46,0.315036,61,6262,61,orange
10:15:01,0.3790144,62,6262,62,orange
10:16:23,0.1166345,63,6262,63,orange
