starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,,,
9:44:06,5.54E-02,1,7000,1,white,Ferris
9:45:24,9.41E-02,2,7000,2,white,Grant
9:46:40,5.87E-02,3,7000,3,white,Grant
9:48:13,0.1184031,4,7000,4,white,Milford
9:49:33,0.1639035,5,7000,5,white,Grant
9:51:07,6.49E-02,6,7000,6,white,Ferris
9:52:49,0.1271021,7,7000,7,white,Grant
9:54:01,6.80E-02,8,7000,8,white,Milford
9:55:12,0.2201691,9,7000,9,white,Grant
9:56:39,7.28E-02,10,7000,10,white,Grant
9:58:11,8.53E-02,11,7000,11,white,Ferris
9:59:39,8.57E-02,12,7000,12,white,Grant
10:00:52,5.93E-02,13,7000,13,white,MSU
10:02:19,0.1073653,14,7000,14,white,Grant
10:03:46,0.1039533,15,7000,15,white,Ferris
10:05:03,0.1814777,16,7000,16,white,Grant
10:06:28,8.32E-02,17,7000,17,white,Ferris
10:07:55,8.76E-02,18,7000,18,white,Grant
10:09:08,6.34E-02,19,7000,19,white,Grant
10:10:25,9.05E-02,20,7000,20,white,MSU
10:11:45,5.47E-02,21,7000,21,white,Grant
10:12:55,4.22E-02,22,7000,22,white,Grant
10:14:05,0.1091866,23,7000,23,white,Grant
10:15:13,6.80E-02,24,7000,24,white,Ferris
10:16:46,7.24E-02,25,7000,25,white,Grant
10:18:04,0.2874,26,7000,26,white,Grant
10:19:29,0.1089849,27,7000,27,white,Ferris
10:20:50,0.7247808,28,7000,28,white,Milford
10:22:15,1.121949,29,7000,29,white,Grant
10:23:30,0.7199153,30,7000,30,white,Ferris
10:25:11,0.413033,31,7000,31,white,Grant
10:26:36,5.65E-02,32,7000,32,white,Ferris
10:27:49,0.1614346,33,7000,33,white,Grant
10:29:20,0.2541237,34,7000,34,white,Grant
10:30:26,0.326465,35,7000,35,white,Grant
10:31:36,0.1007219,36,7000,36,white,Milford
10:32:49,7.40E-02,37,7000,37,white,Grant
10:34:29,5.51E-02,38,7000,38,white,Grant
10:36:01,9.92E-02,39,7000,39,white,Grant
10:37:25,0.5055474,40,7000,40,white,Ferris
10:38:57,8.43E-02,41,7000,41,white,Grant
10:40:25,0.1069683,42,7000,42,white,Grant
10:41:32,0.136772,43,7000,43,white,Grant
10:43:00,5.76E-02,44,7000,44,white,Milford
10:44:10,0.1771578,45,7000,45,white,Grant
10:45:21,7.28E-02,46,7000,46,white,Ferris
10:46:35,0.6300822,47,7000,47,white,Grant
10:48:10,8.76E-02,48,7000,48,white,Milford
10:49:18,0.3978092,49,7000,49,white,Grant
10:50:45,0.1115295,50,7000,50,white,Grant
10:52:02,0.274817,51,7000,51,white,Grant
10:53:31,0.1408426,52,7000,52,white,Grant
10:54:42,6.42E-02,53,7000,53,white,Ferris
10:55:56,6.52E-02,54,7000,54,white,Grant
10:57:18,5.12E-02,55,7000,55,white,Grant
10:58:37,9.13E-02,56,7000,56,white,Grant
11:00:11,6.89E-02,57,7000,57,white,Milford
11:01:15,0.2023468,58,7000,58,white,Grant
11:02:30,6.64E-02,59,7000,59,white,Ferris
11:04:03,0.0855639,60,7000,60,white,Grant
9:44:06,0.1976725,1,6262,1,blue,MSU
9:45:24,0.1740884,2,6262,2,blue,Grant
9:46:40,0.7487298,3,6262,3,blue,Ferris
9:48:13,0.2053956,4,6262,4,blue,Grant
9:49:33,1.308943,5,6262,5,blue,Milford
9:51:07,2.092909,6,6262,6,blue,Grant
9:52:49,0.1326049,7,6262,7,blue,Grant
9:54:01,0.1092344,8,6262,8,blue,Ferris
9:55:12,1.621185,9,6262,9,blue,Grant
9:56:39,2.01776,10,6262,10,blue,Milford
9:58:11,0.5401859,11,6262,11,blue,Grant
9:59:39,0.2189396,12,6262,12,blue,Ferris
