starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,,,
10:47:26,9.57E-02,1,7000,67,red,Milford
10:48:31,7.11E-02,2,7000,68,red,Grant
10:49:50,0.10864,3,7000,69,red,Grant
10:51:15,1.30E-02,4,7000,70,red,Blank
10:52:23,0.9618008,5,7000,71,red,Grant
10:53:48,0.2875504,6,7000,72,red,Ferris
10:55:03,1.26E-02,7,7000,73,red,Blank
10:56:15,0.6867489,8,7000,74,red,Grant
10:57:43,7.43E-02,9,7000,75,red,Grant
11:00:03,8.27E-02,10,7000,77,red,Ferris
11:01:35,1.27E-03,11,7000,,,
10:47:26,6.81E-02,1,6262,66,orange,Ferris
10:48:31,0.6410758,2,6262,67,orange,Grant
10:49:50,0.7436156,3,6262,68,orange,Grant
10:51:15,0.1017155,4,6262,69,orange,Milford
10:52:23,0.1464355,5,6262,70,orange,Grant
10:53:48,0.1259062,6,6262,71,orange,Grant
10:55:03,0.122758,7,6262,72,orange,Ferris
10:56:15,0.1744151,8,6262,73,orange,Grant
10:57:43,0.1184902,9,6262,74,orange,Milford
11:00:03,0.6941437,10,6262,75,orange,Grant
11:01:35,0.1794719,11,6262,77,orange,Ferris
