starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,,,
24:17:34,0.1524032,1,7000,1,red,Grant
24:18:51,0.4845942,2,7000,2,red,Grant
24:20:21,4.80E-02,3,7000,3,red,Ferris
24:21:30,8.76E-02,4,7000,4,red,Ferris
24:22:35,7.91E-02,5,7000,5,red,Grant
24:23:39,4.65E-02,6,7000,6,red,Ferris
24:24:55,0.1359503,7,7000,7,red,Ferris
24:26:02,0.6769822,8,7000,8,red,Grant
24:27:23,7.00E-02,9,7000,9,red,Grant
24:28:32,0.1631437,10,7000,10,red,Grant
24:29:43,0.1322305,11,7000,11,red,Grant
24:30:50,0.1121238,12,7000,12,red,Grant
24:32:18,0.0790768,13,7000,13,red,Ferris
24:33:44,5.51E-02,14,7000,14,red,Ferris
24:34:56,0.5003167,15,7000,15,red,Grant
24:36:09,8.37E-02,16,7000,16,red,Ferris
24:37:32,9.40E-02,17,7000,17,red,Ferris
24:38:49,0.1090554,18,7000,18,red,Grant
24:40:05,6.92E-02,19,7000,19,red,Grant
24:41:13,0.5573636,20,7000,20,red,Ferris
24:42:35,0.1720414,21,7000,21,red,Grant
24:44:22,0.4081513,22,7000,22,red,Ferris
24:46:08,0.6006994,23,7000,23,red,Grant
24:47:32,0.1391342,24,7000,24,red,Grant
24:48:52,0.0763792,25,7000,25,red,Milford
24:50:00,8.55E-02,26,7000,26,red,Ferris
24:51:09,9.53E-03,27,7000,27,red,Blank
24:52:24,6.42E-02,28,7000,28,red,Ferris
24:53:55,0.2233355,29,7000,29,red,Grant
24:55:07,6.45E-02,30,7000,30,red,Ferris
24:56:21,6.53E-02,31,7000,31,red,Grant
24:57:32,3.51E-02,32,7000,32,red,Ferris
24:58:48,0.1383315,33,7000,33,red,Grant
24:59:55,6.63E-02,34,7000,34,red,Grant
13:01:07,0.6304677,35,7000,35,red,Grant
13:02:28,6.23E-02,36,7000,36,red,Ferris
13:03:34,0.1203711,37,7000,37,red,Grant
13:04:41,5.59E-02,38,7000,38,red,Ferris
13:05:52,0.9455976,39,7000,39,red,Grant
13:07:12,7.09E-02,40,7000,40,red,Grant
13:08:26,0.2410935,41,7000,41,red,Grant
13:09:42,9.42E-02,42,7000,42,red,Ferris
13:10:53,0.5306118,43,7000,43,red,Grant
13:12:14,0.4661531,44,7000,44,red,Grant
13:13:32,0.4384719,45,7000,45,red,Grant
13:14:50,0.1156539,46,7000,46,red,Grant
13:16:01,0.1103744,47,7000,47,red,Grant
13:17:07,5.56E-02,48,7000,48,red,Ferris
13:18:14,6.71E-02,49,7000,49,red,Grant
13:19:22,8.01E-02,50,7000,50,red,Grant
13:20:47,0.1477352,51,7000,51,red,Grant
13:22:02,0.1076088,52,7000,52,red,Grant
13:23:12,0.3022177,53,7000,53,red,Grant
13:24:26,6.80E-02,54,7000,54,red,Grant
13:25:43,0.3864066,55,7000,55,red,Grant
13:27:04,6.43E-02,56,7000,56,red,Ferris
13:28:21,9.88E-02,57,7000,57,red,Grant
13:29:27,9.24E-02,58,7000,58,red,Grant
13:30:38,6.86E-02,59,7000,59,red,Grant
13:31:41,0.1192529,60,7000,60,red,Ferris
13:33:02,4.87E-02,61,7000,61,red,Grant
13:34:15,0.452556,62,7000,62,red,Grant
13:35:37,6.15E-02,63,7000,63,red,Ferris
13:36:32,5.68E-02,64,7000,64,red,Grant
13:37:39,7.98E-02,65,7000,66,red,Ferris
13:38:36,9.47E-03,66,7000,70,red,Blank
24:17:34,3.86E-02,1,6262,1,blue,Grant
24:18:51,1.41699,2,6262,2,blue,Milford
24:20:21,0.1479277,3,6262,3,blue,Grant
24:21:30,0.107341,4,6262,4,blue,Milford
24:22:35,0.1146965,5,6262,5,blue,Grant
24:23:39,0.1277728,6,6262,6,blue,Grant
24:24:55,0.0778365,7,6262,7,blue,Ferris
24:26:02,0.0604049,8,6262,8,blue,Grant
24:27:23,0.1044762,9,6262,9,blue,Ferris
