starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor
9:11:20,6.25E-02,1,7000
9:12:44,0.7499059,2,7000
9:14:22,7.23E-02,3,7000
9:15:43,0.4807305,4,7000
9:17:23,7.29E-02,5,7000
9:18:52,0.1921307,6,7000
9:20:42,7.69E-02,7,7000
9:22:41,8.46E-02,8,7000
9:24:09,9.97E-02,9,7000
9:25:39,8.73E-02,10,7000
9:27:07,0.1315478,11,7000
9:28:51,5.18E-02,12,7000
9:30:32,4.09E-02,13,7000
9:32:06,0.1759696,14,7000
9:33:47,0.1999103,15,7000
9:35:14,7.51E-02,16,7000
9:36:53,9.08E-03,17,7000
9:38:53,9.65E-03,18,7000
9:40:01,1.97E-04,19,7000
9:11:20,0.1393292,1,6262
9:12:44,1.18431,2,6262
9:14:22,4.81E-02,3,6262
9:15:43,0.2108481,4,6262
9:17:23,0.1776059,5,6262
9:18:52,0.1672918,6,6262
9:20:42,2.167835,7,6262
9:22:41,0.1616183,8,6262
9:24:09,0.1558297,9,6262
9:25:39,0.1492172,10,6262
9:27:07,0.158086,11,6262
9:28:51,0.5286152,12,6262
9:30:32,0.2694785,13,6262
9:32:06,0.1313265,14,6262
9:33:47,7.21E-02,15,6262
9:35:14,0.86937,16,6262
9:36:53,0.9976436,17,6262
9:38:53,1.70E-02,18,6262
9:40:01,1.96E-02,19,6262
