starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,,,
10:45:21,0.1054268,1,7000,63,white,
10:47:02,6.56E-02,2,7000,64,white,
10:48:21,0.1493552,3,7000,65,white,
10:49:50,5.26E-02,4,7000,66,white,
10:51:19,8.53E-02,5,7000,67,white,
10:52:43,0.6399115,6,7000,68,white,
10:54:09,0.5398899,7,7000,69,white,
10:55:49,7.61E-02,8,7000,71,white,
10:57:06,5.58E-02,9,7000,72,white,
10:58:22,0.1710305,10,7000,73,white,
10:59:32,6.54E-02,11,7000,74,white,
11:00:42,7.76E-02,12,7000,75,white,
11:02:06,5.32E-03,13,7000,76,white,
11:03:24,8.00E-03,14,7000,77,white,
11:04:53,0.116026,15,7000,,,this record shouldn't be so high (?)
11:06:00,-4.99E-04,16,7000,,,
10:45:21,0.2342562,1,6262,62,blue,
10:47:02,0.4251593,2,6262,63,blue,
10:48:21,0.7839539,3,6262,64,blue,
10:49:50,1.096453,4,6262,65,blue,
10:51:19,0.7309133,5,6262,66,blue,
10:52:43,0.1379517,6,6262,67,blue,
10:54:09,1.155368,7,6262,68,blue,
10:55:49,0.1736761,8,6262,69,blue,
10:57:06,0.1614246,9,6262,70,blue,
10:58:22,0.1011004,10,6262,71,blue,
10:59:32,0.1536765,11,6262,72,blue,
11:00:42,0.3724649,12,6262,73,blue,
11:02:06,0.2679591,13,6262,74,blue,
11:03:24,0.9391848,14,6262,75,blue,
11:04:53,0.2154383,15,6262,76,blue,high record for a blank?
11:06:00,1.55E-02,16,6262,77,blue,
