starttime_VCO2_6262_1,area_VCO2_6262_1,n,data_num,tape,licor
7:49:59,3.42E-02,1,1,orange,7000
7:51:36,3.45E-02,2,2,orange,7000
7:53:10,0.483076,3,3,orange,7000
7:54:52,0.2802091,4,4,orange,7000
7:56:39,5.15E-02,5,5,orange,7000
7:58:23,0.787016,6,6,orange,7000
8:00:42,5.40E-02,7,7,orange,7000
8:02:05,5.63E-02,8,8,orange,7000
8:03:15,0.363935,9,9,orange,7000
8:04:34,0.5568005,10,10,orange,7000
8:05:53,5.14E-02,11,11,orange,7000
8:07:09,3.64E-02,12,12,orange,7000
8:08:23,9.18E-02,13,13,orange,7000
8:09:39,8.25E-02,14,14,orange,7000
8:10:56,3.98E-02,15,15,orange,7000
8:12:21,0.5492268,16,16,orange,7000
8:13:38,0.1010693,17,17,orange,7000
8:14:39,0.5810983,18,18,orange,7000
8:15:56,8.22E-02,19,19,orange,7000
,,,20,orange,7000
8:17:16,5.84E-02,20,21,orange,7000
8:20:09,0.7263911,21,22,orange,7000
8:22:05,4.46E-02,22,23,orange,7000
8:23:24,4.88E-02,23,24,orange,7000
8:24:32,6.82E-02,24,25,orange,7000
8:25:52,0.3236653,25,26,orange,7000
8:27:45,0.588869,26,27,orange,7000
8:28:56,5.52E-02,27,28,orange,7000
8:30:04,0.6912003,28,29,orange,7000
8:31:12,4.77E-02,29,30,orange,7000
8:32:30,6.58E-02,30,31,orange,7000
8:33:55,5.63E-02,31,32,orange,7000
8:35:00,8.41E-02,32,33,orange,7000
8:36:07,4.44E-02,33,34,orange,7000
8:37:14,9.20E-02,34,35,orange,7000
,,,36,orange,7000
8:38:19,5.52E-02,35,37,orange,7000
8:40:19,5.06E-02,36,38,orange,7000
8:42:36,5.13E-02,37,39,orange,7000
8:44:07,3.73E-02,38,40,orange,7000
8:45:32,0.1208888,39,41,orange,7000
8:46:48,5.17E-02,40,42,orange,7000
8:47:55,8.59E-02,41,43,orange,7000
8:49:05,0.1105348,42,44,orange,7000
8:50:12,2.66E-02,43,45,orange,7000
8:51:58,4.34E-02,44,46,orange,7000
8:53:23,5.08E-02,45,47,orange,7000
8:54:39,6.74E-02,46,48,orange,7000
8:55:40,6.98E-02,47,49,orange,7000
8:56:58,4.41E-02,48,50,orange,7000
8:58:49,0.0605445,49,51,orange,7000
8:59:55,1.57E-02,50,52,orange,7000
9:01:15,4.62E-02,51,53,orange,7000
9:02:26,7.86E-02,52,54,orange,7000
9:03:37,7.47E-02,53,55,orange,7000
9:05:03,4.43E-02,54,56,orange,7000
9:06:14,7.95E-02,55,57,orange,7000
9:07:22,4.42E-02,56,58,orange,7000
9:08:39,8.88E-03,57,59,orange,7000
9:09:54,8.81E-03,58,60,orange,7000
7:49:59,0.4589144,1,1,white,6262
7:51:36,0.1167935,2,2,white,6262
7:53:10,8.39E-02,3,3,white,6262
7:54:52,0.7750984,4,4,white,6262
7:56:39,5.07E-02,5,5,white,6262
7:58:23,5.58E-02,6,6,white,6262
8:00:42,6.71E-02,7,7,white,6262
8:02:05,8.54E-02,8,8,white,6262
8:03:15,0.1468936,9,9,white,6262
8:04:34,0.1256033,10,10,white,6262
8:05:53,0.5917418,11,11,white,6262
8:07:09,0.120402,12,12,white,6262
8:08:23,5.63E-02,13,13,white,6262
8:09:39,9.18E-02,14,14,white,6262
8:10:56,0.0798962,15,15,white,6262
8:12:21,0.1645447,16,16,white,6262
8:13:38,0.1315416,17,17,white,6262
8:14:39,0.2251637,18,18,white,6262
8:15:56,0.7049561,19,19,white,6262
8:17:16,0.1139723,20,20,white,6262
8:20:09,7.62E-02,21,21,white,6262
8:22:05,0.2279589,22,22,white,6262
8:23:24,0.1403352,23,23,white,6262
8:24:32,0.1175357,24,24,white,6262
8:25:52,0.5410966,25,25,white,6262
8:27:45,0.3986581,26,26,white,6262
8:28:56,0.1727652,27,27,white,6262
8:30:04,0.7933757,28,28,white,6262
8:31:12,1.237783,29,29,white,6262
8:32:30,0.6226395,30,30,white,6262
8:33:55,0.2313992,31,31,white,6262
8:35:00,0.1595003,32,32,white,6262
8:36:07,0.6900791,33,33,white,6262
8:37:14,0.0875603,34,34,white,6262
8:38:19,0.8807317,35,35,white,6262
8:40:19,1.330835,36,36,white,6262
8:42:36,0.9266564,37,37,white,6262
8:44:07,0.1380371,38,38,white,6262
8:45:32,0.1283924,39,39,white,6262
8:46:48,0.1061887,40,40,white,6262
8:47:55,0.1125032,41,41,white,6262
8:49:05,5.34E-02,42,42,white,6262
8:50:12,8.12E-02,43,43,white,6262
8:51:58,8.73E-02,44,44,white,6262
8:53:23,0.1153871,45,45,white,6262
8:54:39,6.09E-02,46,46,white,6262
8:55:40,1.219327,47,47,white,6262
8:56:58,0.3894625,48,48,white,6262
8:58:49,8.41E-02,49,49,white,6262
8:59:55,0.1483143,50,50,white,6262
9:01:15,0.8837259,51,51,white,6262
9:02:26,0.1741527,52,52,white,6262
9:03:37,0.0177549,53,53,white,6262
9:05:03,9.66E-02,54,54,white,6262
9:06:14,5.88E-02,55,55,white,6262
9:07:22,0.1102193,56,56,white,6262
9:08:39,0.1278913,57,57,white,6262
9:09:54,2.79E-02,58,58,white,6262
,,,59,white,6262
