starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,indID,tape
10:01:23,5.50E-02,1,7000,1,white
10:03:24,0.1403908,2,7000,2,white
10:05:01,8.71E-02,3,7000,3,white
10:06:37,0.686084,4,7000,4,white
10:08:39,3.46E-02,5,7000,5,white
10:10:15,4.20E-02,6,7000,6,white
10:11:32,0.5668784,7,7000,7,white
10:13:02,3.75E-02,8,7000,8,white
10:14:21,4.35E-02,9,7000,9,white
10:15:46,0.0648893,10,7000,10,white
10:17:36,0.0695311,11,7000,11,white
10:19:20,2.65E-02,12,7000,12,white
10:20:34,0.4948844,13,7000,13,white
10:21:55,0.5541983,14,7000,14,white
10:23:15,4.50E-02,15,7000,15,white
10:24:39,0.6963998,16,7000,16,white
10:26:10,3.92E-02,17,7000,17,white
10:27:31,0.1022221,18,7000,18,white
10:29:11,5.86E-02,19,7000,19,white
10:30:38,6.07E-02,20,7000,20,white
10:32:03,3.25E-02,21,7000,21,white
10:33:27,0.6979717,22,7000,22,white
10:35:02,6.44E-02,23,7000,23,white
10:36:21,4.90E-02,24,7000,24,white
10:38:01,6.23E-02,25,7000,25,white
10:39:14,0.6571423,26,7000,26,white
10:40:54,8.99E-02,27,7000,27,white
10:42:25,4.31E-02,28,7000,28,white
10:43:41,0.5283675,29,7000,29,white
10:45:07,8.00E-02,30,7000,30,white
10:46:42,6.38E-02,31,7000,31,white
10:47:59,0.4544602,32,7000,32,white
10:49:08,5.71E-02,33,7000,33,white
10:50:22,0.0532568,34,7000,34,white
10:51:44,3.74E-02,35,7000,35,white
10:52:56,0.4974753,36,7000,36,white
10:54:09,0.1161183,37,7000,37,white
10:55:20,0.5230658,38,7000,38,white
10:56:32,4.25E-02,39,7000,39,white
10:57:58,0.0920743,40,7000,40,white
10:59:16,0.5440113,41,7000,41,white
11:00:27,0.0445,42,7000,42,white
11:01:48,5.06E-02,43,7000,43,white
11:03:01,6.98E-02,44,7000,44,white
11:04:20,8.37E-02,45,7000,45,white
11:05:31,3.29E-02,46,7000,46,white
11:06:47,0.0494121,47,7000,47,white
11:09:22,5.28E-02,48,7000,48,white
11:10:31,0.6565114,49,7000,49,white
11:11:39,6.37E-02,50,7000,50,white
11:12:57,4.47E-02,51,7000,51,white
11:14:09,0.7212432,52,7000,52,white
11:15:19,4.73E-02,53,7000,53,white
11:16:40,0.6402944,54,7000,54,white
11:17:53,3.52E-02,55,7000,55,white
11:19:02,0.3417259,56,7000,56,white
11:20:11,0.1029212,57,7000,57,white
11:21:25,4.51E-02,58,7000,58,white
11:22:42,4.76E-02,59,7000,59,white
11:24:04,0.7968696,60,7000,60,white
11:25:21,0.5260035,61,7000,61,white
10:01:23,1.223068,1,6262,1,blue
10:03:24,6.25E-02,2,6262,2,blue
10:05:01,6.46E-02,3,6262,3,blue
10:06:37,1.92E-02,4,6262,4,blue
10:08:39,0.9956999,5,6262,5,blue
10:10:15,3.20E-02,6,6262,6,blue
10:11:32,0.2147229,7,6262,7,blue
10:13:02,5.73E-02,8,6262,8,blue
10:14:21,0.1133951,9,6262,9,blue
10:15:46,1.071498,10,6262,10,blue
10:17:36,0.8732588,11,6262,11,blue
10:19:20,5.21E-02,12,6262,12,blue
10:20:34,7.94E-02,13,6262,13,blue
10:21:55,5.74E-02,14,6262,14,blue
10:23:15,7.58E-02,15,6262,15,blue
10:24:39,0.2311758,16,6262,16,blue
10:26:10,3.23E-02,17,6262,17,blue
10:27:31,0.7223653,18,6262,18,blue
10:29:11,5.89E-02,19,6262,19,blue
10:30:38,4.89E-02,20,6262,20,blue
10:32:03,6.01E-02,21,6262,21,blue
10:33:27,0.488788,22,6262,22,blue
10:35:02,6.40E-02,23,6262,23,blue
10:36:21,1.280336,24,6262,24,blue
10:38:01,7.34E-02,25,6262,25,blue
10:39:14,1.287277,26,6262,26,blue
10:40:54,0.1298224,27,6262,27,blue
10:42:25,0.1126398,28,6262,28,blue
10:43:41,0.1398778,29,6262,29,blue
10:45:07,1.237931,30,6262,30,blue
10:46:42,7.07E-02,31,6262,31,blue
10:47:59,0.1287684,32,6262,32,blue
10:49:08,9.34E-02,33,6262,33,blue
10:50:22,0.7359705,34,6262,34,blue
10:51:44,8.27E-02,35,6262,35,blue
10:52:56,0.1380157,36,6262,36,blue
10:54:09,9.16E-02,37,6262,37,blue
10:55:20,0.1187577,38,6262,38,blue
10:56:32,0.1585635,39,6262,39,blue
10:57:58,6.81E-02,40,6262,40,blue
10:59:16,9.25E-02,41,6262,41,blue
11:00:27,7.52E-02,42,6262,42,blue
11:01:48,0.1156348,43,6262,43,blue
11:03:01,0.1000314,44,6262,44,blue
11:04:20,9.03E-02,45,6262,45,blue
11:05:31,9.68E-02,46,6262,46,blue
11:06:47,0.5110918,47,6262,47,blue
11:09:22,7.75E-02,48,6262,48,blue
11:10:31,0.0880895,49,6262,49,blue
11:11:39,0.2422677,50,6262,50,blue
11:12:57,0.1121567,51,6262,51,blue
11:14:09,9.88E-02,52,6262,52,blue
11:15:19,8.62E-02,53,6262,53,blue
11:16:40,8.79E-02,54,6262,54,blue
11:17:53,7.08E-02,55,6262,55,blue
11:19:02,4.97E-02,56,6262,56,blue
11:20:11,7.95E-02,57,6262,57,blue
11:21:25,0.1011679,58,6262,58,blue
11:22:42,0.4351459,59,6262,59,blue
11:24:04,6.26E-02,60,6262,60,blue
11:25:21,7.90E-02,61,6262,61,blue
