starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,,,
10:19:19,0.0638925,1,7000,64,white,Ferris
10:20:31,7.31E-02,2,7000,65,white,Grant
10:21:49,0.0923292,3,7000,66,white,Grant
10:22:57,0.8565629,4,7000,67,white,Grant
10:24:20,8.34E-02,5,7000,68,white,Grant
10:25:33,9.94E-02,6,7000,70,white,Ferris
10:26:40,1.057444,7,7000,72,white,Milford
10:28:10,1.09E-03,8,7000,,,
10:29:14,6.71E-04,9,7000,,,
10:19:19,7.26E-02,1,6262,64,orange,Ferris
10:20:31,0.1129783,2,6262,65,orange,Grant
10:21:49,6.75E-02,3,6262,66,orange,Grant
10:22:57,0.1097737,4,6262,67,orange,Ferris
10:24:20,0.1123388,5,6262,68,orange,Grant
10:25:33,0.1525039,6,6262,69,orange,Grant
10:26:40,2.18E-02,7,6262,70,orange,Blank
10:28:10,1.59E-02,8,6262,71,orange,Blank
10:29:14,0.1860628,9,6262,75,orange,Milford
