starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,,,
11:06:47,0.0789437,1,7000,61,white,Ferris
11:08:03,0.1332537,2,7000,62,white,Grant
11:09:16,0.344875,3,7000,63,white,Grant
11:10:28,9.24E-02,4,7000,64,white,Ferris
11:11:37,0.4755291,5,7000,65,white,Grant
11:13:02,5.75E-02,6,7000,66,white,Grant
11:14:24,0.0897368,7,7000,67,white,Ferris
11:15:43,7.50E-02,8,7000,68,white,Grant
11:16:58,5.71E-02,9,7000,69,white,Grant
11:18:13,0.043973,10,7000,70,white,Ferris
11:19:22,0.1064432,11,7000,71,white,Grant
11:20:34,0.1096119,12,7000,72,white,Ferris
11:22:22,9.08E-02,13,7000,73,white,Grant
11:23:33,5.38E-02,14,7000,74,white,Grant
11:24:56,0.5173169,15,7000,75,white,Ferris
11:26:22,1.22E-02,16,7000,76,white,Blank
11:27:20,9.33E-03,17,7000,77,white,Blank
11:06:47,0.15868,1,6262,61,blue,Milford
11:08:03,8.83E-02,2,6262,62,blue,Grant
11:09:16,0.1487624,3,6262,63,blue,Grant
11:10:28,0.1864045,4,6262,64,blue,Ferris
11:11:37,0.636291,5,6262,65,blue,Grant
11:13:02,0.7623356,6,6262,66,blue,Grant
11:14:24,0.2573703,7,6262,67,blue,Milford
11:15:43,0.1167077,8,6262,68,blue,Grant
11:16:58,0.1636563,9,6262,69,blue,Grant
11:18:13,7.00E-02,10,6262,70,blue,Ferris
11:19:22,0.073502,11,6262,71,blue,Grant
11:20:34,0.2766009,12,6262,72,blue,Grant
11:22:22,0.1610967,13,6262,73,blue,Ferris
11:23:33,0.290533,14,6262,74,blue,Grant
11:24:56,0.1787215,15,6262,75,blue,Grant
11:26:22,1.90E-02,16,6262,76,blue,Blank
11:27:20,1.87E-02,17,6262,77,blue,Blank
