starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,IndID,Tape
10:16:54,5.40E-02,1,7000,1,white
10:17:50,0.64234,2,7000,2,white
10:19:12,0.0596192,3,7000,3,white
10:20:42,0.1536541,4,7000,4,white
10:21:58,0.1280682,5,7000,5,white
10:23:18,8.09E-02,6,7000,6,white
10:24:32,7.23E-02,7,7000,7,white
10:25:43,7.65E-02,8,7000,8,white
10:26:55,0.1414477,9,7000,9,white
10:28:08,8.16E-02,10,7000,10,white
10:29:18,0.5538897,11,7000,11,white
10:30:36,0.668568,12,7000,12,white
10:31:58,9.01E-02,13,7000,13,white
10:33:21,5.65E-02,14,7000,14,white
10:34:23,7.18E-02,15,7000,15,white
10:35:37,8.45E-02,16,7000,16,white
10:36:52,0.1388613,17,7000,17,white
10:38:04,0.6898057,18,7000,18,white
10:39:24,0.1056013,19,7000,19,white
10:40:30,0.6522008,20,7000,20,white
10:41:58,0.129211,21,7000,21,white
10:43:23,9.45E-02,22,7000,22,white
10:44:29,0.1131121,23,7000,23,white
10:45:39,0.1034333,24,7000,24,white
10:46:45,6.49E-02,25,7000,25,white
10:47:58,1.75E-02,26,7000,26,white
10:49:31,6.43E-02,27,7000,27,white
10:50:42,0.0476941,28,7000,28,white
10:51:59,0.1306476,29,7000,29,white
10:53:10,9.42E-02,30,7000,30,white
10:54:32,0.1790945,31,7000,31,white
10:56:00,0.1034641,32,7000,32,white
10:57:15,0.1835386,33,7000,33,white
10:58:44,8.55E-02,34,7000,34,white
10:59:52,7.85E-02,35,7000,35,white
11:01:04,4.57E-02,36,7000,36,white
11:02:16,0.5928177,37,7000,37,white
11:03:29,0.7121466,38,7000,38,white
11:04:50,0.1021479,39,7000,39,white
11:05:59,5.31E-02,40,7000,40,white
11:07:13,0.121721,41,7000,41,white
11:08:26,6.68E-02,42,7000,42,white
11:09:39,0.9019908,43,7000,43,white
11:11:06,7.38E-02,44,7000,44,white
11:12:13,7.76E-02,45,7000,45,white
11:13:24,0.1347854,46,7000,46,white
11:14:47,0.2436976,47,7000,47,white
11:16:09,7.68E-02,48,7000,48,white
11:17:21,6.30E-02,49,7000,49,white
11:18:51,8.77E-02,50,7000,50,white
11:20:18,9.20E-02,51,7000,51,white
11:21:44,0.6029453,52,7000,52,white
11:22:57,0.1138507,53,7000,53,white
11:24:22,7.81E-02,54,7000,54,white
11:25:46,0.1154116,55,7000,55,white
11:26:46,0.1171473,56,7000,56,white
11:27:56,7.39E-02,57,7000,57,white
11:29:16,5.94E-02,58,7000,58,white
11:30:42,5.70E-02,59,7000,59,white
11:31:56,5.53E-03,60,7000,60,white
11:33:19,4.33E-02,61,7000,61,white
11:34:33,0.1060527,62,7000,62,white
11:35:43,7.68E-02,63,7000,63,white
11:36:56,0.1682723,64,7000,64,white
11:38:02,7.76E-02,65,7000,65,white
10:16:54,1.76E-03,1,6262,1,orange
10:17:50,0.1541658,2,6262,2,orange
10:19:12,1.2416,3,6262,3,orange
10:20:42,0.1272456,4,6262,4,orange
10:21:58,0.1860683,5,6262,5,orange
10:23:18,0.1228137,6,6262,6,orange
10:24:32,0.1433824,7,6262,7,orange
10:25:43,0.1269707,8,6262,8,orange
10:26:55,0.193164,9,6262,9,orange
10:28:08,0.1596266,10,6262,10,orange
10:29:18,0.1804815,11,6262,11,orange
10:30:36,0.1149633,12,6262,12,orange
10:31:58,1.0947,13,6262,13,orange
10:33:21,5.80E-02,14,6262,14,orange
10:34:23,0.2104828,15,6262,15,orange
10:35:37,0.1718075,16,6262,16,orange
10:36:52,0.1772683,17,6262,17,orange
10:38:04,0.236412,18,6262,18,orange
10:39:24,0.1491342,19,6262,19,orange
10:40:30,1.01326,20,6262,20,orange
10:41:58,1.549918,21,6262,21,orange
10:43:23,5.29E-02,22,6262,22,orange
10:44:29,0.1131368,23,6262,23,orange
10:45:39,0.1272312,24,6262,24,orange
10:46:45,0.1493429,25,6262,25,orange
10:47:58,0.9294247,26,6262,26,orange
10:49:31,0.1387283,27,6262,27,orange
10:50:42,0.1137054,28,6262,28,orange
10:51:59,0.1435733,29,6262,29,orange
10:53:10,0.589605,30,6262,30,orange
10:54:32,0.174327,31,6262,31,orange
10:56:00,0.2700702,32,6262,32,orange
10:57:15,1.484051,33,6262,33,orange
10:58:44,0.1735178,34,6262,34,orange
10:59:52,9.30E-02,35,6262,35,orange
11:01:04,0.138581,36,6262,36,orange
11:02:16,0.1149151,37,6262,37,orange
11:03:29,0.1931833,38,6262,38,orange
11:04:50,0.1142278,39,6262,39,orange
11:05:59,0.1521171,40,6262,40,orange
11:07:13,0.1612173,41,6262,41,orange
11:08:26,0.1536235,42,6262,42,orange
11:09:39,0.382694,43,6262,43,orange
11:11:06,9.39E-02,44,6262,44,orange
11:12:13,0.1315753,45,6262,45,orange
11:13:24,0.7020786,46,6262,46,orange
11:14:47,0.1750593,47,6262,47,orange
11:16:09,8.67E-02,48,6262,48,orange
11:17:21,1.591075,49,6262,49,orange
11:18:51,0.2257757,50,6262,50,orange
11:20:18,1.212408,51,6262,51,orange
11:21:44,0.1770086,52,6262,52,orange
11:22:57,1.110046,53,6262,53,orange
11:24:22,0.4382008,54,6262,54,orange
11:25:46,6.67E-03,55,6262,55,orange
11:26:46,0.1383782,56,6262,56,orange
11:27:56,0.1455529,57,6262,57,orange
11:29:16,0.9483225,58,6262,58,orange
11:30:42,0.2488949,59,6262,59,orange
11:31:56,0.7146016,60,6262,60,orange
11:33:19,9.92E-02,61,6262,61,orange
11:34:33,8.09E-02,62,6262,62,orange
11:35:43,0.1587686,63,6262,63,orange
11:36:56,0.124023,64,6262,64,orange
11:38:02,0.1132674,65,6262,65,orange
