starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,ind_id,tape
11:40:54,0.1100447,1,7000,66,white
11:42:30,6.26E-02,2,7000,67,white
11:43:43,0.0446922,3,7000,68,white
11:44:51,0.1090247,4,7000,69,white
11:46:02,0.1069598,5,7000,70,white
11:47:25,5.31E-02,6,7000,71,white
11:48:33,1.42E-03,7,7000,72,white
11:49:44,0.8467149,8,7000,73,white
11:51:00,6.46E-02,9,7000,74,white
11:51:55,0.097294,10,7000,75,white
11:53:12,0.6048756,11,7000,76,white
11:54:31,1.14E-02,12,7000,77,white
11:56:01,9.91E-03,13,7000,78,white
11:57:03,5.61E-04,14,7000,,
11:40:54,1.295586,1,6262,66,orange
11:42:30,0.1260283,2,6262,67,orange
11:43:43,0.1571163,3,6262,68,orange
11:44:51,7.52E-02,4,6262,69,orange
11:46:02,1.536075,5,6262,70,orange
11:47:25,0.210118,6,6262,71,orange
11:48:33,0.1559916,7,6262,72,orange
11:49:44,0.1473322,8,6262,73,orange
11:51:00,2.94E-03,9,6262,74,orange
11:51:55,0.2214681,10,6262,75,orange
11:53:12,0.1572456,11,6262,76,orange
11:54:31,0.9908059,12,6262,77,orange
11:56:01,1.26E-02,13,6262,78,orange
11:57:03,1.59E-02,14,6262,79,orange
