starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,tape
11:36:39,3.77E-02,1,7000,white
11:38:03,0.1588972,2,7000,white
11:39:28,7.04E-02,3,7000,white
11:41:01,0.7008072,4,7000,white
11:43:44,0.1211226,5,7000,white
11:45:14,0.4553471,6,7000,white
11:47:06,0.1083374,7,7000,white
11:48:40,0.4363444,8,7000,white
11:50:35,7.15E-02,9,7000,white
11:52:12,7.32E-02,10,7000,white
11:53:41,4.35E-02,11,7000,white
11:55:15,0.1657701,12,7000,white
11:57:53,9.97E-02,13,7000,white
11:59:32,8.58E-02,14,7000,white
24:01:00,0.2071748,15,7000,white
24:02:23,6.02E-02,16,7000,white
24:03:48,0.1916684,17,7000,white
24:05:11,6.66E-02,18,7000,white
24:06:40,0.1427499,19,7000,white
24:09:12,0.0210868,20,7000,white
24:11:15,0.1071044,21,7000,white
11:36:39,0.1011586,1,6262,blue
11:38:03,0.1264708,2,6262,blue
11:39:28,0.1674795,3,6262,blue
11:41:01,3.61E-02,4,6262,blue
11:43:44,0.164228,5,6262,blue
11:45:14,0.9655458,6,6262,blue
11:47:06,0.1780009,7,6262,blue
11:48:40,1.138596,8,6262,blue
11:50:35,0.1427524,9,6262,blue
11:52:12,0.164485,10,6262,blue
11:53:41,0.4903682,11,6262,blue
11:55:15,0.2085382,12,6262,blue
11:57:53,2.49E-02,13,6262,blue
11:59:32,0.1084358,14,6262,blue
24:01:00,9.47E-02,15,6262,blue
24:02:23,0.0414427,16,6262,blue
24:03:48,7.54E-02,17,6262,blue
24:05:11,0.1263345,18,6262,blue
24:06:40,7.83E-02,19,6262,blue
24:09:12,0.1127826,20,6262,blue
24:11:15,0.1819794,21,6262,blue
