starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,tape
11:59:54,0.3429716,1,7000,red
24:02:08,0.5633028,2,7000,red
24:04:55,5.53E-02,3,7000,red
24:07:03,7.59E-02,4,7000,red
24:08:44,0.1112969,5,7000,red
24:10:08,5.54E-02,6,7000,red
24:11:57,0.171821,7,7000,red
24:14:37,5.69E-02,8,7000,red
24:16:08,1.75E-02,9,7000,red
24:18:07,5.19E-02,10,7000,red
24:20:44,5.63E-02,11,7000,red
24:22:11,4.02E-02,12,7000,red
24:23:50,0.4906537,13,7000,red
24:25:44,2.61E-02,14,7000,red
24:27:43,6.11E-02,15,7000,red
24:29:08,0.3567532,16,7000,red
24:34:23,6.96E-02,17,7000,red
24:36:05,0.1066358,18,7000,red
24:38:01,9.22E-02,19,7000,red
24:39:37,0.3067251,20,7000,red
24:41:15,0.1042604,21,7000,red
24:42:40,4.77E-02,22,7000,red
24:44:59,0.0578205,23,7000,red
24:46:42,5.91E-02,24,7000,red
24:48:16,1.25E-02,25,7000,red
24:49:47,1.56E-02,26,7000,red
24:51:19,0.1976037,27,7000,red
24:53:11,1.40E-02,28,7000,red
24:54:56,1.65E-02,29,7000,red
24:56:27,0.0818404,30,7000,red
24:58:29,0.7026426,31,7000,red
13:00:18,8.13E-02,32,7000,red
13:01:53,2.22E-03,33,7000,red
11:59:54,0.1177692,1,6262,orange
24:02:08,1.151443,2,6262,orange
24:04:55,0.1265851,3,6262,orange
24:07:03,0.1199348,4,6262,orange
24:08:44,0.1024568,5,6262,orange
24:10:08,0.9954048,6,6262,orange
24:11:57,1.273991,7,6262,orange
24:14:37,0.1764532,8,6262,orange
24:16:08,3.04E-02,9,6262,orange
24:18:07,0.1032813,10,6262,orange
24:20:44,0.1090335,11,6262,orange
24:22:11,0.1058507,12,6262,orange
24:23:50,0.1593975,13,6262,orange
24:25:44,1.106018,14,6262,orange
24:27:43,0.10405,15,6262,orange
24:29:08,0.7800519,16,6262,orange
24:34:23,1.81E-02,17,6262,orange
24:36:05,0.9553891,18,6262,orange
24:38:01,0.1630175,19,6262,orange
24:39:37,1.60E-02,20,6262,orange
24:41:15,0.2141828,21,6262,orange
24:42:40,0.104321,22,6262,orange
24:44:59,0.3928562,23,6262,orange
24:46:42,0.393768,24,6262,orange
24:48:16,0.1581942,25,6262,orange
24:49:47,0.1042841,26,6262,orange
24:51:19,0.15301,27,6262,orange
24:53:11,6.33E-02,28,6262,orange
24:54:56,0.2181946,29,6262,orange
24:56:27,0.1220573,30,6262,orange
24:58:29,0.7828357,31,6262,orange
13:00:18,0.1696634,32,6262,orange
13:01:53,0.1565779,33,6262,orange
