starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,tape,ind_ID,,
9:33:12,7.82E-02,1,7000,red,1,1,red
9:34:45,0.5234832,2,7000,red,2,2,red
9:36:35,6.29E-02,3,7000,red,3,3,red
9:38:42,7.59E-02,4,7000,red,4,4,red
9:40:14,0.1160094,5,7000,red,5,5,red
9:41:47,7.98E-02,6,7000,red,6,6,red
9:44:00,7.12E-03,7,7000,red,7,7,red
9:44:28,8.67E-02,8,7000,red,8,8,red
9:46:01,0.1007123,9,7000,red,9,9,red
9:51:08,9.76E-02,10,7000,red,10,10,red
9:52:42,0.1155184,11,7000,red,11,11,red
9:54:12,9.19E-02,12,7000,red,12,12,red
9:55:54,0.1242658,13,7000,red,13,13,red
9:57:45,0.061623,14,7000,red,14,14,red
9:59:29,0.5030788,15,7000,red,15,15,red
10:01:03,9.46E-02,16,7000,red,16,16,red
10:02:36,0.1207825,17,7000,red,17,17,red
10:04:10,0.1182089,18,7000,red,18,18,red
10:05:44,0.0875099,19,7000,red,19,19,red
10:07:09,0.5519922,20,7000,red,20,20,red
10:08:49,0.121304,21,7000,red,21,21,red
10:10:25,0.4228554,22,7000,red,22,22,red
10:12:04,0.5536013,23,7000,red,23,23,red
10:13:50,0.3813688,24,7000,red,24,24,red
10:15:29,5.56E-02,25,7000,red,25,25,red
10:17:35,7.83E-02,26,7000,red,26,26,red
10:19:47,2.26E-02,27,7000,red,27,27,red
10:21:57,7.63E-02,28,7000,red,28,28,red
10:23:36,0.1443137,29,7000,red,29,29,red
10:25:03,0.0789381,30,7000,red,30,30,red
10:26:42,0.0695354,31,7000,red,31,31,red
10:28:24,5.31E-02,32,7000,red,32,32,red
10:30:02,6.84E-02,33,7000,red,33,33,red
10:31:30,8.00E-02,34,7000,red,34,34,red
10:32:58,0.6938034,35,7000,red,35,35,red
10:34:35,8.87E-02,36,7000,red,36,36,red
10:36:05,0.108458,37,7000,red,37,37,red
10:37:38,6.86E-02,38,7000,red,38,38,red
10:39:11,8.11E-02,39,7000,red,39,39,red
10:41:26,3.92E-02,40,7000,red,40,40,red
10:43:07,0.0631102,41,7000,red,41,41,red
10:44:43,0.5223804,42,7000,red,42,42,red
10:46:45,0.4629521,43,7000,red,43,43,red
10:48:26,1.37E-02,44,7000,red,44,44,red
10:50:08,0.1405843,45,7000,red,45,45,red
10:51:33,0.1212824,46,7000,red,46,46,red
9:33:12,7.62E-02,1,6262,blue,1,1,blue
9:34:45,1.421166,2,6262,blue,2,2,blue
9:36:35,0.2172538,3,6262,blue,3,3,blue
9:38:42,0.1894471,4,6262,blue,4,4,blue
9:40:14,0.1348758,5,6262,blue,5,5,blue
9:41:47,0.198944,6,6262,blue,6,6,blue
9:44:00,1.65E-02,7,6262,blue,7,7,blue
9:44:28,0.177287,8,6262,blue,8,8,blue
9:46:01,0.217245,9,6262,blue,9,9,blue
9:51:08,0.1420252,10,6262,blue,10,10,blue
9:52:42,0.1230769,11,6262,blue,11,11,blue
9:54:12,0.120903,12,6262,blue,12,12,blue
9:55:54,0.4664516,13,6262,blue,13,13,blue
9:57:45,0.7037914,14,6262,blue,14,14,blue
9:59:29,0.1557522,15,6262,blue,15,15,blue
10:01:03,0.2345203,16,6262,blue,16,16,blue
10:02:36,0.2148338,17,6262,blue,17,17,blue
10:04:10,0.2390811,18,6262,blue,18,18,blue
10:05:44,0.1716933,19,6262,blue,19,19,blue
10:07:09,0.1610142,20,6262,blue,20,20,blue
10:08:49,0.11466,21,6262,blue,21,21,blue
10:10:25,0.1670979,22,6262,blue,22,22,blue
10:12:04,0.1454957,23,6262,blue,23,23,blue
10:13:50,0.1341859,24,6262,blue,24,24,blue
10:15:29,0.1713086,25,6262,blue,25,25,blue
10:17:35,6.02E-02,26,6262,blue,26,26,blue
10:19:47,0.1367311,27,6262,blue,27,27,blue
10:21:57,0.1204394,28,6262,blue,28,28,blue
10:23:36,0.1416651,29,6262,blue,29,29,blue
10:25:03,0.2605365,30,6262,blue,30,30,blue
10:26:42,0.6641377,31,6262,blue,31,31,blue
10:28:24,0.187136,32,6262,blue,32,32,blue
10:30:02,9.68E-02,33,6262,blue,33,33,blue
10:31:30,0.1980065,34,6262,blue,34,34,blue
10:32:58,0.1551411,35,6262,blue,35,35,blue
10:34:35,0.1470979,36,6262,blue,36,36,blue
10:36:05,0.1110431,37,6262,blue,37,37,blue
10:37:38,0.1701257,38,6262,blue,38,38,blue
10:39:11,0.1610452,39,6262,blue,39,39,blue
10:41:26,0.1363124,40,6262,blue,40,40,blue
10:43:07,0.2860866,41,6262,blue,41,41,blue
10:44:43,0.1625189,42,6262,blue,42,42,blue
10:46:45,6.84E-02,43,6262,blue,43,43,blue
10:48:26,0.1090632,44,6262,blue,44,44,blue
10:50:08,9.99E-02,45,6262,blue,45,45,blue
10:51:33,8.77E-02,46,6262,blue,46,46,blue
