starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,tape,ind_ID
10:58:17,7.62E-02,48,7000,red,1
10:59:38,9.65E-02,49,7000,red,2
11:00:58,5.02E-02,50,7000,red,3
11:02:46,5.89E-02,51,7000,red,4
11:04:35,0.0548923,52,7000,red,5
11:06:06,6.58E-02,53,7000,red,6
11:07:31,4.20E-02,54,7000,red,7
11:09:05,0.3654316,55,7000,red,8
11:11:04,5.84E-02,56,7000,red,9
11:12:52,8.70E-02,57,7000,red,10
11:14:21,0.0812266,58,7000,red,11
11:16:14,0.0314551,59,7000,red,12
11:17:52,0.0653823,60,7000,red,13
11:19:47,6.48E-02,61,7000,red,14
11:21:15,1.17E-02,62,7000,red,15
11:23:05,6.79E-02,63,7000,red,16
11:24:34,6.29E-02,64,7000,red,17
11:25:49,7.17E-02,65,7000,red,18
10:58:17,8.84E-02,66,6262,blue,1
10:59:38,6.61E-02,67,6262,blue,2
11:00:58,6.44E-02,68,6262,blue,3
11:02:46,5.81E-02,69,6262,blue,4
11:04:35,0.1121731,70,6262,blue,5
11:06:06,0.1370441,71,6262,blue,6
11:07:31,9.67E-02,72,6262,blue,7
11:09:05,1.349582,73,6262,blue,8
11:11:04,1.074236,74,6262,blue,9
11:12:52,0.2053961,75,6262,blue,10
11:14:21,0.1108492,76,6262,blue,11
11:16:14,2.46E-02,77,6262,blue,12
11:17:52,0.8986641,78,6262,blue,13
11:19:47,0.143804,79,6262,blue,14
11:21:15,0.2130802,80,6262,blue,15
11:23:05,7.59E-02,81,6262,blue,16
11:24:34,1.91E-03,82,6262,blue,17
11:25:49,6.03E-03,83,6262,blue,18
