starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,ind_ID,tape
10:10:49,7.43E-02,1,7000,1,blue
10:12:42,4.18E-02,2,7000,2,blue
10:14:16,6.36E-02,3,7000,3,blue
10:16:38,9.93E-02,4,7000,4,blue
10:18:30,0.6420082,5,7000,5,blue
10:20:14,0.1262195,6,7000,6,blue
10:22:05,9.93E-02,7,7000,7,blue
10:23:39,6.32E-02,8,7000,8,blue
10:25:03,0.1137623,9,7000,9,blue
10:26:38,0.5897402,11,7000,10,blue
10:28:27,0.7998769,12,7000,11,blue
10:30:15,7.37E-02,15,7000,12,blue
10:31:47,0.6813771,16,7000,13,blue
10:33:42,0.0649945,17,7000,14,blue
10:35:14,0.5710753,19,7000,15,blue
10:37:07,0.5358872,22,7000,16,blue
10:38:48,0.1102353,23,7000,17,blue
10:41:30,6.13E-02,24,7000,18,blue
10:43:03,9.92E-02,25,7000,19,blue
10:44:44,6.69E-02,26,7000,20,blue
10:46:30,4.75E-02,27,7000,21,blue
10:47:54,5.07E-02,28,7000,22,blue
10:49:28,0.1117786,29,7000,23,blue
10:51:03,4.23E-02,30,7000,24,blue
10:52:35,0.3271134,31,7000,25,blue
10:54:17,5.02E-02,32,7000,26,blue
10:55:47,1.04E-02,33,7000,27,blue
10:57:15,9.66E-03,34,7000,28,blue
10:58:41,6.37E-04,35,7000,29,blue
10:10:49,1.104612,1,6262,1,white
10:12:42,9.10E-02,2,6262,2,white
10:14:16,0.1422925,4,6262,3,white
10:16:38,0.2192319,5,6262,4,white
10:18:30,0.233535,6,6262,5,white
10:20:14,0.1544664,7,6262,6,white
10:22:05,0.1822639,8,6262,7,white
10:23:39,0.1516896,9,6262,8,white
10:25:03,0.3823639,10,6262,9,white
10:26:38,0.196483,11,6262,10,white
10:28:27,0.1404632,13,6262,11,white
10:30:15,0.1390518,14,6262,12,white
10:31:47,1.017488,15,6262,13,white
10:33:42,0.1966954,17,6262,14,white
10:35:14,0.2016797,18,6262,15,white
10:37:07,0.7066576,19,6262,16,white
10:38:48,1.060672,20,6262,17,white
10:41:30,0.1472158,22,6262,18,white
10:43:03,1.003191,23,6262,19,white
10:44:44,0.7908702,24,6262,20,white
10:46:30,0.1149466,25,6262,21,white
10:47:54,0.0876708,26,6262,22,white
10:49:28,0.2231123,27,6262,23,white
10:51:03,9.29E-02,28,6262,24,white
10:52:35,0.7625247,29,6262,25,white
10:54:17,6.00E-02,30,6262,26,white
10:55:47,5.84E-02,31,6262,27,white
10:57:15,1.52E-02,32,6262,28,white
10:58:41,1.36E-02,33,6262,29,white
