starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,ind,tape
9:25:26,1.76E-02,1,7000,1,red
9:27:01,0.1073624,2,7000,2,red
,,,,3,red
,,,,4,red
9:29:08,9.68E-02,3,7000,5,red
9:31:14,0.1026168,4,7000,6,red
9:33:57,0.1420681,5,7000,7,red
9:36:00,6.17E-02,6,7000,8,red
9:37:40,9.06E-02,7,7000,9,red
,,,,10,red
9:39:16,0.1351351,8,7000,11,red
9:40:53,0.1855269,9,7000,12,red
,,,,13,red
9:42:29,0.1305456,10,7000,14,red
,,,,15,red
9:43:54,7.01E-02,11,7000,16,red
9:45:27,0.0664527,12,7000,17,red
9:47:19,0.1466298,13,7000,18,red
9:49:40,3.29E-02,14,7000,19,red
9:51:22,0.5808361,15,7000,20,red
9:53:21,5.20E-02,16,7000,21,red
9:54:47,0.4504891,17,7000,22,red
9:56:23,0.1227713,18,7000,23,red
9:57:59,0.1056791,19,7000,24,red
9:59:28,7.01E-02,20,7000,25,red
,,,,26,red
10:01:23,6.55E-02,21,7000,27,red
10:03:07,5.42E-02,22,7000,28,red
10:04:29,2.09E-02,23,7000,29,red
,,,,30,red
,,,,31,red
10:06:14,6.99E-02,24,7000,32,red
10:07:41,7.40E-03,25,7000,33,red
10:09:46,4.22E-03,26,7000,34,red
10:11:03,1.58E-03,27,7000,,
10:12:21,-1.84E-03,28,7000,,
10:13:41,-1.41E-03,29,7000,,
10:15:09,6.99E-04,30,7000,,
10:15:32,9.60E-03,31,7000,,
10:17:10,8.70E-03,32,7000,,
9:25:26,0.1536893,1,6262,1,orange
9:27:01,0.2787961,2,6262,2,orange
,,,,3,orange
9:29:08,0.1860597,3,6262,4,orange
9:31:14,0.7545438,4,6262,5,orange
9:33:57,0.1777935,5,6262,6,orange
9:36:00,0.1895384,6,6262,7,orange
9:37:40,0.1131311,7,6262,8,orange
9:39:16,0.1170902,8,6262,9,orange
9:40:53,0.1901263,9,6262,10,orange
,,,,11,orange
9:42:29,0.373135,10,6262,12,orange
9:43:54,1.17356,11,6262,13,orange
9:45:27,9.77E-02,12,6262,14,orange
9:47:19,0.225715,13,6262,15,orange
9:49:40,0.882462,14,6262,16,orange
9:51:22,0.7672157,15,6262,17,orange
9:53:21,0.1290249,16,6262,18,orange
9:54:47,1.40467,17,6262,19,orange
9:56:23,0.1370349,18,6262,20,orange
9:57:59,2.75E-02,19,6262,21,orange
9:59:28,0.1736945,20,6262,22,orange
10:01:23,1.158241,21,6262,23,orange
10:03:07,1.284562,22,6262,24,orange
10:04:29,0.4704416,23,6262,25,orange
10:06:14,0.1020531,24,6262,26,orange
10:07:41,1.00356,25,6262,27,orange
10:09:46,0.1274268,26,6262,28,orange
10:11:03,9.00E-02,27,6262,29,orange
10:12:21,7.64E-03,28,6262,30,orange
10:13:41,9.55E-02,29,6262,31,orange
10:15:09,4.42E-04,30,6262,32,orange
10:15:32,8.94E-03,31,6262,33,orange
10:17:10,9.94E-03,32,6262,34,orange
