starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,IndID,tape,
9:53:09,2.27E-02,1,7000,1,red,
9:57:11,0.7005965,2,7000,2,red,
9:59:12,7.02E-02,3,7000,3,red,
10:00:50,0.4403094,4,7000,4,red,
10:02:29,6.69E-02,5,7000,5,red,
10:05:46,0.1192495,6,7000,6,red,
10:08:13,1.47E-02,7,7000,7,red,
10:10:48,8.35E-02,8,7000,8,red,
10:13:17,0.082041,9,7000,9,red,
10:14:53,0.1506628,10,7000,10,red,
10:17:17,9.81E-02,11,7000,11,red,
10:18:45,0.0767448,12,7000,12,red,
10:20:14,6.88E-02,13,7000,13,red,
10:22:51,2.85E-02,14,7000,14,red,
10:23:58,0.1415972,15,7000,15,red,
,,,,16,red,
10:25:23,0.1210337,16,7000,17,red,
10:26:48,1.202698,17,7000,18,red,"this is a blank, could not have this record of co2"
10:28:26,5.46E-02,18,7000,19,red,
10:30:18,1.12E-02,19,7000,,,
10:31:20,1.31E-02,20,7000,,,
9:53:09,6.80E-02,1,6262,1,blue,
9:57:11,1.228025,2,6262,2,blue,
9:59:12,0.1874608,3,6262,3,blue,
10:00:50,0.192865,4,6262,4,blue,
10:02:29,8.76E-02,5,6262,5,blue,
10:05:46,0.2117785,6,6262,6,blue,
,,,,7,blue,
10:08:13,0.1628362,7,6262,8,blue,
10:10:48,0.1816742,8,6262,9,blue,
10:13:17,0.1201443,9,6262,10,blue,
10:14:53,9.15E-02,10,6262,11,blue,
10:17:17,1.33985,11,6262,12,blue,
10:18:45,0.1219878,12,6262,13,blue,
10:20:14,0.1263741,13,6262,14,blue,
10:22:51,6.61E-02,14,6262,15,blue,
10:23:58,0.9076274,15,6262,16,blue,
10:25:23,0.9879278,16,6262,17,blue,
10:26:48,2.50E-02,17,6262,18,blue,
10:28:26,2.36E-02,18,6262,19,blue,
10:30:18,9.52E-04,19,6262,,,
10:31:20,7.35E-04,20,6262,,,
