starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,indID,tape
7:16:08,0.4179824,1,7000,1,white
7:17:26,0.1805263,2,7000,2,white
7:18:47,0.5233665,3,7000,3,white
7:20:09,4.90E-02,4,7000,4,white
7:21:26,6.95E-02,5,7000,5,white
7:23:00,1.94E-02,6,7000,6,white
7:24:12,8.69E-02,7,7000,7,white
7:25:22,0.0770269,8,7000,8,white
7:26:28,0.6059529,9,7000,9,white
7:27:52,0.1855537,10,7000,10,white
7:29:10,0.2349053,11,7000,11,white
7:30:41,0.9125524,12,7000,12,white
7:32:11,6.98E-02,13,7000,13,white
7:33:29,9.91E-02,14,7000,14,white
7:34:56,0.0467118,15,7000,15,white
7:36:09,4.08E-02,16,7000,16,white
7:37:37,0.6406876,17,7000,17,white
7:39:02,5.81E-02,18,7000,18,white
7:40:19,0.1325949,19,7000,19,white
7:41:42,0.3580089,20,7000,20,white
7:43:13,6.54E-02,21,7000,21,white
7:44:23,5.68E-02,22,7000,22,white
7:45:48,0.1101191,23,7000,23,white
7:47:17,7.70E-02,24,7000,24,white
7:48:28,0.1871603,25,7000,25,white
7:49:37,9.03E-02,26,7000,26,white
7:50:43,1.10E-02,27,7000,27,white
7:51:38,1.39E-02,28,7000,28,white
7:16:08,9.58E-02,1,6262,1,orange
7:17:26,0.1112605,2,6262,2,orange
7:18:47,0.1718394,3,6262,3,orange
7:20:09,0.1149418,4,6262,4,orange
7:21:26,1.091989,5,6262,5,orange
7:23:00,0.1355299,6,6262,6,orange
7:24:12,9.28E-02,7,6262,7,orange
7:25:22,3.55E-02,8,6262,8,orange
7:26:28,0.1019877,9,6262,9,orange
7:27:52,0.1611824,10,6262,10,orange
7:29:10,1.492878,11,6262,11,orange
7:30:41,0.19176,12,6262,12,orange
7:32:11,0.2482504,13,6262,13,orange
7:33:29,0.6310273,14,6262,14,orange
7:34:56,0.1264223,15,6262,15,orange
7:36:09,1.742726,16,6262,16,orange
7:37:37,0.1400234,17,6262,17,orange
7:39:02,0.1227942,18,6262,18,orange
7:40:19,0.1901194,19,6262,19,orange
7:41:42,0.1217192,20,6262,20,orange
7:43:13,2.78E-02,21,6262,21,orange
7:44:23,1.722545,22,6262,22,orange
7:45:48,1.827412,23,6262,23,orange
7:47:17,0.1556738,24,6262,24,orange
7:48:28,2.49E-02,25,6262,25,orange
7:49:37,2.35E-02,26,6262,26,orange
7:50:43,1.71E-03,27,6262,27,orange
7:51:38,1.25E-03,28,6262,28,orange
