starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,ind_id,tape
8:01:26,1.246451,1,7000,50,red
8:03:05,0.1016724,2,7000,51,red
8:04:46,7.92E-02,3,7000,52,red
8:06:23,0.1393141,4,7000,53,red
8:07:36,0.4835936,5,7000,54,red
8:09:02,8.06E-02,6,7000,55,red
8:10:22,8.14E-02,7,7000,56,red
8:11:35,0.7068794,8,7000,57,red
8:13:00,0.4564273,9,7000,58,red
8:14:32,0.1637456,10,7000,59,red
8:15:44,0.1467018,11,7000,60,red
8:16:58,0.1703126,12,7000,61,red
8:18:32,0.1042432,13,7000,62,red
8:19:45,0.1041749,14,7000,63,red
8:21:09,0.9703506,15,7000,64,red
8:22:38,8.59E-02,16,7000,65,red
8:24:13,0.1892381,17,7000,66,red
8:25:26,1.32E-02,18,7000,67,red
8:26:27,1.69E-02,19,7000,68,red
8:01:26,1.165804,1,6262,50,orange
8:03:05,1.259869,2,6262,51,orange
8:04:46,1.494926,3,6262,52,orange
8:06:23,0.35266,4,6262,53,orange
8:07:36,0.2009276,5,6262,54,orange
8:09:02,0.2083964,6,6262,55,orange
8:10:22,0.1838142,7,6262,56,orange
8:11:35,0.2351255,8,6262,57,orange
8:13:00,1.355645,9,6262,58,orange
8:14:32,0.1966697,10,6262,59,orange
8:15:44,0.2410895,11,6262,60,orange
8:16:58,1.301926,12,6262,61,orange
8:18:32,0.1440813,13,6262,62,orange
8:19:45,1.23907,14,6262,63,orange
8:21:09,1.930172,15,6262,64,orange
8:22:38,1.706424,16,6262,65,orange
8:24:13,2.43E-02,17,6262,66,orange
8:25:26,2.15E-02,18,6262,67,orange
8:26:27,9.52E-04,19,6262,,
