starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,ind_id,tape,site
10:43:36,0.6453027,1,7000,1,white,Ferris
10:46:28,0.6223779,2,7000,2,white,Ferris
10:48:00,0.8719259,3,7000,3,white,Ferris
10:49:36,0.5228657,4,7000,4,white,Ferris
10:51:02,0.442563,5,7000,5,white,Ferris
10:52:38,0.9513645,6,7000,6,white,Ferris
10:54:10,0.4956143,7,7000,7,white,Ferris
10:55:40,0.8086041,8,7000,8,white,Ferris
10:57:19,7.80E-02,9,7000,9,white,Ferris
10:58:54,0.7519864,10,7000,10,white,Ferris
11:00:24,0.1291301,11,7000,11,white,Ferris
11:01:47,0.24546,12,7000,12,white,Ferris
11:03:16,0.121336,13,7000,13,white,Ferris
11:04:40,0.7746958,14,7000,14,white,Ferris
11:06:12,0.3905665,15,7000,15,white,Ferris
11:07:35,7.86E-02,16,7000,16,white,Ferris
11:08:55,0.8856109,17,7000,17,white,Ferris
11:10:19,1.165116,18,7000,18,white,Ferris
11:11:47,1.50E-02,19,7000,19,white,Blank
11:12:52,1.20E-02,20,7000,20,white,Blank
10:43:36,1.141559,1,6262,1,orange,Ferris
10:46:28,0.2359965,2,6262,2,orange,Ferris
10:48:00,0.1800372,3,6262,3,orange,Ferris
10:49:36,0.9830778,4,6262,4,orange,Ferris
10:51:02,1.226677,5,6262,5,orange,Ferris
10:52:38,0.2462078,6,6262,6,orange,Ferris
10:54:10,0.1841925,7,6262,7,orange,Ferris
10:55:40,0.3039314,8,6262,8,orange,Ferris
10:57:19,1.880122,9,6262,9,orange,Ferris
10:58:54,0.3989953,10,6262,10,orange,Ferris
11:00:24,0.2331552,11,6262,11,orange,Ferris
11:01:47,1.201159,12,6262,12,orange,Ferris
11:03:16,0.1530936,13,6262,13,orange,Ferris
11:04:40,1.670581,14,6262,14,orange,Ferris
11:06:12,0.2894214,15,6262,15,orange,Ferris
11:07:35,0.2043618,16,6262,16,orange,Ferris
11:08:55,0.1263052,17,6262,17,orange,Ferris
11:10:19,3.33E-02,18,6262,18,orange,Blank
11:11:47,2.58E-02,19,6262,19,orange,Blank
11:12:52,1.44E-03,20,6262,,,
