starttime_VCO2_6262_1,area_VCO2_6262_1,,licor,ind_id,tape,site,,,
9:52:23,6.65E-02,1,7000,1,red,Ferris,,,
9:54:18,7.81E-02,2,7000,2,red,Ferris,,,
9:56:01,6.88E-02,3,7000,3,red,Ferris,,,
9:57:25,5.37E-02,4,7000,4,red,Ferris,,,
9:58:41,6.74E-02,5,7000,5,red,Ferris,,,
9:59:57,3.28E-02,6,7000,6,red,Ferris,,,
10:01:26,0.1409574,7,7000,7,red,Ferris,,,
10:02:50,0.1558913,8,7000,8,red,Ferris,,,
10:06:18,0.1822406,9,7000,9,red,Ferris,,,
10:07:48,0.6440709,10,7000,10,red,Ferris,,,
10:09:20,0.0475338,11,7000,11,red,Ferris,,,
10:10:42,3.44E-02,12,7000,12,red,Ferris,,,
10:11:56,7.48E-02,13,7000,13,red,Ferris,,,
10:13:24,6.35E-02,14,7000,14,red,Ferris,,,
10:14:44,3.61E-02,15,7000,15,red,Ferris,,,
10:16:11,6.50E-02,16,7000,16,red,Ferris,,,
10:17:39,8.15E-02,17,7000,17,red,Ferris,,,
10:18:57,0.6841833,18,7000,18,red,Ferris,,,
10:20:26,0.1028658,19,7000,19,red,Ferris,,,
10:21:57,2.24E-02,20,7000,20,red,Ferris,,,
10:23:13,2.27E-02,21,7000,21,red,Ferris,,,
10:24:50,1.35E-02,22,7000,23,red,Blank,22,red,Ferris
10:25:58,0.0122551,23,7000,24,red,Blank,,,
9:52:23,0.117548,1,6262,1,orange,Ferris,,,
9:54:18,1.727416,2,6262,2,orange,Ferris,,,
9:56:01,0.1624948,3,6262,3,orange,Ferris,,,
9:57:25,0.1308333,4,6262,4,orange,Ferris,,,
9:58:41,9.63E-02,5,6262,5,orange,Ferris,,,
9:59:57,1.351638,6,6262,6,orange,Ferris,,,
10:01:26,0.1016253,7,6262,7,orange,Ferris,,,
10:02:50,0.1091416,8,6262,8,orange,Ferris,,,
10:06:18,0.1265232,9,6262,10,orange,Ferris,9,orange,Ferris
10:07:48,1.007295,10,6262,11,orange,Ferris,,,
10:09:20,0.4265735,11,6262,12,orange,Ferris,,,
10:10:42,7.98E-02,12,6262,13,orange,Ferris,,,
10:11:56,0.9820501,13,6262,14,orange,Ferris,,,
10:13:24,0.140967,14,6262,15,orange,Ferris,,,
10:14:44,0.177351,15,6262,16,orange,Ferris,,,
10:16:11,9.21E-02,16,6262,17,orange,Ferris,,,
10:17:39,0.0876399,17,6262,18,orange,Ferris,,,
10:18:57,5.89E-02,18,6262,19,orange,Ferris,,,
10:20:26,1.221847,19,6262,20,orange,Ferris,,,
10:21:57,0.1198303,20,6262,21,orange,Ferris,,,
10:23:13,1.249474,21,6262,22,orange,Ferris,,,
10:24:50,1.80E-02,22,6262,23,orange,Blank,,,
10:25:58,0.0217322,23,6262,24,orange,Blank,,,
