starttime_VCO2_6262_1,area_VCO2_6262_1,n,,,,,
13:07:30,7.18E-02,1,7000,1,white,Grant,7000
13:09:22,0.9224948,2,7000,2,white,Grant,7000
13:11:08,0.7626268,3,7000,3,Ferris,Grant,7000
13:13:02,0.2707005,4,7000,4,white,Grant,7000
13:14:35,4.45E-02,5,7000,6,orange,Grant,7000
13:15:55,8.62E-02,6,7000,5,white,Grant,7000
13:17:15,0.1587991,7,7000,6,white,Grant,7000
13:18:35,0.151299,8,7000,7,white,Grant,7000
13:19:49,0.9628018,9,7000,8,white,Grant,7000
13:22:01,9.52E-02,10,7000,9,white,Grant,7000
13:23:31,0.1436492,11,7000,10,white,Grant,7000
13:25:19,4.61E-02,12,7000,11,white,Grant,7000
13:27:22,0.084701,13,7000,12,white,Grant,7000
13:28:55,0.0940275,14,7000,13,Ferris,Grant,7000
13:30:40,0.1802913,15,7000,14,white,Grant,7000
13:32:13,0.073478,16,7000,15,white,Grant,7000
13:33:41,0.1233351,17,7000,16,white,Grant,7000
13:35:21,7.95E-02,18,7000,17,white,Grant,7000
13:36:51,0.0924605,19,7000,18,white,Grant,7000
13:38:31,0.2107757,20,7000,19,white,Grant,7000
13:40:02,0.1054416,21,7000,20,white,Grant,7000
13:41:39,0.1097053,22,7000,21,white,Grant,7000
13:43:17,0.8742455,23,7000,22,white,Grant,7000
13:45:08,8.11E-02,24,7000,23,white,Grant,7000
13:46:45,0.7004543,25,7000,24,Ferris,Grant,7000
13:48:52,0.1542396,26,7000,25,white,Grant,7000
13:52:08,7.28E-02,27,7000,29,orange,Grant,7000
13:54:19,0.1898255,28,7000,27,white,Grant,7000
13:56:00,0.2791779,29,7000,28,white,Grant,7000
13:57:33,8.05E-02,30,7000,29,white,Grant,7000
13:59:14,9.66E-02,31,7000,30,white,Grant,7000
14:01:29,6.75E-02,32,7000,31,white,Grant,7000
14:03:10,5.75E-02,33,7000,32,white,Grant,7000
14:04:55,8.58E-02,34,7000,33,white,Grant,7000
14:06:30,0.6299452,35,7000,34,Ferris,Grant,7000
14:08:09,8.26E-02,36,7000,35,white,Grant,7000
14:09:33,0.6412106,37,7000,36,white,Grant,7000
14:11:09,8.99E-03,38,7000,37,Blank,Grant,7000
14:12:13,1.03E-02,39,7000,38,Blank,Grant,7000
14:13:28,5.72E-02,40,7000,42,white,Grant,7000
13:07:30,1.569048,1,6262,1,orange,Grant,6262
13:09:22,0.2789104,2,6262,2,orange,Grant,6262
13:11:08,1.766782,3,6262,3,orange,Grant,6262
13:13:02,0.1594931,4,6262,4,orange,Ferris,6262
13:14:35,0.1395413,5,6262,5,orange,Grant,6262
13:15:55,0.1348322,6,6262,7,orange,Grant,6262
13:17:15,1.13E-02,7,6262,8,orange,Grant,6262
13:18:35,1.58E-03,8,6262,9,orange,Grant,6262
13:19:49,0.7659177,9,6262,10,orange,Grant,6262
13:22:01,0.188453,10,6262,11,orange,Grant,6262
13:23:31,0.735055,11,6262,12,orange,Grant,6262
13:25:19,0.4434558,12,6262,13,orange,Grant,6262
13:27:22,0.2645859,13,6262,14,orange,Milford,6262
13:28:55,0.4174804,14,6262,15,orange,Grant,6262
13:30:40,0.1023624,15,6262,16,orange,Grant,6262
13:32:13,0.0751265,16,6262,17,orange,Grant,6262
13:33:41,0.1456477,17,6262,18,orange,Grant,6262
13:35:21,0.1243781,18,6262,19,orange,Grant,6262
13:36:51,0.7787501,19,6262,20,orange,Grant,6262
13:38:31,0.4193017,20,6262,21,orange,Grant,6262
13:40:02,1.089827,21,6262,22,orange,Grant,6262
13:41:39,6.61E-02,22,6262,23,orange,Grant,6262
13:43:17,0.1478096,23,6262,24,orange,Grant,6262
13:45:08,0.1770446,24,6262,25,orange,Grant,6262
13:46:45,1.120743,25,6262,26,orange,Ferris,6262
13:48:52,0.1917994,26,6262,27,orange,Grant,6262
13:52:08,0.2031674,27,6262,28,orange,Grant,6262
13:54:19,0.1348461,28,6262,30,orange,Grant,6262
13:56:00,0.1789402,29,6262,31,orange,Grant,6262
13:57:33,0.1751043,30,6262,32,orange,Grant,6262
13:59:14,0.1698672,31,6262,33,orange,Grant,6262
14:01:29,0.8359417,32,6262,34,orange,Grant,6262
14:03:10,1.033013,33,6262,35,orange,Ferris,6262
14:04:55,0.2596833,34,6262,36,orange,Grant,6262
14:06:30,0.1819748,35,6262,37,orange,Grant,6262
14:08:09,8.69E-02,36,6262,38,orange,Grant,6262
14:09:33,0.1484799,37,6262,39,orange,Grant,6262
14:11:09,1.31E-02,38,6262,47,orange,Ferris,6262
14:12:13,1.70E-02,39,6262,,,,
14:13:28,0.1721438,40,6262,,,,
