starttime_VCO2_6262_1,area_VCO2_6262_1,n,data_num,tape,licor
9:12:15,0.1091215,1,1,white,7000
9:13:32,0.4870371,2,2,white,7000
9:14:57,7.55E-02,3,3,white,7000
9:16:11,7.49E-02,4,4,white,7000
9:17:23,0.7479109,5,5,white,7000
9:18:53,0.5496135,6,6,white,7000
9:20:28,0.8556846,7,7,white,7000
9:22:06,5.99E-02,8,8,white,7000
9:23:38,0.1177236,9,9,white,7000
9:25:05,8.61E-02,10,10,white,7000
9:26:27,6.36E-02,11,11,white,7000
9:27:37,0.3577054,12,12,white,7000
9:28:45,0.1208041,13,13,white,7000
9:30:06,0.1344501,14,14,white,7000
9:31:25,0.3836159,15,15,white,7000
9:32:48,7.41E-02,16,16,white,7000
9:34:19,0.563097,17,17,white,7000
9:35:44,1.222257,18,18,white,7000
9:37:03,7.51E-02,19,19,white,7000
9:38:34,0.6977664,20,20,white,7000
9:39:55,0.806345,21,21,white,7000
9:41:37,0.9335825,22,22,white,7000
9:43:00,0.5717021,23,23,white,7000
9:44:29,6.41E-02,24,24,white,7000
9:45:44,0.3306405,25,25,white,7000
9:46:57,7.05E-02,26,26,white,7000
9:49:06,5.09E-03,27,27,white,7000
9:50:29,0.1373951,28,28,white,7000
9:51:51,0.7161234,29,29,white,7000
9:53:18,7.32E-02,30,30,white,7000
9:54:49,6.07E-02,31,31,white,7000
9:55:55,0.1341878,32,32,white,7000
9:57:21,0.7558503,33,33,white,7000
9:58:45,0.6048005,34,34,white,7000
10:00:02,0.5275802,35,35,white,7000
10:01:15,6.49E-02,36,36,white,7000
10:02:30,9.70E-02,37,37,white,7000
10:03:38,0.2791506,38,38,white,7000
10:04:53,9.90E-02,39,39,white,7000
10:06:04,0.1024346,40,40,white,7000
10:07:33,0.1115131,41,41,white,7000
10:08:42,0.2423861,42,42,white,7000
10:09:55,0.7022233,43,43,white,7000
10:11:11,0.1132721,44,44,white,7000
10:12:25,0.1117972,45,45,white,7000
10:13:32,9.16E-02,46,46,white,7000
10:14:36,7.75E-02,47,47,white,7000
10:15:36,0.612756,48,48,white,7000
10:16:49,0.6955668,49,49,white,7000
10:18:00,0.1052543,50,50,white,7000
10:19:12,0.4543417,51,51,orange,7000
10:20:42,0.1396885,52,52,orange,7000
10:22:05,0.6907977,53,53,orange,7000
10:23:28,0.208345,54,54,orange,7000
10:24:57,7.16E-02,55,55,orange,7000
10:26:15,0.0622309,56,56,orange,7000
10:27:37,0.1043199,57,57,orange,7000
10:28:48,0.8371406,58,58,orange,7000
10:30:12,7.05E-02,59,59,orange,7000
10:31:33,0.980693,60,60,orange,7000
10:32:40,5.81E-02,61,61,orange,7000
10:34:06,0.3026866,62,62,orange,7000
10:37:16,0.5114057,63,63,orange,7000
9:12:15,0.1046098,1,1,orange,6262
9:13:32,0.6100717,2,2,orange,6262
9:14:57,0.0831688,3,3,orange,6262
9:16:11,0.1804283,4,4,orange,6262
9:17:23,1.244764,5,5,orange,6262
9:18:53,1.290633,6,6,orange,6262
9:20:28,1.790188,7,7,orange,6262
9:22:06,1.420276,8,8,orange,6262
9:23:38,1.217385,9,9,orange,6262
9:25:05,0.5007271,10,10,orange,6262
9:26:27,0.1676801,11,11,orange,6262
9:27:37,0.1323866,12,12,orange,6262
9:28:45,1.244359,13,13,orange,6262
9:30:06,0.2335564,14,14,orange,6262
9:31:25,0.1245674,15,15,orange,6262
9:32:48,1.624472,16,16,orange,6262
9:34:19,0.8524294,17,17,orange,6262
9:35:44,0.1756792,18,18,orange,6262
9:37:03,1.231782,19,19,orange,6262
9:38:34,0.1485897,20,20,orange,6262
9:39:55,1.684562,21,21,orange,6262
9:41:37,3.70E-02,22,22,orange,6262
9:43:00,0.1211116,23,23,orange,6262
9:44:29,0.2046276,24,24,orange,6262
9:45:44,0.1784057,25,25,orange,6262
9:46:57,1.89636,26,26,orange,6262
9:49:06,0.1370084,27,27,orange,6262
9:50:29,0.1058031,28,28,orange,6262
9:51:51,0.161168,29,29,orange,6262
9:53:18,0.1625316,30,30,orange,6262
9:54:49,6.42E-02,31,31,orange,6262
9:55:55,1.165649,32,32,orange,6262
9:57:21,0.1882105,33,33,orange,6262
9:58:45,5.70E-02,34,34,orange,6262
10:00:02,0.4738911,35,35,orange,6262
10:01:15,0.2101363,36,36,orange,6262
10:02:30,0.1139422,37,37,orange,6262
10:03:38,0.395359,38,38,orange,6262
10:04:53,0.2635708,39,39,orange,6262
10:06:04,2.094729,40,40,orange,6262
10:07:33,0.153683,41,41,orange,6262
10:08:42,0.1751252,42,42,orange,6262
10:09:55,0.1020405,43,43,orange,6262
10:11:11,9.84E-02,44,44,orange,6262
10:12:25,0.1214549,45,45,orange,6262
10:13:32,0.1859383,46,46,orange,6262
10:14:36,0.1649,47,47,orange,6262
10:15:36,0.139059,48,48,orange,6262
10:16:49,0.1115402,49,49,orange,6262
10:18:00,0.1187005,50,50,orange,6262
10:19:12,1.286177,51,51,white,6262
10:20:42,1.221004,52,52,white,6262
10:22:05,0.1051074,53,53,white,6262
10:23:28,0.9536007,54,54,white,6262
10:24:57,0.1580312,55,55,white,6262
10:26:15,0.1384309,56,56,white,6262
10:27:37,0.1529636,57,57,white,6262
10:28:48,1.34201,58,58,white,6262
10:30:12,0.8135575,59,59,white,6262
10:31:33,0.1440515,60,60,white,6262
10:32:40,1.243895,61,61,white,6262
10:34:06,0.7599244,62,62,white,6262
10:37:16,0.2076498,63,63,white,6262
