starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,indID,tape
11:33:16,5.59E-02,1,7000,63,white
11:34:34,3.61E-02,2,7000,64,white
11:36:00,7.20E-02,3,7000,65,white
11:37:19,3.64E-02,4,7000,66,white
11:38:49,7.44E-02,5,7000,67,white
11:40:15,0.8917382,6,7000,68,white
11:41:27,0.5264416,7,7000,69,white
11:43:03,4.94E-02,8,7000,71,white
11:44:19,4.31E-02,9,7000,72,white
11:45:35,0.1060011,10,7000,73,white
11:46:44,3.71E-02,11,7000,74,white
11:47:56,4.85E-02,12,7000,75,white
11:49:27,6.34E-03,13,7000,76,white
11:50:49,8.53E-03,14,7000,77,white
11:52:26,1.61E-04,15,7000,,
11:54:06,1.37E-03,16,7000,,
11:33:16,0.1052073,1,6262,62,blue
11:34:34,0.2301958,2,6262,63,blue
11:36:00,0.1297104,3,6262,64,blue
11:37:19,1.038193,4,6262,65,blue
11:38:49,0.725617,5,6262,66,blue
11:40:15,9.21E-02,6,6262,67,blue
11:41:27,1.091234,7,6262,68,blue
11:43:03,0.1226693,8,6262,69,blue
11:44:19,6.38E-02,9,6262,70,blue
11:45:35,5.93E-02,10,6262,71,blue
11:46:44,6.21E-02,11,6262,72,blue
11:47:56,0.1459243,12,6262,73,blue
11:49:27,7.50E-02,13,6262,74,blue
11:50:49,0.9101685,14,6262,75,blue
11:52:26,1.38E-02,15,6262,76,blue
11:54:06,1.72E-02,16,6262,77,blue
