starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,,,
9:18:10,0.6786519,1,7000,1,red,Milford
9:19:35,9.26E-02,2,7000,2,red,Grant
9:20:47,8.37E-02,3,7000,3,red,Grant
9:22:08,9.62E-02,4,7000,4,red,Grant
9:23:23,5.86E-02,5,7000,5,red,Ferris
9:24:31,6.88E-02,6,7000,6,red,Grant
9:25:47,0.6595102,7,7000,7,red,Ferris
9:27:14,0.1016834,8,7000,8,red,Grant
9:28:32,9.20E-02,9,7000,9,red,Grant
9:29:42,9.58E-02,10,7000,10,red,MSU
9:31:21,5.10E-02,11,7000,11,red,Grant
9:32:58,0.1003054,12,7000,12,red,Grant
9:34:06,0.3940577,13,7000,13,red,Grant
9:35:24,0.1065777,14,7000,14,red,Grant
9:36:32,0.1068,15,7000,15,red,Grant
9:37:55,0.0591845,16,7000,16,red,Ferris
9:39:25,0.9635664,17,7000,17,red,Ferris
9:40:46,9.91E-02,18,7000,18,red,Grant
9:42:13,0.2091181,19,7000,19,red,Grant
9:43:23,0.1069653,20,7000,20,red,Ferris
9:44:32,6.16E-02,21,7000,21,red,Ferris
9:45:40,0.1135002,22,7000,22,red,Grant
9:46:49,0.8337691,23,7000,23,red,Grant
9:48:17,1.099898,24,7000,24,red,Grant
9:49:44,0.126625,25,7000,25,red,Milford
9:50:56,0.1464526,26,7000,26,red,Milford
9:52:03,8.62E-02,27,7000,28,red,Ferris
9:53:25,0.8528228,28,7000,30,red,Milford
9:54:50,0.122293,29,7000,31,red,Grant
9:56:19,6.01E-02,30,7000,32,red,Ferris
9:57:28,6.18E-02,31,7000,33,red,Grant
9:58:28,0.1159946,32,7000,34,red,Ferris
9:59:42,0.1721524,33,7000,35,red,Grant
10:00:55,0.4999671,34,7000,36,red,Grant
10:02:12,0.0760495,35,7000,37,red,Grant
10:03:27,7.92E-02,36,7000,38,red,Milford
10:04:46,6.28E-02,37,7000,39,red,Grant
10:06:05,0.1297771,38,7000,40,red,Grant
10:07:12,0.1027413,39,7000,41,red,Grant
10:08:25,0.1246479,40,7000,42,red,Grant
10:09:47,0.0856957,41,7000,43,red,Grant
10:11:01,5.82E-02,42,7000,44,red,Ferris
10:12:15,0.294902,43,7000,45,red,Grant
10:13:25,0.4799809,44,7000,46,red,Ferris
10:14:45,0.1041425,45,7000,47,red,Grant
10:15:55,0.4071133,46,7000,48,red,Grant
10:17:12,0.1153014,47,7000,49,red,Ferris
10:18:23,0.1169858,48,7000,50,red,MSU
10:19:46,9.21E-02,49,7000,51,red,MSU
10:21:15,0.1005343,50,7000,52,red,Grant
10:22:29,6.75E-02,51,7000,53,red,Ferris
10:23:48,1.180135,52,7000,54,red,Grant
10:25:12,5.23E-02,53,7000,55,red,Grant
10:26:38,9.67E-02,54,7000,56,red,Grant
10:27:51,6.07E-02,55,7000,57,red,MSU
10:29:05,0.4631884,56,7000,58,red,Grant
10:30:24,1.987892,57,7000,59,red,Grant
10:31:59,9.39E-02,58,7000,60,red,Ferris
10:33:19,0.1201025,59,7000,61,red,Grant
10:34:40,9.97E-02,60,7000,62,red,Grant
10:35:54,0.1715246,61,7000,63,red,Grant
10:37:33,8.84E-02,62,7000,64,red,Ferris
