starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,indID,Tape
9:27:20,7.24E-02,1,7000,1,white
9:28:36,0.4044577,2,7000,2,white
9:29:55,5.52E-02,3,7000,3,white
9:31:12,0.1437456,4,7000,4,white
9:32:34,7.99E-02,5,7000,5,white
9:34:19,0.4985666,6,7000,6,white
9:35:40,5.18E-02,7,7000,7,white
9:37:22,0.0532004,8,7000,8,white
9:38:46,9.17E-02,9,7000,9,white
9:40:16,0.1229967,10,7000,10,white
9:41:45,6.27E-02,11,7000,11,white
9:43:33,5.51E-02,12,7000,12,white
9:45:26,7.65E-02,13,7000,13,white
9:46:56,0.2951117,14,7000,14,white
9:48:29,0.3265365,15,7000,15,white
9:51:01,8.12E-02,16,7000,16,white
9:52:30,7.96E-02,17,7000,17,white
9:54:12,0.6783829,18,7000,18,white
9:55:39,0.1055873,19,7000,19,white
9:57:21,0.1271848,20,7000,20,white
9:59:33,9.94E-02,21,7000,21,white
10:01:48,6.72E-02,22,7000,22,white
10:03:12,5.06E-02,23,7000,23,white
10:04:34,0.373135,24,7000,24,white
10:05:57,5.28E-02,25,7000,25,white
10:07:41,6.92E-02,26,7000,26,white
10:09:23,0.1349861,27,7000,27,white
10:10:48,0.4469453,28,7000,28,white
10:12:15,6.37E-02,29,7000,29,white
10:13:32,0.173628,30,7000,30,white
10:15:11,8.01E-02,31,7000,31,white
10:16:42,1.80E-02,32,7000,32,white
10:18:31,1.59E-02,33,7000,33,white
,,,,34,white
10:20:01,0.1133577,34,7000,35,white
10:21:24,0.1057187,35,7000,36,white
10:23:03,7.90E-02,36,7000,37,white
10:24:20,4.06E-02,37,7000,38,white
10:25:50,0.4045723,38,7000,39,white
,,,,40,white
10:27:31,9.20E-02,39,7000,41,white
10:29:18,0.5249311,40,7000,42,white
10:30:56,8.34E-02,41,7000,43,white
10:32:16,6.03E-02,42,7000,44,white
10:33:59,0.0520234,43,7000,45,white
10:35:21,9.13E-02,44,7000,46,white
10:36:42,3.83E-02,45,7000,47,white
10:38:26,5.09E-02,46,7000,48,white
10:39:53,0.439253,47,7000,49,white
10:41:27,0.4002267,48,7000,50,white
10:43:01,6.63E-02,49,7000,51,white
10:44:22,9.45E-02,50,7000,52,white
10:45:50,0.2575732,51,7000,53,white
10:47:27,0.5742527,52,7000,54,white
10:49:04,0.1535612,53,7000,55,white
10:50:53,0.3521603,54,7000,56,white
9:27:20,0.1110728,1,6262,1,orange
9:28:36,0.1988166,2,6262,2,orange
9:29:55,0.1025086,3,6262,3,orange
9:31:12,0.1721368,4,6262,4,orange
9:32:34,0.1962017,5,6262,5,orange
9:34:19,0.130279,6,6262,6,orange
9:35:40,0.7595475,7,6262,7,orange
9:37:22,0.176091,8,6262,8,orange
9:38:46,0.1200888,9,6262,9,orange
9:40:16,0.2421059,10,6262,10,orange
9:41:45,0.8442641,11,6262,11,orange
9:43:33,0.1644684,12,6262,12,orange
9:45:26,0.1547811,13,6262,13,orange
9:46:56,0.1217247,14,6262,14,orange
9:48:29,0.6777578,15,6262,15,orange
9:51:01,0.1277021,16,6262,16,orange
9:52:30,0.5564288,17,6262,17,orange
9:54:12,0.1012053,18,6262,18,orange
9:55:39,0.8702592,19,6262,19,orange
9:57:21,0.1680631,20,6262,20,orange
9:59:33,1.070875,21,6262,21,orange
10:01:48,0.12813,22,6262,22,orange
10:03:12,0.1097051,23,6262,23,orange
10:04:34,0.1150767,24,6262,24,orange
10:05:57,0.8021804,25,6262,25,orange
10:07:41,0.7911196,26,6262,26,orange
10:09:23,0.1792552,27,6262,27,orange
10:10:48,0.1263692,28,6262,28,orange
10:12:15,0.1051351,29,6262,29,orange
10:13:32,1.040024,30,6262,30,orange
10:15:11,0.1134033,31,6262,31,orange
10:16:42,0.7915827,32,6262,32,orange
10:18:31,0.1426339,33,6262,33,orange
10:20:01,0.1065648,34,6262,34,orange
10:21:24,0.9242696,35,6262,35,orange
10:23:03,0.1028897,36,6262,36,orange
10:24:20,0.1564159,37,6262,37,orange
10:25:50,7.30E-02,38,6262,38,orange
10:27:31,0.9624317,39,6262,39,orange
10:29:18,0.1315942,40,6262,40,orange
10:30:56,6.10E-02,41,6262,41,orange
10:32:16,0.2412634,42,6262,42,orange
10:33:59,7.53E-02,43,6262,43,orange
10:35:21,9.36E-02,44,6262,44,orange
10:36:42,0.8714436,45,6262,45,orange
10:38:26,7.71E-02,46,6262,46,orange
10:39:53,9.92E-02,47,6262,47,orange
10:41:27,0.1476305,48,6262,48,orange
10:43:01,7.27E-02,49,6262,49,orange
10:44:22,0.137004,50,6262,50,orange
10:45:50,0.6900489,51,6262,51,orange
10:47:27,0.9513698,52,6262,52,orange
10:49:04,0.6859378,53,6262,53,orange
10:50:53,8.95E-02,54,6262,54,orange
