starttime_VCO2_6262_1,area_VCO2_6262_1,n,Licor,IndID,Tape
11:00:26,5.09E-02,1,7000,57,white
,,,,58,white
11:02:11,4.94E-02,2,7000,59,white
11:03:38,0.5844476,3,7000,60,white
11:05:06,0.4989528,4,7000,61,white
11:07:04,7.69E-02,5,7000,62,white
11:08:22,3.77E-02,6,7000,63,white
11:09:42,5.14E-02,7,7000,64,white
11:11:19,4.29E-02,8,7000,65,white
11:13:02,0.6053979,9,7000,66,white
11:14:35,5.00E-02,10,7000,67,white
11:15:53,4.44E-02,11,7000,68,white
11:17:06,0.8409434,12,7000,70,white
11:19:00,2.70E-03,13,7000,72,white
11:20:38,9.98E-04,14,7000,,
11:22:05,-4.06E-04,15,7000,,
11:23:33,-1.00E-03,16,7000,,
11:24:44,-1.66E-03,17,7000,,
11:25:58,-1.05E-03,18,7000,,
11:00:26,0.5479574,1,6262,55,orange
11:02:11,0.15558,2,6262,56,orange
11:03:38,0.0484759,3,6262,57,orange
11:05:06,0.1225706,4,6262,58,orange
11:07:04,7.31E-02,5,6262,59,orange
11:08:22,7.22E-02,6,6262,60,orange
11:09:42,0.1488344,7,6262,61,orange
11:11:19,0.4700886,8,6262,62,orange
11:13:02,6.62E-02,9,6262,63,orange
11:14:35,0.0496342,10,6262,64,orange
11:15:53,5.84E-02,11,6262,65,orange
11:17:06,5.45E-02,12,6262,66,orange
11:19:00,0.1601734,13,6262,67,orange
11:20:38,7.06E-02,14,6262,68,orange
11:22:05,0.1054789,15,6262,69,orange
11:23:33,1.60E-02,16,6262,70,orange
11:24:44,1.11E-02,17,6262,71,orange
11:25:58,0.1434383,18,6262,75,orange
