starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,tape
10:30:56,0.7122925,1,7000,red
10:32:46,0.1733146,2,7000,red
10:34:33,6.62E-02,3,7000,red
10:36:12,9.90E-02,4,7000,red
10:38:05,6.88E-02,5,7000,red
10:39:55,7.48E-02,6,7000,red
10:41:26,0.6901464,7,7000,red
10:44:03,0.1102577,8,7000,red
10:45:42,0.1207115,9,7000,red
10:47:15,0.1017179,10,7000,red
10:49:02,8.14E-02,11,7000,red
10:51:29,0.1000382,12,7000,red
10:52:57,0.4382766,13,7000,red
10:54:33,8.69E-02,14,7000,red
10:55:56,6.49E-02,15,7000,red
10:57:50,7.44E-02,16,7000,red
10:59:54,0.8781691,17,7000,red
11:02:32,9.02E-02,18,7000,red
11:04:23,0.1830218,19,7000,red
11:06:04,0.113802,20,7000,red
11:07:42,7.87E-02,21,7000,red
11:09:33,0.1235464,22,7000,red
11:11:00,3.78E-02,23,7000,red
11:13:58,0.7776923,24,7000,red
11:15:51,3.08E-02,25,7000,red
11:19:36,0.1181989,26,7000,red
11:23:21,8.82E-02,27,7000,red
11:25:00,0.1073789,28,7000,red
11:26:57,0.8177781,29,7000,red
11:28:48,0.1132648,30,7000,red
11:30:37,5.47E-02,31,7000,red
11:32:22,5.92E-02,32,7000,red
11:34:00,0.1395189,33,7000,red
11:35:21,0.1180558,34,7000,red
11:37:00,0.5973625,35,7000,red
11:38:33,0.5436837,36,7000,red
11:41:12,0.143254,37,7000,red
11:42:45,0.0636676,38,7000,red
11:44:13,0.1350936,39,7000,red
11:45:40,8.57E-02,40,7000,red
11:48:25,0.1065288,41,7000,red
11:50:48,7.29E-02,42,7000,red
11:52:19,0.501096,43,7000,red
10:30:56,0.9323227,1,6262,orange
10:32:46,0.2176047,2,6262,orange
10:34:33,0.133528,3,6262,orange
10:36:12,0.1107911,4,6262,orange
10:38:05,0.2987265,5,6262,orange
10:39:55,0.1397824,6,6262,orange
10:41:26,0.2313015,7,6262,orange
10:44:03,0.6416492,8,6262,orange
10:45:42,0.2062501,9,6262,orange
10:47:15,1.548859,10,6262,orange
10:49:02,0.9277479,11,6262,orange
10:51:29,0.1874784,12,6262,orange
10:52:57,0.1560094,13,6262,orange
10:54:33,0.1275078,14,6262,orange
10:55:56,1.140334,15,6262,orange
10:57:50,1.422971,16,6262,orange
10:59:54,0.1605662,17,6262,orange
11:02:32,1.504641,18,6262,orange
11:04:23,0.2351616,19,6262,orange
11:06:04,0.1321199,20,6262,orange
11:07:42,0.18856,21,6262,orange
11:09:33,0.1320758,22,6262,orange
11:11:00,0.213035,23,6262,orange
11:13:58,0.1130946,24,6262,orange
11:15:51,0.072116,25,6262,orange
11:19:36,0.1632339,26,6262,orange
11:23:21,0.1593711,27,6262,orange
11:25:00,0.1805714,28,6262,orange
11:26:57,1.599174,29,6262,orange
11:28:48,1.683671,30,6262,orange
11:30:37,0.1642394,31,6262,orange
11:32:22,0.1483462,32,6262,orange
11:34:00,0.1110691,33,6262,orange
11:35:21,0.1325316,34,6262,orange
11:37:00,9.74E-02,35,6262,orange
11:38:33,0.1626049,36,6262,orange
11:41:12,0.2888319,37,6262,orange
11:42:45,0.1813071,38,6262,orange
11:44:13,8.04E-02,39,6262,orange
11:45:40,0.1169312,40,6262,orange
11:48:25,0.1208699,41,6262,orange
11:50:48,0.1102494,42,6262,orange
11:52:19,0.1779577,43,6262,orange
