starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,tape,ind_ID,,
10:58:17,7.62E-02,1,7000,red,48,red,Ferris
10:59:38,9.65E-02,2,7000,red,49,red,OG
11:00:58,5.02E-02,3,7000,red,50,red,OG
11:02:46,5.89E-02,4,7000,red,51,red,OG
11:04:35,0.0548923,5,7000,red,52,red,OG
11:06:06,6.58E-02,6,7000,red,53,red,OG
11:07:31,4.20E-02,7,7000,red,54,red,OG
11:09:05,0.3654316,8,7000,red,55,red,OG
11:11:04,5.84E-02,9,7000,red,56,red,Ferris
11:12:52,8.70E-02,10,7000,red,57,red,OG
11:14:21,0.0812266,11,7000,red,58,red,OG
11:16:14,0.0314551,12,7000,red,59,red,OG
11:17:52,0.0653823,13,7000,red,60,red,Ferris
11:19:47,6.48E-02,14,7000,red,61,red,OG
11:21:15,1.17E-02,15,7000,red,62,red,OG
11:23:05,6.79E-02,16,7000,red,63,red,Ferris
11:24:34,6.29E-02,17,7000,red,64,red,OG
11:25:49,7.17E-02,18,7000,red,66,red,Ferris
10:58:17,8.84E-02,1,6262,blue,48,blue,Ferris
10:59:38,6.61E-02,2,6262,blue,49,blue,OG
11:00:58,6.44E-02,3,6262,blue,50,blue,Ferris
11:02:46,5.81E-02,4,6262,blue,51,blue,OG
11:04:35,0.1121731,5,6262,blue,52,blue,Ferris
11:06:06,0.1370441,6,6262,blue,53,blue,Ferris
11:07:31,9.67E-02,7,6262,blue,54,blue,OG
11:09:05,1.349582,8,6262,blue,55,blue,OG
11:11:04,1.074236,9,6262,blue,56,blue,OG
11:12:52,0.2053961,10,6262,blue,57,blue,Ferris
11:14:21,0.1108492,11,6262,blue,58,blue,OG
11:16:14,2.46E-02,12,6262,blue,59,blue,Blank
11:17:52,0.8986641,13,6262,blue,60,blue,OG
11:19:47,0.143804,14,6262,blue,61,blue,OG
11:21:15,0.2130802,15,6262,blue,65,blue,Ferris
11:23:05,7.59E-02,16,6262,blue,70,blue,Ferris
11:24:34,1.91E-03,17,6262,blue,,,
11:25:49,6.03E-03,18,6262,blue,,,
