starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,,,
13:33:06,0.1280808,1,7000,1,blue,Grant
13:36:44,7.89E-02,2,7000,2,blue,Grant
13:38:22,0.1339866,3,7000,3,blue,Grant
13:40:19,7.10E-02,4,7000,4,blue,Grant
13:42:23,0.8142571,5,7000,5,blue,Grant
13:44:07,0.1029603,6,7000,6,blue,Grant
13:45:38,0.1050291,7,7000,7,blue,Grant
13:47:24,6.09E-02,8,7000,8,blue,Grant
13:48:49,0.1583426,9,7000,9,blue,Grant
13:50:13,0.5141876,10,7000,10,blue,Grant
13:52:02,0.7204621,11,7000,11,blue,Grant
13:54:09,1.019703,12,7000,12,blue,Grant
13:56:14,0.1640399,13,7000,13,blue,Grant
13:59:06,6.64E-02,14,7000,14,blue,Grant
14:01:27,1.077842,15,7000,15,blue,Grant
14:03:14,0.1372543,16,7000,16,blue,Grant
14:04:59,0.7679062,17,7000,17,blue,Grant
14:06:47,0.6876281,18,7000,18,blue,Grant
14:09:15,0.7128011,19,7000,19,blue,Grant
14:10:44,0.9412019,20,7000,20,blue,Grant
14:12:30,0.1403034,21,7000,22,blue,Grant
14:14:07,8.00E-02,22,7000,23,blue,Grant
14:15:39,5.66E-02,23,7000,24,blue,Grant
14:17:09,9.66E-02,24,7000,25,blue,Grant
14:18:46,7.36E-02,25,7000,26,blue,Grant
14:20:16,9.89E-02,26,7000,27,blue,Grant
14:22:26,0.1672249,27,7000,28,blue,Grant
14:23:54,6.41E-02,28,7000,29,blue,Grant
14:25:19,0.3885047,29,7000,30,blue,Milford
14:26:49,0.0759559,30,7000,31,blue,Grant
14:28:22,9.00E-03,31,7000,32,blue,blank
14:29:37,7.91E-03,32,7000,33,blue,blank
13:33:06,1.321448,1,6262,1,white,Grant
13:36:44,0.2221895,2,6262,2,white,Grant
13:38:22,6.01E-02,3,6262,3,white,Grant
13:40:19,0.3043117,4,6262,4,white,Grant
13:42:23,0.2951904,5,6262,5,white,Grant
13:44:07,0.2045554,6,6262,6,white,Grant
13:45:38,1.129774,7,6262,7,white,Grant
13:47:24,0.1024733,8,6262,8,white,Grant
13:48:49,0.2167225,9,6262,9,white,Grant
13:50:13,0.2331051,10,6262,10,white,Grant
13:52:02,0.2314128,11,6262,11,white,Grant
13:54:09,0.2063469,12,6262,13,white,Grant
13:56:14,1.35514,13,6262,14,white,Grant
13:59:06,1.87E-02,14,6262,15,white,Grant
14:01:27,0.1688562,15,6262,17,white,Grant
14:03:14,0.2149431,16,6262,18,white,Grant
14:04:59,0.8923329,17,6262,19,white,Grant
14:06:47,1.366056,18,6262,20,white,Grant
14:09:15,0.1806166,19,6262,22,white,Grant
14:10:44,1.954461,20,6262,23,white,Grant
14:12:30,1.046579,21,6262,24,white,Grant
14:14:07,0.217341,22,6262,25,white,Grant
14:15:39,0.130183,23,6262,26,white,Grant
14:17:09,0.4395424,24,6262,27,white,Grant
14:18:46,0.1706153,25,6262,28,white,Grant
14:20:16,0.9533111,26,6262,29,white,Grant
14:22:26,0.168262,27,6262,30,white,Grant
14:23:54,0.1594743,28,6262,31,white,Grant
14:25:19,2.48E-02,29,6262,32,white,blank
14:26:49,2.84E-02,30,6262,33,white,blank
14:28:22,3.18E-03,31,6262,,,
14:29:37,2.03E-03,32,6262,,,
