starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,ind_id,tape
8:59:59,0.8960276,1,7000,1,white
9:01:28,0.4421363,2,7000,2,white
9:02:51,0.6416703,3,7000,3,white
9:04:14,9.31E-02,4,7000,4,white
9:05:27,0.1428498,5,7000,5,white
9:06:53,0.9918451,6,7000,6,white
9:08:20,0.1491353,7,7000,7,white
9:09:35,0.1067719,8,7000,8,white
9:11:04,0.7878039,9,7000,9,white
9:12:34,0.5516621,10,7000,10,white
9:13:51,0.7336757,11,7000,11,white
9:15:21,1.102469,12,7000,12,white
9:16:44,0.1434456,13,7000,13,white
9:18:02,6.82E-02,14,7000,14,white
9:19:28,7.29E-02,15,7000,15,white
9:20:39,0.1396419,16,7000,16,white
9:22:14,0.6097775,17,7000,17,white
9:23:45,7.28E-02,18,7000,18,white
9:25:02,0.1323637,19,7000,19,white
9:26:40,0.6311412,20,7000,20,white
9:28:05,5.46E-02,21,7000,21,white
9:29:18,8.25E-02,22,7000,22,white
9:30:48,9.72E-02,23,7000,23,white
9:32:28,0.1586375,24,7000,24,white
9:34:04,0.1278368,25,7000,25,white
9:35:32,0.1339689,26,7000,26,white
9:36:57,9.60E-03,27,7000,27,white
9:38:20,1.19E-02,28,7000,28,white
8:59:59,0.2004576,1,6262,1,orange
9:01:28,0.172143,2,6262,2,orange
9:02:51,0.218637,3,6262,3,orange
9:04:14,0.1956931,4,6262,4,orange
9:05:27,1.212497,5,6262,5,orange
9:06:53,0.3282457,6,6262,6,orange
9:08:20,0.1429607,7,6262,7,orange
9:09:35,1.523207,8,6262,8,orange
9:11:04,0.2905945,9,6262,9,orange
9:12:34,0.144925,10,6262,10,orange
9:13:51,1.72217,11,6262,11,orange
9:15:21,0.1913839,12,6262,12,orange
9:16:44,0.2601633,13,6262,13,orange
9:18:02,1.145565,14,6262,14,orange
9:19:28,0.1904047,15,6262,15,orange
9:20:39,2.184993,16,6262,16,orange
9:22:14,0.1403304,17,6262,17,orange
9:23:45,0.2353697,18,6262,18,orange
9:25:02,0.3088377,19,6262,19,orange
9:26:40,1.325457,20,6262,20,orange
9:28:05,0.1777771,21,6262,21,orange
9:29:18,2.79E-02,22,6262,22,orange
9:30:48,2.369902,23,6262,23,orange
9:32:28,2.632204,24,6262,24,orange
9:34:04,0.4025218,25,6262,25,orange
9:35:32,0.5515164,26,6262,26,orange
9:36:57,2.39E-02,27,6262,27,orange
9:38:20,2.25E-02,28,6262,28,orange
