starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,Ind_num,tape
10:03:42,1.135671,1,7000,50,red
10:05:54,7.57E-02,2,7000,51,red
10:07:50,7.83E-02,3,7000,52,red
10:09:52,0.1467308,4,7000,53,red
10:11:19,0.5855048,5,7000,54,red
10:13:58,6.27E-02,6,7000,55,red
10:15:35,9.00E-02,7,7000,56,red
10:17:26,0.6487276,8,7000,57,red
10:19:05,0.2354349,9,7000,58,red
10:20:44,9.71E-02,10,7000,59,red
10:22:07,8.42E-02,11,7000,60,red
10:23:29,5.01E-02,12,7000,61,red
10:24:58,0.1146481,13,7000,62,red
10:26:41,5.78E-02,14,7000,63,red
10:28:42,0.8943273,15,7000,64,red
10:30:30,5.10E-02,16,7000,65,red
10:32:22,6.84E-02,17,7000,66,red
10:33:50,1.22E-02,18,7000,67,red
10:34:56,1.61E-02,19,7000,68,red
10:03:42,1.055237,1,6262,50,orange
10:05:54,1.234191,2,6262,51,orange
10:07:50,1.391868,3,6262,52,orange
10:09:52,0.2753476,4,6262,53,orange
10:11:19,0.1518418,5,6262,54,orange
10:13:58,0.1415706,6,6262,55,orange
10:15:35,0.1399144,7,6262,56,orange
10:17:26,0.1815212,8,6262,57,orange
10:19:05,1.464542,9,6262,58,orange
10:20:44,0.1027404,10,6262,59,orange
10:22:07,0.1830288,11,6262,60,orange
10:23:29,0.1269463,12,6262,61,orange
10:24:58,1.467039,13,6262,62,orange
10:26:41,1.170267,14,6262,63,orange
10:28:42,1.951943,15,6262,64,orange
10:30:30,1.523376,16,6262,65,orange
10:32:22,2.20E-02,17,6262,66,orange
10:33:50,0.0221894,18,6262,67,orange
10:34:56,0.0010337,19,6262,,
