starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,actual_n,tape 
24:20:59,9.04E-02,1,7000,36,blue
24:22:15,0.1181727,2,7000,37,blue
24:23:37,0.6802911,3,7000,38,blue
24:24:53,9.42E-02,4,7000,39,blue
24:26:23,9.16E-02,5,7000,40,blue
24:27:25,0.9394852,6,7000,41,blue
24:28:36,0.1224875,7,7000,42,blue
24:29:54,0.1082694,8,7000,43,blue
24:31:00,7.87E-02,9,7000,44,blue
24:32:31,2.65E-03,10,7000,45,blue
24:33:48,9.36E-03,11,7000,46,blue
24:34:49,1.14E-02,12,7000,47,blue
24:20:59,0.109638,1,6262,36,white
24:22:15,1.434551,2,6262,37,white
24:23:37,1.232341,3,6262,38,white
24:24:53,3.233407,4,6262,39,white
24:26:23,0.1373938,5,6262,40,white
24:27:25,0.1400179,6,6262,41,white
24:28:36,1.369402,7,6262,42,white
24:29:54,0.1629767,8,6262,43,white
24:31:00,0.165682,9,6262,44,white
24:32:31,0.1706609,10,6262,45,white
24:33:48,1.52E-02,11,6262,46,white
24:34:49,1.51E-02,12,6262,47,white
