starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,tape,site
10:01:42,0.1227701,1,7000,red,Ferris
10:03:22,0.7002829,2,7000,red,Ferris
10:05:06,6.78E-02,3,7000,red,OG
10:06:49,0.4660389,4,7000,red,Ferris
10:08:25,9.71E-02,5,7000,red,OG
10:10:16,0.5909204,6,7000,red,Ferris
10:11:46,0.1025996,7,7000,red,OG
10:13:48,0.1445264,8,7000,red,Ferris
10:15:22,0.7662523,9,7000,red,OG
10:16:56,0.796097,10,7000,red,Ferris
10:18:20,0.1119379,11,7000,red,Ferris
10:19:32,0.8003154,12,7000,red,Ferris
10:20:53,0.1230512,13,7000,red,OG
10:22:14,0.1014296,14,7000,red,Ferris
10:23:42,8.05E-02,15,7000,red,OG
10:24:53,0.5833024,16,7000,red,Ferris
10:26:17,0.5200316,17,7000,red,OG
10:27:47,8.62E-02,18,7000,red,OG
10:28:58,7.39E-02,19,7000,red,OG
10:30:09,0.6819657,20,7000,red,OG
10:31:29,8.28E-03,21,7000,red,blank
10:32:30,7.95E-03,22,7000,red,blank
10:01:42,0.2141561,1,6262,orange,OG
10:03:22,1.54416,2,6262,orange,OG
10:05:06,1.456161,3,6262,orange,Ferris
10:06:49,0.1570205,4,6262,orange,OG
10:08:25,1.242848,5,6262,orange,Ferris
10:10:16,8.96E-02,6,6262,orange,OG
10:11:46,0.8885235,7,6262,orange,Ferris
10:13:48,1.329091,8,6262,orange,OG
10:15:22,1.511344,9,6262,orange,Ferris
10:16:56,0.168452,10,6262,orange,Ferris
10:18:20,0.1916591,11,6262,orange,OG
10:19:32,0.2265343,12,6262,orange,Ferris
10:20:53,0.4690363,13,6262,orange,Ferris
10:22:14,0.9806103,14,6262,orange,OG
10:23:42,0.133075,15,6262,orange,Ferris
10:24:53,1.261942,16,6262,orange,Ferris
10:26:17,1.177749,17,6262,orange,OG
10:27:47,0.1699516,18,6262,orange,OG
10:28:58,0.1100877,19,6262,orange,Ferris
10:30:09,0.1443243,20,6262,orange,OG
10:31:29,1.38E-02,21,6262,red,blank
10:32:30,1.36E-02,22,6262,red,blank
