starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,tape
11:45:41,3.80E-02,1,7000,blue
11:47:10,0.4768629,2,7000,blue
11:48:20,7.63E-02,3,7000,blue
11:49:23,0.5074048,4,7000,blue
11:50:45,1.58E-02,5,7000,blue
11:51:52,6.97E-02,6,7000,blue
11:53:03,9.14E-02,7,7000,blue
11:54:22,0.4280898,8,7000,blue
11:55:46,6.59E-02,9,7000,blue
11:56:55,0.1012678,10,7000,blue
11:58:04,0.1018948,11,7000,blue
11:59:23,0.1194625,12,7000,blue
24:00:53,9.37E-02,13,7000,blue
24:02:00,0.6579069,14,7000,blue
24:03:15,0.1396013,15,7000,blue
24:04:31,8.50E-02,16,7000,blue
24:06:28,6.39E-02,17,7000,blue
24:07:42,7.27E-02,18,7000,blue
24:08:40,0.5649386,19,7000,blue
24:10:07,0.7970313,20,7000,blue
24:11:27,0.6308385,21,7000,blue
24:12:36,9.37E-02,22,7000,blue
24:13:45,0.5744734,23,7000,blue
24:15:06,8.30E-02,24,7000,blue
24:16:11,7.91E-02,25,7000,blue
24:17:27,5.04E-02,26,7000,blue
24:19:34,0.097444,27,7000,blue
24:23:12,0.1348069,28,7000,blue
24:25:36,5.37E-02,29,7000,blue
24:26:37,0.3848608,30,7000,blue
24:28:13,4.50E-02,31,7000,blue
24:29:27,0.788949,32,7000,blue
24:30:41,5.90E-02,33,7000,blue
24:31:38,0.1400262,34,7000,blue
24:33:00,7.80E-02,35,7000,blue
24:34:28,4.74E-02,36,7000,blue
24:35:31,4.21E-02,37,7000,blue
24:36:56,0.5223975,38,7000,blue
24:38:16,6.37E-02,39,7000,blue
24:39:15,6.22E-02,40,7000,blue
24:40:26,0.6977499,41,7000,blue
24:41:32,0.0186337,42,6262,blue
24:42:46,0.058917,43,7000,blue
24:43:46,1.60E-02,44,7000,blue
24:44:53,4.38E-02,45,7000,blue
24:45:55,1.04E-02,46,7000,blue
24:46:52,1.09E-02,47,7000,blue
11:45:41,0.1165102,1,6262,white
11:47:10,9.38E-02,2,6262,white
11:48:20,0.0124646,3,6262,white
11:49:23,0.6827161,4,6262,white
11:50:45,6.73E-02,5,6262,white
11:51:52,0.1436431,6,6262,white
11:53:03,0.7797319,7,6262,white
11:54:22,1.092772,8,6262,white
11:55:46,9.21E-02,9,6262,white
11:56:55,1.88E-02,10,6262,white
11:58:04,1.009031,11,6262,white
11:59:23,1.282912,12,6262,white
24:00:53,0.1274221,13,6262,white
24:02:00,5.48E-02,14,6262,white
24:03:15,0.5336195,15,6262,white
24:04:31,0.4546795,16,6262,white
24:06:28,0.179272,17,6262,white
24:07:42,6.89E-02,18,6262,white
24:08:40,0.7417467,19,6262,white
24:10:07,0.6271697,20,6262,white
24:11:27,7.81E-02,21,6262,white
24:12:36,0.1337525,22,6262,white
24:13:45,5.88E-02,23,6262,white
24:15:06,5.60E-02,24,6262,white
24:16:11,0.3293965,25,6262,white
24:17:27,0.1378271,26,6262,white
24:19:34,0.6465324,27,6262,white
24:23:12,0.8942293,28,6262,white
24:25:36,6.69E-02,29,6262,white
24:26:37,1.195943,30,6262,white
24:28:13,0.7741397,31,6262,white
24:29:27,0.1415256,32,6262,white
24:30:41,5.84E-02,33,6262,white
24:31:38,0.8782459,34,6262,white
24:33:00,0.8699331,35,6262,white
24:34:28,0.1220227,36,6262,white
24:35:31,1.218496,37,6262,white
24:36:56,0.9721812,38,6262,white
24:38:16,3.28E-02,39,6262,white
24:39:15,0.1268958,40,6262,white
24:40:26,7.47E-02,41,6262,white
24:41:32,0.731328,42,7000,white
24:42:46,7.10E-02,43,6262,white
24:43:46,0.1724848,44,6262,white
24:44:53,6.29E-02,45,6262,white
24:45:55,1.66E-02,46,6262,white
24:46:52,1.58E-02,47,6262,white
