starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,,,
14:07:34,5.96E-04,1,7000,red,,
14:11:30,0.6359279,2,7000,red,,
14:13:19,6.36E-02,3,7000,red,,
14:14:47,0.4810365,4,7000,red,,
14:16:11,0.0476502,5,7000,red,,
14:17:39,0.5521708,6,7000,red,,
14:18:50,5.04E-02,7,7000,red,,
14:20:17,6.09E-02,8,7000,red,,
14:21:50,0.7748992,9,7000,red,,
14:23:16,0.7594513,10,7000,red,,
14:24:31,8.84E-02,11,7000,red,,
14:25:46,0.7800816,12,7000,red,,
14:27:09,0.1027621,13,7000,red,,
14:28:24,0.111984,14,7000,red,,
14:29:52,0.1051362,15,7000,red,,
14:30:59,1.43E-02,16,7000,red,,
14:32:21,0.5120246,17,7000,red,,
14:33:50,3.96E-02,18,7000,red,,
14:34:58,8.75E-02,19,7000,red,,
14:36:07,0.7132144,20,7000,red,,
14:37:27,8.91E-03,21,7000,red,,
14:38:35,7.90E-03,22,7000,red,,
14:07:34,4.72E-05,1,6262,orange,,misinjection
14:11:30,1.313198,2,6262,orange,,
14:13:19,1.119368,3,6262,orange,,
14:14:47,-0.0271952,4,6262,orange,,
14:16:11,1.055921,5,6262,orange,,
14:17:39,-1.95E-02,6,6262,orange,,
14:18:50,0.7436913,7,6262,orange,,
14:20:17,1.178086,8,6262,orange,,
14:21:50,1.771345,9,6262,orange,,
14:23:16,1.29E-02,10,6262,orange,,
14:24:31,8.96E-02,11,6262,orange,,
14:25:46,0.5215837,12,6262,orange,,
14:27:09,0.429864,13,6262,orange,,
14:28:24,0.8353723,14,6262,orange,,
14:29:52,3.52E-02,15,6262,orange,,
14:30:59,1.255162,16,6262,orange,,
14:32:21,1.088012,17,6262,orange,,
14:33:50,8.32E-02,18,6262,orange,,
14:34:58,3.70E-02,19,6262,orange,,
14:36:07,0.1028505,20,6262,orange,,
14:37:27,9.35E-03,21,6262,orange,,
14:38:35,1.38E-02,22,6262,orange,,
