starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,tape color,
14:07:34,5.96E-04,1,7000,red,
14:11:30,0.6359279,2,7000,red,
14:13:19,6.36E-02,3,7000,red,
14:14:47,0.4810365,4,7000,red,
14:16:11,0.0476502,5,7000,red,
14:17:39,0.5521708,6,7000,red,
14:18:50,5.04E-02,7,7000,red,
14:20:17,6.09E-02,8,7000,red,
14:21:50,0.7748992,9,7000,red,
14:23:16,0.7594513,10,7000,red,
14:24:31,8.84E-02,11,7000,red,
14:25:46,0.7800816,12,7000,red,
14:27:09,0.1027621,13,7000,red,
14:28:24,0.111984,14,7000,red,
14:29:52,0.1051362,15,7000,red,
14:30:59,1.43E-02,16,7000,red,
14:32:21,0.5120246,17,7000,red,
14:33:50,3.96E-02,18,7000,red,
14:34:58,8.75E-02,19,7000,red,
14:36:07,0.7132144,20,7000,red,
14:37:27,8.91E-03,21,7000,red,
14:38:35,7.90E-03,22,7000,red,
14:07:34,9.79E-04,1,7000,orange,misinjection
14:11:30,1.511381,2,7000,orange,
14:13:19,1.269718,3,7000,orange,
14:14:47,0.1081666,4,7000,orange,
14:16:11,1.189166,5,7000,orange,
14:17:39,8.16E-02,6,7000,orange,
14:18:50,0.859834,7,7000,orange,
14:20:17,1.292812,8,7000,orange,
14:21:50,1.868967,9,7000,orange,
14:23:16,0.0911903,10,7000,orange,
14:24:31,0.1614538,11,7000,orange,
14:25:46,0.5937206,12,7000,orange,
14:27:09,0.4885913,13,7000,orange,
14:28:24,0.8961944,14,7000,orange,
14:29:52,7.57E-02,15,7000,orange,
14:30:59,1.297777,16,7000,orange,
14:32:21,1.125762,17,7000,orange,
14:33:50,0.1060104,18,7000,orange,
14:34:58,5.49E-02,19,7000,orange,
14:36:07,0.1168489,20,7000,orange,
14:37:27,1.56E-02,21,7000,orange,
14:38:35,1.51E-02,22,7000,orange,
