starttime_VCO2_6262_1,area_VCO2_6262_1,n,tape,licor
9:16:10,0.1599476,1,blue,7000
9:17:30,0.4527651,2,blue,7000
9:18:47,4.04E-02,3,blue,7000
9:19:53,0.3576056,4,blue,7000
9:21:07,6.46E-02,5,blue,7000
9:22:12,0.1237704,6,blue,7000
9:23:40,6.77E-02,7,blue,7000
9:24:44,6.96E-02,8,blue,7000
9:25:50,0.373702,9,blue,7000
9:27:01,0.3918562,10,blue,7000
9:28:15,0.1216961,11,blue,7000
9:29:29,5.65E-02,12,blue,7000
9:30:52,5.03E-02,13,blue,7000
9:31:56,7.77E-02,14,blue,7000
9:33:13,8.18E-02,15,blue,7000
9:34:10,7.50E-02,16,blue,7000
9:35:18,6.25E-02,17,blue,7000
9:36:30,5.54E-02,18,blue,7000
9:37:36,4.84E-02,19,blue,7000
9:38:36,0.4837796,20,blue,7000
9:39:48,5.45E-02,21,blue,7000
9:40:56,7.07E-02,22,blue,7000
9:42:04,0.3292142,23,blue,7000
9:43:13,9.33E-02,24,blue,7000
9:44:35,5.99E-02,25,blue,7000
9:45:42,9.11E-02,26,blue,7000
9:46:46,7.50E-02,27,blue,7000
9:48:07,0.2690111,28,blue,7000
9:49:15,7.49E-02,29,blue,7000
9:50:18,9.01E-02,30,blue,7000
9:51:54,7.53E-02,31,blue,7000
9:52:57,8.65E-02,32,blue,7000
9:54:20,7.88E-02,33,blue,7000
9:55:38,9.19E-02,34,blue,7000
9:56:44,0.3031077,35,blue,7000
9:58:00,6.41E-02,36,blue,7000
9:59:03,0.1605722,37,blue,7000
10:00:09,0.520544,38,blue,7000
10:01:41,7.25E-02,39,blue,7000
10:02:49,0.4328355,40,blue,7000
10:03:51,0.5201945,41,blue,7000
10:05:11,6.50E-02,42,blue,7000
10:06:20,5.07E-02,43,blue,7000
10:07:34,4.75E-02,44,blue,7000
10:08:42,0.1322002,45,blue,7000
10:09:48,9.67E-03,46,blue,7000
10:11:18,9.64E-03,47,blue,7000
9:16:10,0.5358223,1,white,6262
9:17:30,0.1563206,2,white,6262
9:18:47,0.1032771,3,white,6262
9:19:53,0.1238738,4,white,6262
9:21:07,0.1773579,5,white,6262
9:22:12,1.219863,6,white,6262
9:23:40,0.1508727,7,white,6262
9:24:44,7.92E-02,8,white,6262
9:25:50,7.94E-02,9,white,6262
9:27:01,0.1439341,10,white,6262
9:28:15,0.117183,11,white,6262
9:29:29,0.8242183,12,white,6262
9:30:52,0.1126433,13,white,6262
9:31:56,0.6680564,14,white,6262
9:33:13,6.44E-02,15,white,6262
9:34:10,0.0788215,16,white,6262
9:35:18,0.0878875,17,white,6262
9:36:30,9.09E-02,18,white,6262
9:37:36,6.00E-02,19,white,6262
9:38:36,0.1607354,20,white,6262
9:39:48,0.1230528,21,white,6262
9:40:56,0.128558,22,white,6262
9:42:04,7.22E-02,23,white,6262
9:43:13,0.795087,24,white,6262
9:44:35,0.1354204,25,white,6262
9:45:42,8.45E-02,26,white,6262
9:46:46,1.030749,27,white,6262
9:48:07,9.01E-02,28,white,6262
9:49:15,0.101032,29,white,6262
9:50:18,1.315436,30,white,6262
9:51:54,6.27E-02,31,white,6262
9:52:57,0.8641746,32,white,6262
9:54:20,8.60E-02,33,white,6262
9:55:38,0.1086746,34,white,6262
9:56:44,9.07E-02,35,white,6262
9:58:00,8.32E-02,36,white,6262
9:59:03,0.1316833,37,white,6262
10:00:09,1.022467,38,white,6262
10:01:41,0.1056818,39,white,6262
10:02:49,5.72E-02,40,white,6262
10:03:51,0.8020734,41,white,6262
10:05:11,0.1754765,42,white,6262
10:06:20,0.1721161,43,white,6262
10:07:34,0.1636775,44,white,6262
10:08:42,7.82E-02,45,white,6262
10:09:48,1.47E-02,46,white,6262
10:11:18,1.23E-02,47,white,6262
