starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,tape
10:19:24,0.1301273,1,7000,red
10:20:43,0.6005508,2,7000,red
10:21:59,0.1488435,3,7000,red
10:23:00,0.4096732,4,7000,red
10:24:24,0.0509585,5,7000,red
10:25:38,0.1524505,6,7000,red
10:26:54,0.2787984,7,7000,red
10:28:04,5.44E-02,8,7000,red
10:29:06,4.46E-02,9,7000,red
10:30:16,0.1212297,10,7000,red
10:31:29,0.6671941,11,7000,red
10:32:53,0.2483779,12,7000,red
10:34:00,0.1230319,13,7000,red
10:35:09,6.42E-02,14,7000,red
10:36:13,0.6200286,15,7000,red
10:37:28,4.18E-02,16,7000,red
10:38:34,0.1745443,17,7000,red
10:39:38,4.33E-02,18,7000,red
10:40:41,0.3892353,19,7000,red
10:41:57,5.95E-02,20,7000,red
10:43:05,6.93E-02,21,7000,red
10:44:22,0.1062383,22,7000,red
10:45:27,0.1476563,23,7000,red
10:46:33,0.5812039,24,7000,red
10:47:50,0.1097174,25,7000,red
10:48:59,0.4975908,26,7000,red
10:50:11,0.2207638,27,7000,red
10:51:18,8.81E-02,28,7000,red
10:52:26,0.1709034,29,7000,red
10:53:33,4.81E-02,30,7000,red
10:54:34,7.44E-02,31,7000,red
10:56:06,5.62E-02,32,7000,red
10:57:12,0.3115591,33,7000,red
10:58:17,4.55E-02,34,7000,red
10:59:33,0.4695872,35,7000,red
11:00:47,0.5015013,36,7000,red
11:02:00,0.3936133,37,7000,red
11:03:20,0.3917141,38,7000,red
11:04:29,0.1244712,39,7000,red
11:05:36,1.37E-03,40,7000,red
11:06:50,1.40E-03,41,7000,red
11:07:59,1.32E-03,42,7000,red
11:09:02,1.03E-03,43,7000,red
11:10:23,1.10E-03,44,7000,red
11:11:25,1.02E-03,45,7000,red
11:12:31,8.55E-03,46,7000,red
11:13:30,7.52E-03,47,7000,red
10:19:24,0.1584024,1,6262,orange
10:20:43,0.1058329,2,6262,orange
10:21:59,9.19E-02,3,6262,orange
10:23:00,0.6506203,4,6262,orange
10:24:24,9.82E-02,5,6262,orange
10:25:38,3.94E-02,6,6262,orange
10:26:54,0.1446939,7,6262,orange
10:28:04,0.1101157,8,6262,orange
10:29:06,0.1828079,9,6262,orange
10:30:16,0.1490496,10,6262,orange
10:31:29,0.5322983,11,6262,orange
10:32:53,0.1216599,12,6262,orange
10:34:00,0.1862454,13,6262,orange
10:35:09,0.194254,14,6262,orange
10:36:13,0.1177052,15,6262,orange
10:37:28,0.1238284,16,6262,orange
10:38:34,0.0701823,17,6262,orange
10:39:38,0.1259935,18,6262,orange
10:40:41,0.7482959,19,6262,orange
10:41:57,9.21E-02,20,6262,orange
10:43:05,0.9252135,21,6262,orange
10:44:22,2.37E-02,22,6262,orange
10:45:27,0.1208277,23,6262,orange
10:46:33,0.1324172,24,6262,orange
10:47:50,8.11E-02,25,6262,orange
10:48:59,0.1552165,26,6262,orange
10:50:11,0.1090928,27,6262,orange
10:51:18,0.1519279,28,6262,orange
10:52:26,0.1225911,29,6262,orange
10:53:33,7.06E-02,30,6262,orange
10:54:34,0.8125405,31,6262,orange
10:56:06,9.38E-02,32,6262,orange
10:57:12,0.1630438,33,6262,orange
10:58:17,0.1101207,34,6262,orange
10:59:33,7.72E-02,35,6262,orange
11:00:47,0.2117027,36,6262,orange
11:02:00,1.305206,37,6262,orange
11:03:20,9.21E-02,38,6262,orange
11:04:29,0.1387527,39,6262,orange
11:05:36,0.1227541,40,6262,orange
11:06:50,0.1256034,41,6262,orange
11:07:59,9.65E-02,42,6262,orange
11:09:02,0.5707385,43,6262,orange
11:10:23,0.0878442,44,6262,orange
11:11:25,0.142974,45,6262,orange
11:12:31,1.37E-02,46,6262,orange
11:13:30,1.13E-02,47,6262,orange
