starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,tape_color,
9:08:49,6.01E-02,1,7000,blue,
9:10:13,0.1644045,2,7000,blue,
9:11:17,7.94E-02,3,7000,blue,
9:12:21,6.57E-02,4,7000,blue,
9:14:33,0.7750366,5,7000,blue,
9:18:28,0.6321502,6,7000,blue,
9:19:50,0.1117406,7,7000,blue,
9:21:08,0.1307302,8,7000,blue,
9:22:20,7.71E-02,9,7000,blue,
9:23:23,9.93E-02,10,7000,blue,
9:24:38,0.4311649,11,7000,blue,
9:25:53,9.44E-02,12,7000,blue,
9:27:03,0.1518666,13,7000,blue,
9:28:31,8.04E-02,14,7000,blue,
9:29:34,0.1215324,15,7000,blue,
9:30:38,5.36E-02,16,7000,blue,
9:31:51,0.1347056,17,7000,blue,
9:33:05,8.09E-02,18,7000,blue,
9:34:16,6.94E-02,19,7000,blue,
9:35:27,0.1182905,20,7000,blue,
9:36:31,5.04E-02,21,7000,blue,
9:37:33,6.31E-02,22,7000,blue,
9:38:39,7.15E-02,23,7000,blue,
9:39:59,9.10E-02,24,7000,blue,
9:41:18,8.44E-02,25,7000,blue,
9:42:44,0.1716134,26,7000,blue,
9:43:59,0.2932367,27,7000,blue,
9:45:07,0.1046873,28,7000,blue,
9:08:49,1.028941,1,6262,white,misinjection
9:10:13,9.88E-02,2,6262,white,misinjection
9:11:17,9.26E-02,3,6262,white,misinjection
9:12:21,0.6948077,4,6262,white,misinjection
9:14:33,0.1513766,6,6262,white,
9:18:28,0.6637478,7,6262,white,
9:19:50,0.1342389,8,6262,white,
9:21:08,0.1378136,9,6262,white,
9:22:20,0.0478024,10,6262,white,
9:23:23,0.6962392,11,6262,white,
9:24:38,7.27E-02,12,6262,white,
9:25:53,0.1475914,13,6262,white,
9:27:03,2.389371,14,6262,white,
9:28:31,9.19E-02,15,6262,white,
9:29:34,8.43E-02,16,6262,white,
9:30:38,0.6542865,17,6262,white,
9:31:51,1.365961,18,6262,white,
9:33:05,0.8906198,19,6262,white,
9:34:16,0.9350508,20,6262,white,
9:35:27,0.1641052,21,6262,white,
9:36:31,0.1358763,22,6262,white,
9:37:33,0.1564763,23,6262,white,
9:38:39,0.3163562,24,6262,white,
9:39:59,0.2895426,25,6262,white,
9:41:18,1.675678,26,6262,white,
9:42:44,0.8599698,27,6262,white,
9:43:59,0.1239158,28,6262,white,
9:45:07,0.5481216,29,6262,white,
