starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,tape,real_n
10:06:49,0.0653544,1,7000,blue,29
10:08:04,0.4482072,2,7000,blue,30
10:09:17,0.4677211,3,7000,blue,31
10:10:37,7.52E-02,4,7000,blue,32
10:11:45,8.03E-02,5,7000,blue,33
10:13:01,0.2002334,6,7000,blue,34
10:14:27,6.34E-02,7,7000,blue,35
10:15:37,0.4264326,8,7000,blue,36
10:17:00,0.0455702,9,7000,blue,37
10:18:04,7.09E-02,10,7000,blue,38
10:19:13,6.90E-02,11,7000,blue,39
10:20:19,1.002604,12,7000,blue,40
10:21:43,4.47E-02,13,7000,blue,41
10:22:44,6.33E-02,14,7000,blue,42
10:23:51,7.77E-02,15,7000,blue,43
10:25:08,9.64E-02,16,7000,blue,44
10:26:19,0.823644,17,7000,blue,45
10:27:45,7.25E-03,18,7000,blue,46
10:28:42,9.05E-03,19,7000,blue,47
10:06:49,8.53E-02,1,6262,white,30
10:08:04,0.2297647,2,6262,white,31
10:09:17,1.177782,3,6262,white,32
10:10:37,7.87E-02,4,6262,white,33
10:11:45,0.1486124,5,6262,white,34
10:13:01,0.689045,6,6262,white,35
10:14:27,0.086326,7,6262,white,36
10:15:37,0.6607594,8,6262,white,37
10:17:00,0.1078256,9,6262,white,38
10:18:04,0.6282608,10,6262,white,39
10:19:13,0.1786245,11,6262,white,40
10:20:19,1.210699,12,6262,white,41
10:21:43,6.40E-02,13,6262,white,42
10:22:44,0.1343345,14,6262,white,43
10:23:51,0.8120338,15,6262,white,44
10:25:08,0.2395586,16,6262,white,45
10:26:19,1.14E-02,17,6262,white,46
10:27:45,1.32E-02,18,6262,white,47
10:28:42,9.16E-04,19,6262,white,empty
