starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,color,
13:07:55,0.1111933,1,7000,orange,
13:09:18,5.32E-02,2,7000,orange,
13:10:25,0.7526349,3,7000,orange,
13:11:45,9.46E-02,4,7000,orange,
13:12:56,0.5207362,5,7000,orange,
13:14:15,0.9515291,6,7000,orange,
13:15:33,4.83E-02,7,7000,orange,
13:16:54,8.42E-02,8,7000,orange,
13:18:48,0.8825504,9,7000,orange,
13:20:08,0.7714262,10,7000,orange,
13:21:29,0.3993114,11,7000,orange,
13:22:43,7.50E-02,12,7000,orange,
13:24:13,0.158089,13,7000,orange,
13:25:20,0.1255459,14,7000,orange,
13:26:30,7.37E-02,15,7000,orange,
13:27:42,0.0877742,16,7000,orange,
13:28:54,0.662003,17,7000,orange,
13:30:13,0.1132678,18,7000,orange,
13:31:21,0.0809093,19,7000,orange,
13:32:34,8.57E-02,20,7000,orange,
13:33:41,7.13E-02,21,7000,orange,
13:34:41,0.1029881,22,7000,orange,
13:35:49,0.5168113,23,7000,orange,
13:37:02,8.24E-02,24,7000,orange,
13:38:18,4.88E-02,25,7000,orange,
13:39:30,1.086841,26,7000,orange,
13:40:46,7.12E-02,27,7000,orange,
13:41:50,8.21E-02,28,7000,orange,
13:43:14,5.00E-02,29,7000,orange,
13:07:55,0.1571739,1,6262,white,
13:09:18,6.16E-02,2,6262,white,
13:10:25,0.08222,3,6262,white,
13:11:45,9.82E-02,4,6262,white,
13:12:56,0.1614636,5,6262,white,
13:14:15,0.126017,6,6262,white,
13:15:33,0.7478671,7,6262,white,
13:16:54,0.4112164,8,6262,white,
13:18:48,-4.83E-02,9,6262,white,"no injection, no 9 white sampel"
13:20:08,0.1622004,10,6262,white,
13:21:29,0.1199835,11,6262,white,
13:22:43,0.2879831,12,6262,white,
13:24:13,0.1342876,13,6262,white,
13:25:20,0.1363148,14,6262,white,
13:26:30,0.193569,15,6262,white,
13:27:42,0.5350066,16,6262,white,
13:28:54,6.00E-02,17,6262,white,
13:30:13,0.1503847,18,6262,white,
13:31:21,0.9750268,19,6262,white,
13:32:34,0.6654609,20,6262,white,
13:33:41,9.36E-02,21,6262,white,
13:34:41,0.6574159,22,6262,white,
13:35:49,0.3004625,23,6262,white,
13:37:02,1.296344,24,6262,white,
13:38:18,0.1302395,25,6262,white,
13:39:30,1.447495,26,6262,white,
13:40:46,9.76E-02,27,6262,white,
13:41:50,0.1410206,28,6262,white,
13:43:14,0.1130158,29,6262,white,
