starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,tape_color
14:05:04,0.1522059,30,7000,orange
14:06:30,0.6995668,31,7000,orange
14:07:50,0.3984354,32,7000,orange
14:08:59,5.19E-02,33,7000,orange
14:10:23,0.1305033,34,7000,orange
14:11:36,0.605803,35,7000,orange
14:12:59,8.12E-02,36,7000,orange
14:14:09,0.1057719,37,7000,orange
14:15:22,0.1035157,38,7000,orange
14:16:34,9.48E-02,39,7000,orange
14:17:41,4.97E-02,40,7000,orange
14:18:46,0.1017332,41,7000,orange
14:19:56,0.4653584,42,7000,orange
14:21:15,7.29E-02,43,7000,orange
14:22:29,8.48E-02,44,7000,orange
14:23:41,4.80E-03,45,7000,orange
14:24:55,6.76E-03,46,7000,orange
14:05:04,1.349885,30,6262,white
14:06:30,0.1341061,31,6262,white
14:07:50,0.141983,32,6262,white
14:08:59,1.445303,33,6262,white
14:10:23,0.244983,34,6262,white
14:11:36,0.1769606,35,6262,white
14:12:59,0.1876357,36,6262,white
14:14:09,0.2054723,37,6262,white
14:15:22,0.1292025,38,6262,white
14:16:34,0.0669848,39,6262,white
14:17:41,9.13E-02,40,6262,white
14:18:46,0.3055865,41,6262,white
14:19:56,0.1735042,42,6262,white
14:21:15,0.1981745,43,6262,white
14:22:29,0.8227701,44,6262,white
14:23:41,0.1188077,45,6262,white
14:24:55,1.70E-02,46,6262,white
