starttime_VCO2_6262_1,area_VCO2_6262_1,n
3:11:43,0.1561692,1
3:13:20,0.3972134,2
3:15:06,2.36E-02,3
3:17:46,0.3596965,4
3:19:23,6.82E-02,5
3:21:05,3.54E-02,6
3:22:26,6.76E-02,7
3:23:51,4.53E-02,8
3:25:03,0.528082,9
3:26:38,0.3454486,10
3:28:19,0.4945477,11
3:29:43,1.96E-02,12
3:30:56,3.09E-02,13
3:31:52,4.28E-02,14
3:32:58,5.12E-02,15
3:33:51,2.29E-02,16
3:34:54,3.77E-02,17
3:36:37,4.10E-02,18
3:37:43,6.88E-02,19
3:38:44,0.4224848,20
3:39:58,3.83E-02,21
3:41:01,6.05E-02,22
3:42:00,3.71E-02,23
3:11:43,0.5055358,24
3:13:20,8.00E-02,25
3:15:06,0.1138884,26
3:17:46,0.1093444,27
3:19:23,0.1147683,28
3:21:05,0.9872383,29
3:22:26,0.1374202,30
3:23:51,4.97E-02,31
3:25:03,7.78E-02,32
3:26:38,5.60E-02,33
3:28:19,6.95E-02,34
3:29:43,0.6629058,35
3:30:56,5.15E-02,36
3:31:52,0.5802926,37
3:32:58,4.36E-02,38
3:33:51,6.03E-02,39
3:34:54,6.03E-02,40
3:36:37,0.0482237,41
3:37:43,4.62E-02,42
3:38:44,0.153201,43
3:39:58,0.1001158,44
3:41:01,4.65E-02,45
3:42:00,0.2066223,46
