starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,tape color,time_convert
24:03:31,0.4231758,23,7000,red,12:03:31
24:04:45,0.5649174,24,7000,red,12:04:45
24:06:10,3.06E-02,25,7000,red,12:06:10
24:07:09,0.4937639,26,7000,red,12:07:09
24:08:24,0.1702829,27,7000,red,12:08:24
24:09:31,4.49E-02,28,7000,red,12:09:31
24:10:33,8.58E-03,29,7000,red,12:10:33
24:11:43,2.99E-02,30,7000,red,12:11:43
24:13:53,4.68E-02,31,7000,red,12:13:53
24:15:09,5.59E-02,32,7000,red,12:15:09
24:16:09,0.3484868,33,7000,red,12:16:09
24:17:17,2.89E-02,34,7000,red,12:17:17
24:18:21,0.3000216,35,7000,red,12:18:21
24:19:32,0.5145055,36,7000,red,12:19:32
24:20:43,7.15E-03,37,7000,red,12:20:43
24:21:33,0.1955226,38,7000,red,12:21:33
24:22:42,8.01E-02,39,7000,red,12:22:42
24:23:44,-2.67E-03,40,7000,red,12:23:44
24:24:47,-2.87E-03,41,7000,red,12:24:47
24:25:57,-2.77E-03,42,7000,red,12:25:57
24:26:58,-3.77E-03,43,7000,red,12:26:58
24:28:18,-3.26E-03,44,7000,red,12:28:18
24:29:23,-3.36E-03,45,7000,red,12:29:23
24:30:37,4.06E-03,46,7000,red,12:30:37
24:31:37,3.78E-03,47,7000,red,12:31:37
24:03:31,0.1039491,23,6262,orange,12:03:31
24:04:45,0.1156889,24,6262,orange,12:04:45
24:06:10,4.46E-02,25,6262,orange,12:06:10
24:07:09,0.1447078,26,6262,orange,12:07:09
24:08:24,0.085734,27,6262,orange,12:08:24
24:09:31,8.57E-02,28,6262,orange,12:09:31
24:10:33,8.21E-02,29,6262,orange,12:10:33
24:11:43,5.93E-02,30,6262,orange,12:11:43
24:13:53,0.8550276,31,6262,orange,12:13:53
24:15:09,5.89E-02,32,6262,orange,12:15:09
24:16:09,8.15E-02,33,6262,orange,12:16:09
24:17:17,0.108695,34,6262,orange,12:17:17
24:18:21,6.45E-02,35,6262,orange,12:18:21
24:19:32,0.1916412,36,6262,orange,12:19:32
24:20:43,1.47E-02,37,6262,orange,12:20:43
24:21:33,9.57E-02,38,6262,orange,12:21:33
24:22:42,6.67E-02,39,6262,orange,12:22:42
24:23:44,0.1077792,40,6262,orange,12:23:44
24:24:47,9.13E-02,41,6262,orange,12:24:47
24:25:57,5.25E-02,42,6262,orange,12:25:57
24:26:58,0.5967978,43,6262,orange,12:26:58
24:28:18,7.88E-02,44,6262,orange,12:28:18
24:29:23,0.0962892,45,6262,orange,12:29:23
24:30:37,1.03E-02,46,6262,orange,12:30:37
24:31:37,9.72E-03,47,6262,orange,12:31:37
