starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,tape color
7:14:31,3.07E-02,1,7000,blue
7:15:46,0.1538959,2,7000,blue
7:16:51,7.34E-02,3,7000,blue
7:18:06,4.42E-02,4,7000,blue
7:19:20,0.6652519,5,7000,blue
7:20:30,0.5747594,6,7000,blue
7:21:43,8.51E-02,7,7000,blue
7:22:56,5.82E-02,8,7000,blue
7:23:58,0.0651718,9,7000,blue
7:25:00,6.48E-02,10,7000,blue
7:26:03,0.4218011,11,7000,blue
7:27:20,3.48E-02,12,7000,blue
7:28:34,0.1394492,13,7000,blue
7:30:05,6.48E-02,14,7000,blue
7:31:14,7.12E-02,15,7000,blue
7:32:28,3.49E-02,16,7000,blue
7:33:29,3.75E-02,17,7000,blue
7:34:50,9.84E-02,18,7000,blue
7:36:15,3.37E-02,19,7000,blue
7:37:35,6.37E-02,20,7000,blue
7:38:52,2.61E-02,21,7000,blue
7:40:00,3.20E-02,22,7000,blue
7:41:05,7.21E-02,23,7000,blue
7:42:07,2.73E-02,24,7000,blue
7:43:06,6.56E-02,25,7000,blue
7:14:31,0.9881524,1,6262,white
7:15:46,6.42E-02,2,6262,white
7:16:51,0.090464,3,6262,white
7:18:06,0.6579172,4,6262,white
7:19:20,0.5784796,5,6262,white
7:20:30,0.1260305,6,6262,white
7:21:43,0.6637285,7,6262,white
7:22:56,0.1162829,8,6262,white
7:23:58,6.15E-02,9,6262,white
7:25:00,4.73E-02,10,6262,white
7:26:03,0.6615523,11,6262,white
7:27:20,6.36E-03,12,6262,white
7:28:34,0.4642838,13,6262,white
7:30:05,2.16E-02,14,6262,white
7:31:14,9.10E-02,15,6262,white
7:32:28,4.18E-02,16,6262,white
7:33:29,0.6274658,17,6262,white
7:34:50,1.559315,18,6262,white
7:36:15,0.955384,19,6262,white
7:37:35,0.9183409,20,6262,white
7:38:52,0.1574567,21,6262,white
7:40:00,0.1013773,22,6262,white
7:41:05,0.113535,23,6262,white
7:42:07,0.1873748,24,6262,white
7:43:06,0.1184937,25,6262,white
