starttime_VCO2_6262_1,area_VCO2_6262_1,n,n,licor,tape color
7:54:50,0.0779609,1,21,7000,orange
7:55:57,7.20E-02,2,22,7000,orange
7:57:01,0.413814,3,23,7000,orange
7:58:16,3.81E-02,4,24,7000,orange
7:59:37,2.29E-02,5,25,7000,orange
8:00:41,0.8583229,6,26,7000,orange
8:02:08,5.72E-02,7,27,7000,orange
8:03:12,3.74E-02,8,28,7000,orange
8:04:25,6.97E-02,9,29,7000,orange
8:05:29,0.0730402,10,30,7000,orange
8:06:47,0.5278389,11,31,7000,orange
8:08:00,5.85E-02,12,32,7000,orange
8:09:16,6.04E-02,13,33,7000,orange
8:10:47,0.1164625,14,34,7000,orange
8:12:14,0.484944,15,35,7000,orange
8:13:38,5.66E-02,16,36,7000,orange
8:14:42,5.77E-02,17,37,7000,orange
8:15:59,7.25E-02,18,38,7000,orange
8:17:05,6.09E-02,19,39,7000,orange
8:18:15,3.74E-02,20,40,7000,orange
8:19:14,8.09E-02,21,41,7000,orange
8:20:22,0.4031682,22,42,7000,orange
8:21:34,3.51E-02,23,43,7000,orange
8:22:45,5.81E-02,24,44,7000,orange
8:24:06,3.13E-03,25,45,7000,orange
8:25:12,5.45E-03,26,46,7000,orange
8:26:15,3.57E-03,27,47,7000,orange
7:54:50,0.139093,1,21,6262,white
7:55:57,1.86E-02,2,22,6262,white
7:57:01,0.1998343,3,23,6262,white
7:58:16,0.9133878,4,24,6262,white
7:59:37,8.62E-02,5,25,6262,white
8:00:41,1.270197,6,26,6262,white
8:02:08,0.1088494,7,27,6262,white
8:03:12,8.99E-02,8,28,6262,white
8:04:25,0.0556733,9,29,6262,white
8:05:29,0.9862028,10,30,6262,white
8:06:47,0.1234985,11,31,6262,white
8:08:00,0.1231684,12,32,6262,white
8:09:16,1.033196,13,33,6262,white
8:10:47,0.1682043,14,34,6262,white
8:12:14,0.1186473,15,35,6262,white
8:13:38,6.76E-02,16,36,6262,white
8:14:42,0.1111565,17,37,6262,white
8:15:59,7.52E-02,18,38,6262,white
8:17:05,9.43E-02,19,39,6262,white
8:18:15,5.25E-02,20,40,6262,white
8:19:14,0.1263723,21,41,6262,white
8:20:22,0.1319911,22,42,6262,white
8:21:34,0.1584646,23,43,6262,white
8:22:45,0.6554036,24,44,6262,white
8:24:06,7.26E-02,25,45,6262,white
8:25:12,1.57E-02,26,46,6262,white
8:26:15,1.50E-02,27,47,6262,white
