starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,tape color,real n,,rearranged ,,starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,tape color,real n
9:42:24,0.3762545,1,7000,blue,1,,,,9:42:24,0.6237935,1,6262,white,1
9:43:59,0.582067,2,7000,blue,2,,,,9:43:59,0.1238587,2,6262,white,3
9:45:23,4.55E-02,3,7000,blue,6,,,,9:45:23,0.1523817,3,6262,white,5
9:46:58,9.18E-02,4,7000,blue,7,,,,9:46:58,0.1704713,4,6262,white,7
9:48:17,0.3895295,5,7000,blue,10,,,,9:48:17,9.13E-02,5,6262,white,9
9:49:26,9.00E-03,6,7000,blue,11,,,,9:49:26,1.016689,6,6262,white,12
9:50:53,4.04E-02,7,7000,blue,16,,,,9:50:53,7.37E-02,7,6262,white,18
9:52:02,7.28E-02,8,7000,blue,26,,,,9:52:02,0.1182262,8,6262,white,19
9:53:17,0.2534524,9,7000,blue,28,,,,9:53:17,0.8483978,9,6262,white,24
9:54:56,9.46E-02,10,7000,blue,30,,,,9:54:56,0.1049495,10,6262,white,25
9:56:07,3.32E-02,11,7000,blue,33,,,,10:06:22,1.173006,19,6262,white,27
9:58:07,0.5542485,12,7000,blue,41,,,,10:08:02,0.1000075,20,6262,white,28
9:59:39,0.0389633,13,7000,blue,44,,,,10:09:15,0.4059562,21,6262,white,31
10:00:44,7.77E-03,14,7000,blue,46,,,,9:56:07,0.1220908,11,6262,white,37
10:01:47,8.97E-03,15,7000,blue,47,,,,9:58:07,1.137064,12,6262,white,38
10:02:56,6.87E-05,16,7000,blue,,,,,9:59:39,9.26E-02,13,6262,white,39
10:04:11,-2.75E-04,17,7000,blue,,,,,10:00:44,5.83E-02,14,6262,white,40
10:05:08,1.19E-04,18,7000,blue,,,,,10:01:47,0.1189203,15,6262,white,43
10:06:22,4.31E-04,19,7000,blue,,,,,10:02:56,0.1596909,16,6262,white,44
10:08:02,3.69E-04,20,7000,blue,,,,,10:04:11,1.59E-02,17,6262,white,46
10:09:15,8.11E-04,21,7000,blue,,,,,10:05:08,1.51E-02,18,6262,white,47
9:42:24,0.6237935,1,6262,white,1,,,,,,,,,
9:43:59,0.1238587,2,6262,white,3,,,,,,,,,
9:45:23,0.1523817,3,6262,white,5,,,,,,,,,
9:46:58,0.1704713,4,6262,white,7,,,,,,,,,
9:48:17,9.13E-02,5,6262,white,9,,,,,,,,,
9:49:26,1.016689,6,6262,white,12,,,,,,,,,
9:50:53,7.37E-02,7,6262,white,18,,,,,,,,,
9:52:02,0.1182262,8,6262,white,19,,,,,,,,,
9:53:17,0.8483978,9,6262,white,24,,,,,,,,,
9:54:56,0.1049495,10,6262,white,25,,,,,,,,,
9:56:07,0.1220908,11,6262,white,37,,,,,,,,,
9:58:07,1.137064,12,6262,white,38,,,,,,,,,
9:59:39,9.26E-02,13,6262,white,39,,,,,,,,,
10:00:44,5.83E-02,14,6262,white,40,,,,,,,,,
10:01:47,0.1189203,15,6262,white,43,,,,,,,,,
10:02:56,0.1596909,16,6262,white,44,,,,,,,,,
10:04:11,1.59E-02,17,6262,white,46,,,,,,,,,
10:05:08,1.51E-02,18,6262,white,47,,,,,,,,,
10:06:22,1.173006,19,6262,white,27,,,,,,,,,
10:08:02,0.1000075,20,6262,white,28,,,,,,,,,
10:09:15,0.4059562,21,6262,white,31,,,,,,,,,
