starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,tape color,real n
6:50:40,8.83E-02,1,7000,red,1
6:57:36,7.06E-02,2,7000,red,4
6:58:46,0.2221012,3,7000,red,7
6:59:53,7.11E-03,4,7000,red,10
7:01:00,7.87E-03,5,7000,red,12
7:02:04,0.0752592,6,7000,red,14
7:03:13,5.88E-02,7,7000,red,19
7:04:23,8.66E-02,8,7000,red,21
7:05:35,0.6752948,9,7000,red,23
7:06:57,0.586511,10,7000,red,24
7:08:14,0.1318572,11,7000,red,27
7:09:16,9.16E-02,12,7000,red,33
7:10:22,3.75E-02,13,7000,red,34
7:11:32,3.17E-02,14,7000,red,35
7:12:44,5.02E-03,15,7000,red,46
7:13:48,4.76E-03,16,7000,red,47
7:14:40,8.99E-02,17,7000,red,
6:50:40,0.1637787,1,6262,orange,1
6:57:36,0.1503878,2,6262,orange,5
6:58:46,0.1247415,3,6262,orange,13
6:59:53,0.1101873,4,6262,orange,15
7:01:00,9.69E-02,5,6262,orange,20
7:02:04,0.1355199,6,6262,orange,21
7:03:13,1.95E-02,7,6262,orange,22
7:04:23,0.1271833,8,6262,orange,23
7:05:35,8.40E-02,9,6262,orange,25
7:06:57,9.81E-02,10,6262,orange,28
7:08:14,5.07E-02,11,6262,orange,30
7:09:16,0.0618701,12,6262,orange,34
7:10:22,0.1851483,13,6262,orange,36
7:11:32,0.0514106,14,6262,orange,40
7:12:44,5.20E-02,15,6262,orange,42
7:13:48,1.48E-02,16,6262,orange,46
7:14:40,1.97E-02,17,6262,orange,47
