starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,tape color,real_n
13:03:40,0.2512701,1,7000,blue,2
13:05:02,0.9741167,2,7000,blue,5
13:06:29,9.75E-02,3,7000,blue,7
13:07:46,0.1030684,4,7000,blue,15
13:09:00,0.2016582,5,7000,blue,23
13:10:32,8.35E-02,6,7000,blue,25
13:11:55,0.1721418,7,7000,blue,26
13:13:06,9.59E-02,8,7000,blue,28
13:14:29,5.85E-02,9,7000,blue,33
13:15:46,9.39E-02,10,7000,blue,35
13:17:03,3.93E-02,11,7000,blue,37
13:18:06,1.315926,12,7000,blue,40
13:19:27,8.71E-02,13,7000,blue,42
13:20:33,5.87E-03,14,7000,blue,46
13:21:59,6.75E-03,15,7000,blue,47
13:23:11,-2.24E-03,16,7000,blue,
13:24:23,-2.43E-03,17,7000,blue,
13:25:39,-3.28E-03,18,7000,blue,
13:27:07,-1.93E-03,19,7000,blue,
13:28:07,-2.32E-03,20,7000,blue,
13:03:40,0.1165463,1,6262,white,3
13:05:02,0.8370987,2,6262,white,5
13:06:29,0.1991332,3,6262,white,8
13:07:46,-2.66E-04,4,6262,white,12
13:09:00,1.193731,5,6262,white,13
13:10:32,8.96E-02,6,6262,white,15
13:11:55,4.84E-03,7,6262,white,14
13:13:06,0.9091681,8,6262,white,17
13:14:29,0.2130637,9,6262,white,21
13:15:46,0.1072201,10,6262,white,23
13:17:03,7.08E-02,11,6262,white,30
13:18:06,0.2938536,12,6262,white,31
13:19:27,5.11E-03,13,6262,white,32
13:20:33,0.8576406,14,6262,white,35
13:21:59,7.87E-02,15,6262,white,36
13:23:11,0.1736036,16,6262,white,40
13:24:23,9.71E-02,17,6262,white,43
13:25:39,1.263204,18,6262,white,44
13:27:07,3.64E-03,19,6262,white,46
13:28:07,4.73E-03,20,6262,white,47
