starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,tape color
10:33:43,0.0500132,51,7000,white
10:35:08,0.6449981,52,7000,white
10:36:28,0.1015209,53,7000,white
10:37:31,2.03E-02,54,7000,white
10:38:40,0.2236109,55,7000,white
10:39:59,3.29E-02,56,7000,white
10:41:19,3.44E-02,57,7000,white
10:42:28,6.89E-02,58,7000,white
10:44:03,0.713595,59,7000,white
10:45:26,0.5778998,60,7000,white
10:46:43,8.39E-02,61,7000,white
10:47:48,0.8741758,62,7000,white
10:49:13,6.42E-02,63,7000,white
10:50:23,5.10E-02,64,7000,white
10:51:26,4.73E-02,65,7000,white
10:52:54,4.58E-02,66,7000,white
10:54:28,7.75E-02,67,7000,white
10:55:47,7.54E-02,68,7000,white
10:57:22,8.41E-02,69,7000,white
10:58:40,0.6986539,70,7000,white
11:00:04,0.2693186,71,7000,white
11:01:22,8.97E-03,72,7000,white
11:02:33,0.632811,73,7000,white
11:03:56,5.28E-02,74,7000,white
11:05:15,0.5615769,75,7000,white
11:06:31,8.36E-03,76,7000,white
11:07:48,9.81E-03,77,7000,white
10:33:43,0.6563749,51,6262,orange
10:35:08,0.870415,52,6262,orange
10:36:28,6.15E-02,53,6262,orange
10:37:31,0.1572976,54,6262,orange
10:38:40,0.8688384,55,6262,orange
10:39:59,0.7127407,56,6262,orange
10:41:19,0.1691793,57,6262,orange
10:42:28,0.1483068,58,6262,orange
10:44:03,0.8790894,59,6262,orange
10:45:26,7.19E-02,60,6262,orange
10:46:43,5.91E-02,61,6262,orange
10:47:48,1.81E-02,62,6262,orange
10:49:13,6.60E-02,63,6262,orange
10:50:23,9.85E-02,64,6262,orange
10:51:26,0.1144259,65,6262,orange
10:52:54,1.207115,66,6262,orange
10:54:28,0.8465732,67,6262,orange
10:55:47,0.1779581,68,6262,orange
10:57:22,0.8636769,69,6262,orange
10:58:40,0.24387,70,6262,orange
11:00:04,0.7137259,71,6262,orange
11:01:22,7.49E-02,72,6262,orange
11:02:33,0.7082899,73,6262,orange
11:03:56,0.0778161,74,6262,orange
11:05:15,7.26E-02,75,6262,orange
11:06:31,0.0129044,76,6262,orange
11:07:48,1.59E-02,77,6262,orange
