starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,tape color
9:52:19,2.32E-02,1,7000,orange
9:53:23,0.5358741,2,7000,orange
9:54:38,0.434786,3,7000,orange
9:55:57,8.31E-02,4,7000,orange
9:57:20,8.55E-02,5,7000,orange
9:58:26,0.5979268,6,7000,orange
9:59:44,3.62E-02,7,7000,orange
10:00:53,8.01E-02,8,7000,orange
10:02:04,7.67E-02,9,7000,orange
10:03:11,0.0610646,10,7000,orange
10:04:18,0.0857534,11,7000,orange
10:05:25,7.07E-02,12,7000,orange
10:06:34,5.82E-02,13,7000,orange
10:07:36,0.1226351,14,7000,orange
10:08:53,0.1157112,15,7000,orange
10:09:58,0.1038937,16,7000,orange
10:11:29,0.4510976,17,7000,orange
10:13:22,6.96E-02,18,7000,orange
10:14:28,0.0743133,19,7000,orange
10:15:32,6.29E-02,20,7000,orange
10:16:39,6.61E-02,21,7000,orange
10:17:43,0.0409878,22,7000,orange
10:18:53,0.6629798,23,7000,orange
10:20:18,0.5208594,24,7000,orange
10:21:33,4.22E-02,25,7000,orange
10:22:38,0.1453433,26,7000,orange
10:24:07,6.22E-02,27,7000,orange
10:25:16,8.09E-02,28,7000,orange
10:26:38,0.7306905,29,7000,orange
10:27:50,7.93E-02,30,7000,orange
10:29:16,8.20E-02,31,7000,orange
10:30:43,0.7672732,32,7000,orange
10:32:01,0.7001247,33,7000,orange
10:33:16,0.10951,34,7000,orange
10:34:42,8.06E-02,35,7000,orange
10:35:53,5.50E-02,36,7000,orange
10:36:59,0.0614548,37,7000,orange
10:38:38,4.16E-02,38,7000,orange
10:39:46,0.1414818,39,7000,orange
10:41:10,5.73E-02,40,7000,orange
10:42:28,0.8318145,41,7000,orange
10:43:41,0.3866194,42,7000,orange
10:44:57,8.09E-02,43,7000,orange
10:46:05,7.22E-02,44,7000,orange
10:47:20,8.67E-02,45,7000,orange
10:48:39,9.96E-03,46,7000,orange
10:49:53,8.30E-03,47,7000,orange
9:52:19,0.1542087,1,6262,white
9:53:23,0.1892578,2,6262,white
9:54:38,0.1322206,3,6262,white
9:55:57,1.39814,4,6262,white
9:57:20,7.68E-02,5,6262,white
9:58:26,0.1265796,6,6262,white
9:59:44,0.147573,7,6262,white
10:00:53,0.1025565,8,6262,white
10:02:04,7.42E-02,9,6262,white
10:03:11,0.1207572,10,6262,white
10:04:18,0.1182152,11,6262,white
10:05:25,0.1535659,12,6262,white
10:06:34,0.1297099,13,6262,white
10:07:36,0.1674189,14,6262,white
10:08:53,0.1141882,15,6262,white
10:09:58,0.881341,16,6262,white
10:11:29,7.14E-02,17,6262,white
10:13:22,9.65E-02,18,6262,white
10:14:28,0.1425257,19,6262,white
10:15:32,0.0789512,20,6262,white
10:16:39,9.90E-02,21,6262,white
10:17:43,8.36E-02,22,6262,white
10:18:53,0.1057566,23,6262,white
10:20:18,8.09E-02,24,6262,white
10:21:33,5.73E-02,25,6262,white
10:22:38,1.610342,26,6262,white
10:24:07,0.1414123,27,6262,white
10:25:16,0.7578517,28,6262,white
10:26:38,0.0821557,29,6262,white
10:27:50,1.619179,30,6262,white
10:29:16,1.900618,31,6262,white
10:30:43,0.1325139,32,6262,white
10:32:01,8.99E-02,33,6262,white
10:33:16,1.566379,34,6262,white
10:34:42,0.1177094,35,6262,white
10:35:53,7.88E-02,36,6262,white
10:36:59,1.341457,37,6262,white
10:38:38,0.1087733,38,6262,white
10:39:46,0.8911994,39,6262,white
10:41:10,0.1290617,40,6262,white
10:42:28,9.70E-02,41,6262,white
10:43:41,0.1160336,42,6262,white
10:44:57,0.1103351,43,6262,white
10:46:05,0.189626,44,6262,white
10:47:20,0.1126072,45,6262,white
10:48:39,1.31E-02,46,6262,white
10:49:53,1.40E-02,47,6262,white
