starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,tape
8:30:48,8.55E-02,1,7000,red
8:31:58,9.41E-02,2,7000,red
8:33:08,0.1230971,3,7000,red
8:34:24,0.0507031,4,7000,red
8:36:20,6.86E-02,5,7000,red
8:37:31,0.9993868,6,7000,red
8:38:49,6.51E-02,7,7000,red
8:40:10,7.40E-02,8,7000,red
8:41:16,0.064765,9,7000,red
8:42:21,0.1028494,10,7000,red
8:43:34,0.0725225,11,7000,red
8:44:45,9.62E-02,12,7000,red
8:45:47,0.1052119,13,7000,red
8:47:07,0.1226693,14,7000,red
8:48:18,9.67E-02,15,7000,red
8:49:26,7.74E-02,16,7000,red
8:50:35,6.15E-02,17,7000,red
8:51:49,7.94E-02,18,7000,red
8:53:14,6.74E-02,19,7000,red
8:54:32,0.1174188,20,7000,red
8:55:55,0.1580154,21,7000,red
8:57:08,0.1109383,22,7000,red
8:58:35,7.35E-02,23,7000,red
8:59:49,8.13E-02,24,7000,red
9:01:11,5.53E-02,25,7000,red
9:02:34,7.25E-02,26,7000,red
9:03:44,6.33E-02,27,7000,red
9:04:51,0.6729238,28,7000,red
9:06:10,8.40E-02,29,7000,red
9:07:15,7.35E-02,30,7000,red
9:08:30,0.1267701,31,7000,red
9:09:38,5.61E-02,32,7000,red
9:10:50,9.74E-02,33,7000,red
9:12:02,8.76E-02,34,7000,red
9:13:21,7.24E-02,35,7000,red
9:14:34,0.1162915,36,7000,red
9:15:37,5.67E-02,37,7000,red
9:16:51,5.44E-02,38,7000,red
9:18:05,5.51E-02,39,7000,red
9:19:12,7.77E-02,40,7000,red
9:20:20,8.46E-02,41,7000,red
9:21:41,5.76E-02,42,7000,red
9:23:11,6.79E-02,43,7000,red
9:24:32,0.2795988,44,7000,red
9:26:00,6.87E-02,45,7000,red
9:28:11,9.01E-03,46,7000,red
9:29:23,7.95E-03,47,7000,red
8:30:48,0.1394234,1,6262,orange
8:31:58,0.1028796,2,6262,orange
8:33:08,0.1895409,3,6262,orange
8:34:24,9.25E-02,4,6262,orange
8:36:20,5.11E-02,5,6262,orange
8:37:31,0.1620248,6,6262,orange
8:38:49,0.7614406,7,6262,orange
8:40:10,5.03E-02,8,6262,orange
8:41:16,0.2000503,9,6262,orange
8:42:21,7.24E-02,10,6262,orange
8:43:34,0.1823333,11,6262,orange
8:44:45,6.21E-02,12,6262,orange
8:45:47,0.1512498,13,6262,orange
8:47:07,0.1388367,14,6262,orange
8:48:18,0.1334803,15,6262,orange
8:49:26,6.53E-02,16,6262,orange
8:50:35,0.1601952,17,6262,orange
8:51:49,0.1300694,18,6262,orange
8:53:14,0.1627404,19,6262,orange
8:54:32,8.26E-02,20,6262,orange
8:55:55,0.1236163,21,6262,orange
8:57:08,0.183585,22,6262,orange
8:58:35,8.93E-02,23,6262,orange
8:59:49,1.578386,24,6262,orange
9:01:11,1.038725,25,6262,orange
9:02:34,0.1362713,26,6262,orange
9:03:44,8.19E-02,27,6262,orange
9:04:51,0.1949197,28,6262,orange
9:06:10,5.82E-02,29,6262,orange
9:07:15,0.1817311,30,6262,orange
9:08:30,0.0952649,31,6262,orange
9:09:38,7.52E-02,32,6262,orange
9:10:50,0.1470469,33,6262,orange
9:12:02,0.1775171,34,6262,orange
9:13:21,0.1010554,35,6262,orange
9:14:34,0.1067648,36,6262,orange
9:15:37,0.1693657,37,6262,orange
9:16:51,0.2338008,38,6262,orange
9:18:05,4.11E-02,39,6262,orange
9:19:12,0.1052157,40,6262,orange
9:20:20,0.1750027,41,6262,orange
9:21:41,1.22841,42,6262,orange
9:23:11,0.2264192,43,6262,orange
9:24:32,0.1419863,44,6262,orange
9:26:00,2.085153,45,6262,orange
9:28:11,9.61E-03,46,6262,orange
9:29:23,9.64E-03,47,6262,orange
