real_time,area_VCO2_6262_1,n,licor,tape_color,
11:50:20,0.0219163,1,7000,orange,
11:51:50,0.6305392,2,7000,orange,
11:53:13,0.4293853,3,7000,orange,
11:54:26,5.91E-02,4,7000,orange,
11:55:57,4.48E-02,5,7000,orange,
11:57:17,0.6512945,6,7000,orange,
11:58:26,4.07E-02,7,7000,orange,
11:59:36,8.02E-02,8,7000,orange,
12:01:07,5.31E-02,9,7000,orange,
12:02:23,3.75E-02,10,7000,orange,
12:03:43,6.83E-02,11,7000,orange,
12:04:54,9.91E-02,12,7000,orange,
12:06:05,7.85E-02,13,7000,orange,
12:07:18,0.1331628,14,7000,orange,
12:08:35,5.51E-02,15,7000,orange,
12:09:55,8.11E-02,16,7000,orange,
12:11:18,0.6892221,17,7000,orange,
12:12:40,7.64E-02,18,7000,orange,
12:14:15,4.70E-02,19,7000,orange,
12:15:43,4.69E-02,20,7000,orange,
12:17:02,7.44E-02,21,7000,orange,
12:18:12,3.49E-02,22,7000,orange,
12:19:20,0.225807,23,7000,orange,
12:20:31,0.2437336,24,7000,orange,
12:22:00,3.76E-02,25,7000,orange,
12:23:14,0.0663856,26,7000,orange,
12:24:43,8.97E-02,27,7000,orange,
12:25:59,4.56E-02,28,7000,orange,
12:27:26,0.8002784,29,7000,orange,
12:28:45,5.14E-02,30,7000,orange,
12:30:20,5.29E-02,31,7000,orange,
12:31:50,0.6810471,32,7000,orange,
12:33:04,0.801327,33,7000,orange,
12:34:27,7.29E-02,34,7000,orange,
12:35:56,7.62E-02,35,7000,orange,
12:37:03,7.86E-02,36,7000,orange,
12:38:18,6.81E-02,37,7000,orange,
12:38:48,4.35E-02,38,7000,orange,
12:41:07,9.26E-02,39,7000,orange,
12:42:33,7.27E-02,40,7000,orange,
12:43:52,0.3325345,41,7000,orange,
12:45:17,0.1219044,42,7000,orange,
12:46:50,8.82E-02,43,7000,orange,
12:48:05,0.1116168,44,7000,orange,
12:49:18,5.80E-02,45,7000,orange,
12:50:31,1.03E-02,46,7000,orange,
12:51:40,9.45E-03,47,7000,orange,
11:50:20,0.1453409,1,6262,white,
11:51:50,0.0880608,2,6262,white,
11:53:13,0.1066628,3,6262,white,
11:54:26,0.6223086,4,6262,white,
11:55:57,5.41E-02,5,6262,white,
11:57:17,0.1727066,6,6262,white,
11:58:26,0.1086561,7,6262,white,
11:59:36,9.50E-02,8,6262,white,
12:01:07,9.48E-02,9,6262,white,
12:02:23,0.1111723,10,6262,white,
12:03:43,0.0901358,11,6262,white,
12:04:54,0.1609867,12,6262,white,
12:06:05,8.44E-02,13,6262,white,
12:07:18,0.1546945,14,6262,white,
12:08:35,0.1472974,15,6262,white,
12:09:55,0.380145,16,6262,white,
12:11:18,0.1216468,17,6262,white,
12:12:40,9.55E-02,18,6262,white,
12:14:15,9.74E-02,19,6262,white,
12:15:43,0.1246728,20,6262,white,
12:17:02,9.18E-02,21,6262,white,
12:18:12,0.1843519,22,6262,white,
12:19:20,8.11E-02,23,6262,white,
12:20:31,0.1080338,24,6262,white,
12:22:00,6.93E-02,25,6262,white,
12:23:14,0.7410247,26,6262,white,
12:24:43,6.70E-02,27,6262,white,
12:25:59,1.015356,28,6262,white,
12:27:26,0.1628766,29,6262,white,
12:28:45,1.539622,30,6262,white,
12:30:20,1.131399,31,6262,white,
12:31:50,0.1293608,32,6262,white,
12:33:04,7.61E-02,33,6262,white,
12:34:27,1.464132,34,6262,white,
12:35:56,9.90E-02,35,6262,white,
12:37:03,6.84E-02,36,6262,white,
12:38:18,0.6050076,37,6262,white,
12:39:48,0.1356495,38,6262,white,
12:41:07,1.151578,39,6262,white,
12:42:33,0.1430439,40,6262,white,
12:43:52,6.34E-02,41,6262,white,
12:45:17,0.1253518,42,6262,white,
12:46:50,7.71E-02,43,6262,white,
12:48:05,9.30E-02,44,6262,white,
12:49:18,8.73E-02,45,6262,white,
12:50:31,1.61E-02,46,6262,white,
12:51:40,1.64E-02,47,6262,white,
