starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,tape_color
9:46:55,7.53E-02,1,7000,red
9:48:05,6.27E-02,2,7000,red
9:49:14,6.84E-02,3,7000,red
9:50:25,3.30E-02,4,7000,red
9:51:31,7.42E-02,5,7000,red
9:52:41,0.2213818,6,7000,red
9:53:55,7.53E-02,7,7000,red
9:55:13,4.80E-02,8,7000,red
9:56:20,9.05E-02,9,7000,red
9:57:32,8.14E-02,10,7000,red
9:58:42,6.10E-02,11,7000,red
9:59:51,5.34E-02,12,7000,red
10:01:06,0.784578,13,7000,red
10:02:28,6.50E-02,14,7000,red
10:03:38,8.83E-02,15,7000,red
10:04:45,4.07E-02,16,7000,red
10:06:26,2.82E-02,17,7000,red
10:07:31,8.41E-02,18,7000,red
10:08:55,5.67E-02,19,7000,red
10:10:10,7.00E-02,20,7000,red
10:11:18,8.17E-02,21,7000,red
10:12:51,4.19E-02,22,7000,red
10:14:27,4.51E-02,23,7000,red
10:15:27,5.81E-02,24,7000,red
10:17:07,6.64E-02,25,7000,red
10:18:54,4.80E-02,26,7000,red
10:20:09,5.01E-02,27,7000,red
10:21:25,0.6185058,28,7000,red
10:22:52,3.41E-02,29,7000,red
10:24:13,4.63E-02,30,7000,red
10:25:24,5.92E-02,31,7000,red
10:26:37,6.00E-02,32,7000,red
10:27:53,5.69E-02,33,7000,red
10:29:13,0.0669134,34,7000,red
10:30:34,6.71E-02,35,7000,red
10:31:54,4.78E-02,36,7000,red
10:33:06,3.97E-02,37,7000,red
10:34:22,6.81E-02,38,7000,red
10:36:02,3.63E-02,39,7000,red
10:37:17,3.94E-02,40,7000,red
10:38:21,0.1123276,41,7000,red
10:39:40,3.79E-02,42,7000,red
10:41:11,9.72E-02,43,7000,red
10:42:30,0.2798884,44,7000,red
10:43:56,4.36E-02,45,7000,red
10:45:52,9.52E-03,46,7000,red
10:47:09,8.95E-03,47,7000,red
9:46:55,6.73E-02,1,6262,orange
9:48:05,6.49E-02,2,6262,orange
9:49:14,0.1023244,3,6262,orange
9:50:25,0.0511507,4,6262,orange
9:51:31,6.71E-02,5,6262,orange
9:52:41,0.1051075,6,6262,orange
9:53:55,0.1799573,7,6262,orange
9:55:13,7.90E-02,8,6262,orange
9:56:20,0.1680269,9,6262,orange
9:57:32,7.61E-02,10,6262,orange
9:58:42,0.1284728,11,6262,orange
9:59:51,0.1057911,12,6262,orange
10:01:06,0.1040042,13,6262,orange
10:02:28,9.78E-02,14,6262,orange
10:03:38,9.60E-02,15,6262,orange
10:04:45,4.52E-02,16,6262,orange
10:06:26,7.03E-02,17,6262,orange
10:07:31,8.74E-02,18,6262,orange
10:08:55,6.59E-02,19,6262,orange
10:10:10,6.04E-02,20,6262,orange
10:11:18,6.62E-02,21,6262,orange
10:12:51,9.53E-02,22,6262,orange
10:14:27,8.12E-03,23,6262,orange
10:15:27,1.308597,24,6262,orange
10:17:07,1.039291,25,6262,orange
10:18:54,7.61E-02,26,6262,orange
10:20:09,4.92E-02,27,6262,orange
10:21:25,0.1595304,28,6262,orange
10:22:52,4.00E-02,29,6262,orange
10:24:13,7.23E-02,30,6262,orange
10:25:24,8.07E-02,31,6262,orange
10:26:37,0.1108086,32,6262,orange
10:27:53,0.101675,33,6262,orange
10:29:13,6.87E-02,34,6262,orange
10:30:34,5.35E-02,35,6262,orange
10:31:54,7.53E-02,36,6262,orange
10:33:06,0.1184177,37,6262,orange
10:34:22,0.1619088,38,6262,orange
10:36:02,3.43E-02,39,6262,orange
10:37:17,5.57E-02,40,6262,orange
10:38:21,5.89E-02,41,6262,orange
10:39:40,0.2864553,42,6262,orange
10:41:11,0.1132749,43,6262,orange
10:42:30,8.72E-02,44,6262,orange
10:43:56,0.8689852,45,6262,orange
10:45:52,1.13E-02,46,6262,orange
10:47:09,1.13E-02,47,6262,orange
